symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
TENB,24.44,653475.0,1597.0929,115.4548054885294,115.4548054885294,1,115.4548054885294,131.92042138584344,142.47894183105652,2,131.92042138584344,False,0,1,1,1,False,True,True,True,-282.30677964019185,-129.9420905012517,"Tenable Holdings, Inc."
VG,5.8521,9585400.0,5609.471934,59.2872214530148,71.01509995130723,0,0.0,200.0,200.0,5,200.0,False,0,0,1,0,False,False,True,False,-132.00968461936193,-98.5259849019623,"Venture Global, Inc."
MSTR,164.69,13378255.0,220326.481595,0.0,0.0,0,0.0,0.0,200.0,2,200.0,False,1,0,1,1,True,False,True,True,-144.717366837403,-92.27405110476056,MicroStrategy Inc
FAAS,0.0807,94211948.0,760.29042036,0.0,98.65443515306539,0,0.0,199.99999999999997,199.99999999999997,2,199.99999999999997,False,0,0,0,1,False,False,False,True,-146.17067013517757,-134.94612003089972,DigiAsia Corp. Ordinary Shares
HDRO,25.9185,71370.0,184.98033450000003,0.0,0.0,0,0.0,0.0,200.0,3,200.0,False,0,1,0,1,False,True,False,True,-30.712270424148958,-103.35310218329421,Defiance Next Gen H2 ETF
PBH,61.55,147649.0,908.779595,0.0,0.0,0,0.0,0.0,170.32532135242755,2,170.32532135242755,False,0,0,0,0,False,False,False,False,94.37784689078015,6.7271218468484495,Prestige Consumer Healthcare Inc.
STBX,2.11,902744.0,190.478984,0.0,0.0,0,0.0,0.0,133.14760630738874,3,133.14760630738874,False,0,0,0,0,False,False,False,False,-4.233135230945695,-55.37049868422131,Starbox Group Holdings Ltd. Class A Ordinary Shares
PAVS,0.0234,182059087.0,426.01826358000005,0.022158623647533546,0.022158623647533546,0,0.0,191.64094002616125,199.99999999999997,3,191.64094002616125,False,0,0,0,0,False,False,False,False,-46.94800301431803,-142.64512105215852,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares
AEE,98.31,617101.0,6066.7199310000005,0.0,125.16114536145434,4,125.16114536145434,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-58.85117237894434,-127.70984216850997,Ameren Corporation
ORIC,9.085,811751.0,737.4757835,177.37868002134203,177.37868002134203,6,177.37868002134203,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-123.70695828303703,-161.68307817175202,"Oric Pharmaceuticals, Inc. Common Stock"
NEHC,0.457,2456238.0,112.2500766,0.0,200.0,3,182.1893651790425,0.0,0.0,0,0.0,False,1,0,0,0,True,False,False,False,54.36332767402388,-67.878165108039,New Era Helium Inc Common Stock
CRTO,20.65,262198.0,541.43887,0.0,0.0,0,0.0,0.0,157.27339459131966,3,157.27339459131966,False,0,0,0,0,False,False,False,False,36.907919666540266,-43.75227256894994,Criteo S.A.
MGEE,80.465,53065.0,426.98752250000007,0.0,0.0,0,0.0,0.0,200.0,3,200.0,False,0,0,0,1,False,False,False,True,53.83547852485197,-80.77454566567981,MGE Energy Inc
MASK,0.318699,5167847.0,164.6987671053,0.0,61.57233831338009,0,0.0,0.0,170.23790375224405,2,170.23790375224405,False,0,0,1,0,False,False,True,False,-118.19263863283207,-161.54674011609833,3 E Network Technology Group Ltd Class A Ordinary Shares
AMT,179.49,1063674.0,19091.884626000003,0.0,0.0,0,0.0,0.0,189.16096505789417,2,189.16096505789417,False,0,0,0,0,False,False,False,False,8.982508565359465,-58.80604718762297,American Tower Corporation
ME,0.6063,29751445.0,1803.8301103499998,0.0,106.74118619117229,2,106.74118619117229,131.58443589873286,134.09612030896434,3,131.58443589873286,False,0,1,1,1,False,True,True,True,-89.74410501406108,-141.42939510757162,23andMe Holding Co. Class A Common Stock
CHPT,7.39,590869.0,436.652191,0.0,0.0,0,0.0,0.0,145.25689110197516,2,145.25689110197516,False,0,1,0,1,False,True,False,True,-95.35310836860606,-111.770508308673,"ChargePoint Holdings, Inc."
YSXT,1.68,1221652.0,205.23753599999998,0.0,192.28512788843682,3,192.28512788843682,0.0,184.18655145327872,1,184.18655145327872,False,1,1,1,1,True,True,True,True,-80.68505916899646,-156.5427945149615,"YSX Tech. Co., Ltd Class A Ordinary Shares"
NIU,3.015,544453.0,164.1525795,136.94707418555046,136.94707418555046,2,136.94707418555046,185.52119989942474,185.52119989942474,2,185.52119989942474,False,0,0,1,1,False,False,True,True,-160.89764605599638,-127.4119027671061,Niu Technologies American Depositary Shares
TGL,5.415,399645.0,216.40776749999998,113.98480431838233,113.98480431838233,1,113.98480431838233,140.1401444272385,149.21000503869288,4,140.1401444272385,False,0,0,0,1,False,False,False,True,-94.63769693863594,-179.7984628285895,Treasure Global Inc. Common Stock
MOHO,0.0999,55110503.0,550.55392497,0.0,147.75837253544893,3,147.75837253544893,132.61826162716346,132.61826162716346,1,132.61826162716346,False,1,0,0,0,True,False,False,False,-37.25856697819319,-83.60263612911065,MOHO Stock
COST,856.724,2145237.0,183787.6023588,137.63400673278625,137.63400673278625,3,137.63400673278625,179.6182640440829,179.6182640440829,3,179.6182640440829,True,0,0,1,1,False,False,True,True,-160.599234028707,-190.9586563094659,Costco Wholesale Corporation
ULTY,38.63,447065.0,1727.0120950000003,88.87084783335665,88.87084783335665,0,0.0,188.34954751814308,195.42554016417066,3,188.34954751814308,False,1,1,1,0,True,True,True,False,-197.82669665207587,-92.29339473108807,YieldMax Ultra Option Income Strategy ETF
CUZ,25.06,340197.0,852.533682,0.0,110.99242670445943,1,110.99242670445943,0.0,200.0,2,200.0,False,1,0,1,0,True,False,True,False,-28.98508957917386,-72.75344929392688,Cousins Properties Inc.
