symbol,price,Volume,turnover,pink_daily,blue_daily,max_blue_daily,blue_days,pink_weekly,blue_weekly,max_blue_weekly,blue_weeks,smile_long_daily,smile_short_daily,smile_long_weekly,smile_short_weekly,vol_times,vol_color,vol_devbar,gold_vol_count,double_vol_count,heima_signal,juedi_signal,MACD,DIF,DEA,零轴下金叉,零轴上金叉,零轴上死叉,零轴下死叉,先机信号,底背离,顶背离
AMAT,163.75,1647099.0,269712461.25,8.995815899581599,0.0,60.61255679015505,0,5.364797418105866,0.0,156.80630249757996,1,0,0,0.0,0.0,0.49796848928706505,1,-1.8241468435919224,0,0,0,0,0.1636355539028287,-4.39920252894359,-4.481020305895004,0,0,0,0,1,1,0
BMY,56.82,4381822.0,248975126.04,34.317862165963355,0.0,0.0,0,78.86562356189599,0.0,0.0,0,0,0,0.0,0.0,0.6284933933796962,1,-1.0299290130858325,0,0,0,0,-0.4977566203611878,-0.13452406182842225,0.11435424835217164,0,0,0,0,0,1,0
IPG,27.96,1097020.0,30672679.2,17.62560777957868,0.0,0.0,0,7.9478843640440004,0.0,156.73909388681082,1,0,0,0.0,0.0,0.43352095187926126,1,-1.1419213510210944,0,0,0,0,-0.47637722257954795,-0.641161509181071,-0.402972897891297,0,0,0,0,0,1,0
MCHP,56.78,2701791.0,153407692.98,7.056543547651591,0.0,200.0,3,4.061480959457977,0.0,200.0,5,0,0,0.0,0.0,0.4785081504990897,1,-1.185583335867876,0,1,0,0,0.9780235482798867,-2.9566840304720188,-3.445695804611962,0,0,0,0,0,0,0
TTWO,181.1888,522348.0,94643607.3024,64.05151757645552,0.0,0.0,0,82.87347803070402,0.0,0.0,0,0,0,0.0,0.0,0.5299797077922078,1,-0.8913701996572146,0,0,0,0,-3.140756415380621,0.47175647757120487,2.0421346852615154,0,0,0,0,0,0,1
TPR,65.35,1367572.0,89370830.19999999,92.80917168431088,0.0,0.0,0,97.55961737872815,0.0,0.0,0,0,1,0.0,0.0,0.5603563145861162,1,-1.0461099826237943,0,1,0,0,-0.7919164028290782,2.51663493977415,2.912593141188689,0,0,0,0,0,0,1
