symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
002543.SZ,万和电气,9.93,232780.39,231.15092727,138.61614614673042,6,138.61614614673042,145.07997715011243,1,145.07997715011243,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,1,0,1,1,True,True,-147.74628879892128,-182.80839895013088
002544.SZ,普天科技,32.5,795090.92,2584.0454900000004,0.0,0,0.0,0.0,0,0.0,-172.24345123905042,4,-172.24345123905042,-190.69057451461632,3,-190.69057451461632,False,False,True,True,False,True,0,0,0,0,False,False,142.92371259224058,198.7476616830169
002540.SZ,亚太科技,6.79,660702.6,448.6170654,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,-197.58925109671424,False,False,False,True,False,False,0,0,0,0,False,False,-65.81663630843953,44.1517812090019
002516.SZ,旷达科技,6.53,189011.51,123.42451603,0.0,0,0.0,0.0,0,0.0,-185.8128221847922,3,-185.8128221847922,0.0,0,0.0,False,False,True,False,False,False,0,0,0,0,False,False,94.57052955747432,132.38282530317963
002548.SZ,金新农,5.55,395645.67,219.58334685,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-173.21036674205644,False,False,False,True,False,False,0,0,0,0,False,False,-10.829346092503863,129.10780514230925
002562.SZ,兄弟科技,6.36,178294.0,113.39498400000001,143.99138827220997,3,143.99138827220997,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,1,0,1,1,True,True,-133.15835520559946,-117.72107035264946
002565.SZ,顺灏股份,15.95,2073320.44,3306.9461017999997,0.0,0,0.0,0.0,0,0.0,-200.00000000000003,5,-200.00000000000003,-134.51411514306417,2,-134.51411514306417,False,False,True,True,False,True,0,0,0,0,False,False,135.18146511316462,306.5842646965966
002567.SZ,唐人神,4.38,559490.11,245.05666818,181.1828827545063,3,181.1828827545063,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,True,True,False,False,True,False,1,0,1,1,True,True,-159.15221579961522,-244.03669724770558
002568.SZ,百润股份,21.02,62573.72,131.52995944,0.0,3,110.21925474167695,200.0,2,200.0,0.0,0,0.0,0.0,0,0.0,True,True,False,False,True,False,1,0,1,1,True,True,-116.50554958825646,-210.87024426813278
002578.SZ,闽发铝业,4.47,1007060.0,450.15582,0.0,0,0.0,0.0,0,0.0,0.0,1,-105.06646317769244,0.0,2,-171.85574596571607,False,False,False,True,False,False,0,0,0,0,False,False,4.907313784967892,115.04432743800906
002583.SZ,海能达,11.25,450209.88,506.48611500000004,176.64165713715263,4,176.64165713715263,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,1,0,0,0,True,False,-94.97148781752189,-109.29589449053438
002589.SZ,瑞康医药,3.51,1909848.04,670.35666204,0.0,0,0.0,0.0,0,0.0,0.0,2,-149.28459104228946,0.0,2,-170.2128038364464,False,False,False,True,False,False,0,0,0,0,False,False,-3.994401378122352,188.48013816925732
002595.SZ,豪迈科技,88.19,73126.21,644.90004599,0.0,0,0.0,0.0,0,0.0,-126.37480923827684,5,-126.37480923827684,-194.98037152136175,2,-194.98037152136175,False,False,True,True,False,True,0,0,0,0,False,False,171.0846785613138,213.19754045836905
002596.SZ,海南瑞泽,6.33,1639309.55,1037.68294515,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,-200.0,False,False,False,True,False,False,0,0,0,0,False,False,46.511627906976585,148.70242699400268
002557.SZ,洽洽食品,20.96,69551.18,145.77927327999998,149.467157013504,3,149.467157013504,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,1,0,1,0,True,False,-124.25328554360827,-104.91857760053202
