symbol,company_name,signals,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
ACSI,American Customer Satisfaction ETF,", , , , 周PINK下穿94, , , 倍量柱(2次)",0.794693762112388,0.47803075690099495,0.633326010422786,0.7619294563310495,0.6208917073170731,0.012580498513514726,0.012225657446597612,3.9032517360882544e-05
AGRI,AgriFORCE Growing Systems Ltd. Common Shares,"日PINK上穿10, , , , , 周BLUE>150(3周), 黄金柱(1次), 倍量柱(1次)",-0.1657370041656776,-0.15652761326087358,-0.018418781809608042,0.05212706241895915,0.02141463414634146,-0.003410679364236103,-0.0029294437055566317,-5.293592245474183e-05
AIM,AIM ImmunoTech Inc.,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-0.008403282204350299,-0.003487680624869258,-0.009831203158962082,-0.005565427207571649,0.0017870731707317071,-0.00015535516145149478,-0.00010464926072967431,-5.577649079400252e-06
AMIX,"Autonomix Medical, Inc. Common Stock","日PINK上穿10, , , , , 周BLUE>150(5周), , 倍量柱(1次)",-0.3869205090880854,-0.5307263375566947,0.2876116569372187,0.39201473483492005,0.02627951219512195,-0.007983906160317088,-0.008218194954827321,2.577176739612561e-05
AMJB,Alerian MLP Index ETNs due January 28 2044,", 日PINK下穿94, , , 周PINK下穿94, , , 倍量柱(1次)",0.7493403434411441,0.6860809272782353,0.1265188323258175,0.15741981372903363,0.3191219512195122,0.011247918706264792,0.01108219460444527,1.8229651200147457e-05
AMRC,"Ameresco, Inc.","日PINK上穿10, , , , , 周BLUE>150(2周), , ",-1.4030914245658472,-1.0817174281027773,-0.6427479929261399,-0.5543661637785022,0.2024878048780488,-0.02328919623110015,-0.021230676718457017,-0.0002264371463907448
AOS,A.O. Smith Corporation,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-1.2610433929515068,-0.569357089115708,-1.3833726076715975,-0.6464868773118805,0.6476158536585367,-0.02485111446461208,-0.01738190512104599,-0.0008216130277922698
BBBL,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,", , , , , 周BLUE>150(2周), , 倍量柱(3次)",-0.03328322415239171,-0.1825880503193571,0.2986096523339308,0.41098466109074394,0.46799999999999997,-0.0012156539383882947,-0.0011194895824074111,-1.0578079157897194e-05
BNAIW,N/A,", , , 周PINK上穿10, , , , 倍量柱(2次)",-0.00408264708421275,0.001712147400572362,-0.011589588969570224,-0.007719597954363335,0.000314390243902439,-7.882824966142285e-05,-3.2386938427379646e-05,-5.108544235744754e-06
BNGO,N/A,", , 日BLUE>150(4天), , , 周BLUE>150(5周), , ",-3.253166025681452,-2.4771202783016495,-1.5520914947596047,-1.9996434281554523,0.04878048780487805,-0.050955450054784954,-0.050402579798246624,-6.081572821921622e-05
