持有天数,样本数,平均收益率(%),中位数收益率(%),胜率(%),最大收益(%),最大亏损(%),收益标准差(%)
5,878,0.47662502304972343,0.3896737407730169,53.18906605922551,47.916666666666664,-16.458852867830416,5.91226150168921
10,857,0.4189711690755074,0.8620689655172358,55.425904317386234,29.066666666666663,-37.48633879781421,7.399280781561104
20,845,2.8429080839972243,2.214022140221404,59.88165680473373,84.69055374592836,-25.049504950495045,11.001613239974253
