symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SH605268,王力安防,8.96,57582.0,51.593472000000006,0.0,0,-265.39992634993405,4,0.0,0,0.0,0
SH605286,同力日升,44.64,27122.0,121.072608,0.0,0,0.0,2,0.0,0,-350.0,5
SH605228,神通科技,12.76,106973.0,136.497548,0.0,0,0.0,1,0.0,0,0.0,2
SH605368,蓝天燃气,10.67,42479.0,45.325093,0.0,0,0.0,0,0.0,2,0.0,0
SH605318,法狮龙,26.82,15961.0,42.807402,0.0,0,0.0,0,0.0,0,-193.60923003432444,3
SH605288,凯迪股份,40.52,13871.0,56.20529200000001,0.0,0,0.0,0,0.0,0,0.0,2
SH605319,无锡振华,36.54,57871.0,211.460634,0.0,0,0.0,0,0.0,0,0.0,3
SH605376,博迁新材,42.54,55528.0,236.216112,0.0,0,0.0,0,0.0,0,0.0,3
SH605389,长龄液压,31.9,8237.0,26.27603,0.0,0,0.0,0,0.0,0,0.0,4
SH605555,德昌股份,27.1,65689.0,178.01719000000003,0.0,0,0.0,0,0.0,0,0.0,2
SH688002,睿创微纳,62.66,48144.0,301.670304,0.0,0,0.0,1,0.0,0,0.0,4
SH688022,瀚川智能,18.19,138612.0,252.135228,0.0,0,0.0,0,0.0,0,-215.53544142168272,2
SH688038,中科通达,16.79,54337.0,91.23182299999999,0.0,0,0.0,0,0.0,0,0.0,2
SH688057,金达莱,11.81,12069.0,14.253489000000002,0.0,0,-186.8713574826936,4,0.0,0,0.0,0
SH688071,华依科技,40.8,24669.0,100.64952,0.0,0,0.0,0,0.0,0,0.0,2
SH688080,映翰通,52.06,19595.0,102.01157,0.0,0,0.0,0,0.0,0,0.0,2
SH688003,天准科技,56.56,58556.0,331.192736,0.0,0,0.0,0,0.0,0,0.0,3
SH688081,兴图新科,21.09,13723.0,28.941807,0.0,0,0.0,2,0.0,0,-253.17497816240626,3
SH688096,京源环保,15.04,130502.0,196.27500799999999,0.0,0,0.0,0,0.0,0,-161.80170957127712,5
SH688092,爱科科技,24.44,21304.0,52.066976000000004,0.0,0,0.0,3,0.0,0,0.0,0
SH688093,世华科技,24.15,23075.0,55.726125,0.0,0,0.0,0,0.0,0,0.0,2
SH688097,博众精工,33.95,93681.0,318.04699500000004,0.0,0,0.0,0,0.0,0,0.0,4
SH688110,东芯股份,31.65,84445.0,267.268425,0.0,0,0.0,0,0.0,0,0.0,3
SH688114,华大智造,93.38,57468.0,536.636184,0.0,0,0.0,0,0.0,0,0.0,2
