symbol,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,company_name
01133,2.35,1128000.0,2650800.0,131.89061409892727,0,0.0,0.0,0,0.0,0.0,0,0.0,-176.04447935375796,3,-176.04447935375796,False,False,False,True,哈尔滨电气
01132,0.04,1570000.0,62800.0,175.35404999345758,5,175.35404999345758,175.03947321396197,5,175.03947321396197,0.0,0,0.0,0.0,0,0.0,True,True,False,False,橙天嘉禾
01138,8.7,15803258.0,137488344.6,0.0,0,0.0,0.0,2,184.99455813335433,0.0,0,0.0,0.0,0,0.0,False,True,False,False,中远海能
01140,0.13,720000.0,93600.0,0.0,0,0.0,177.5062944823775,4,177.5062944823775,0.0,0,0.0,0.0,0,0.0,False,True,False,False,华科智能投资
01164,2.02,25545000.0,51600900.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,中广核矿业
01188,0.02,3694000.0,73880.0,161.78267658475042,6,161.78267658475042,199.99999999999997,5,199.99999999999997,0.0,0,0.0,0.0,0,0.0,True,True,False,False,正道集团
01193,23.5,2658924.0,62484714.0,0.0,2,156.6024865757608,0.0,3,190.9307620205413,0.0,0,0.0,0.0,0,0.0,False,True,False,False,华润燃气
01199,4.55,1953844.0,8889990.2,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,1,-165.07537758745727,False,True,False,False,中远海运港口
01195,0.02,1436000.0,28720.0,0.0,0,0.0,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,京维集团
01203,0.52,212000.0,110240.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,广南(集团)
01204,3.35,182000.0,609700.0,0.0,3,195.18615738469245,0.0,2,199.99999999999997,0.0,0,0.0,0.0,0,0.0,True,True,False,False,博维智慧
01215,0.01,700000.0,7000.0,154.571976737114,2,154.571976737114,0.0,3,164.18004438870852,-200.0,6,-200.0,0.0,0,0.0,False,True,True,False,开源控股
01217,0.01,320000.0,3200.0,200.0,6,200.0,0.0,0,0.0,-186.78121260243347,6,-186.78121260243347,0.0,0,0.0,True,False,True,False,中国创新投资
01222,0.03,169698.0,5090.94,114.61320529480527,0,0.0,176.07865208962096,5,176.07865208962096,0.0,0,0.0,0.0,3,-200.0,False,True,False,True,WANG ON GROUP
01223,0.8,590000.0,472000.0,0.0,0,0.0,0.0,3,179.9324897335869,0.0,0,0.0,0.0,0,0.0,False,True,False,False,新沣集团
01239,0.11,177500.0,19525.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,-149.5993655049466,0,0.0,False,True,False,False,TEAMWAY INTL GP
01243,0.04,988000.0,39520.0,0.0,1,184.45529047822856,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,宏安地产
01247,0.85,10600.0,9010.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,米格国际控股
01278,0.06,1460000.0,87600.0,200.0,6,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,中国新城镇
01280,0.47,398000.0,187060.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-180.706208822906,False,False,False,True,奇点国峰
01284,0.24,15630000.0,3751200.0,0.0,3,185.46926460567974,0.0,2,195.03643780157645,0.0,0,0.0,0.0,0,0.0,True,True,False,False,新传企划
01263,2.64,368000.0,971520.0,0.0,4,174.74198341173732,0.0,0,0.0,0.0,0,0.0,0.0,1,-200.0,True,False,False,False,栢能集团
01292,2.2,60000.0,132000.0,69.67228351203629,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,长安民生物流
01316,3.68,3735000.0,13744800.0,199.99999999999997,5,199.99999999999997,0.0,0,0.0,0.0,0,0.0,0.0,1,-157.99297914899222,True,False,False,False,耐世特
01340,0.04,212000.0,8480.0,161.61504529789474,4,161.61504529789474,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,惠生国际
01330,2.74,2138246.0,5858794.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,绿色动力环保
01338,0.04,156000.0,6240.0,153.32283873373257,2,153.32283873373257,199.99999999999997,5,199.99999999999997,0.0,0,0.0,0.0,0,0.0,False,True,False,False,霸王集团
01351,0.24,84000.0,20160.0,0.0,0,0.0,0.0,3,183.9258215937292,-101.51189164864223,0,0.0,0.0,0,0.0,False,True,False,False,辉煌明天
01359,0.67,37928000.0,25411760.0,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,中国信达
01381,3.9,2061757.0,8040852.3,0.0,1,158.21128223891415,0.0,0,0.0,0.0,0,0.0,-156.96249091177336,2,-156.96249091177336,False,False,False,True,粤丰环保
01382,1.4,1244000.0,1741600.0,0.0490746885282844,0,0.0,0.0,2,191.5321628896094,0.0,0,0.0,0.0,0,0.0,False,True,False,False,互太纺织
01385,9.67,3338000.0,32278460.0,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,上海复旦
01398,4.1,248674905.0,1019567110.4999999,187.78271895268733,4,187.78271895268733,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,工商银行
01393,0.08,167000.0,13360.0,200.0,6,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,恒鼎实业
01399,0.22,12000.0,2640.0,0.0,4,167.83284290088417,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,锐信控股
01428,1.51,1352000.0,2041520.0,0.0,5,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,耀才证券金融
01429,0.03,312000.0,9360.0,200.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,天任集团
01458,1.74,3826000.0,6657240.0,84.53391303124995,0,0.0,0.0,0,0.0,0.0,0,0.0,-170.2132540042385,2,-170.2132540042385,False,False,False,True,周黑鸭
01456,2.88,1423000.0,4098240.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,国联证券
01472,0.06,25000.0,1500.0,200.0,6,200.0,0.0,3,184.608008698292,0.0,0,0.0,0.0,0,0.0,True,True,False,False,生兴控股
01475,5.0,258000.0,1290000.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-200.0,3,-200.0,False,False,False,True,日清食品
01486,0.4,14000.0,5600.0,0.0,0,0.0,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,思城控股
01516,1.66,10681450.0,17731207.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,融创服务
01525,3.19,45000.0,143550.0,0.0,0,0.0,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,建桥教育
01523,2.6,64000.0,166400.0,143.44902463175902,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,珩湾科技
01530,5.59,6712500.0,37522875.0,87.95893430681396,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-166.44204232696563,False,False,False,True,三生制药
01542,2.66,9000.0,23940.0,0.0,0,0.0,0.0,2,200.0,0.0,1,-183.15607919375927,0.0,0,0.0,False,True,False,False,台州水务
01556,0.28,420000.0,117600.00000000001,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,-200.00000000000003,False,False,False,True,建业建荣
01555,0.03,70000.0,2100.0,143.2379880090564,0,0.0,200.00000000000003,5,200.00000000000003,-137.50655254354376,0,0.0,0.0,0,0.0,False,True,False,False,MI能源
01558,11.96,2140000.0,25594400.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-179.8287220256392,2,-179.8287220256392,False,False,False,True,东阳光长江药业
01563,0.45,28219000.0,12698550.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,友联国际教育租赁
01569,0.24,338000.0,81120.0,0.0,0,0.0,200.00000000000003,5,200.00000000000003,0.0,0,0.0,0.0,0,0.0,False,True,False,False,民生教育
01561,0.16,4000.0,640.0,0.0,0,0.0,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,联洋智能控股
01576,2.06,89000.0,183340.0,140.07246079175064,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,齐鲁高速
01599,1.9,400000.0,760000.0,0.0,0,0.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,城建设计
01615,0.26,5000.0,1300.0,0.0,0,0.0,0.0,0,0.0,0.0,5,-200.0,0.0,0,0.0,False,False,True,False,奥邦建筑
01606,2.02,3502000.0,7074040.0,0.0,0,0.0,0.0,2,195.58578359354294,0.0,0,0.0,0.0,0,0.0,False,True,False,False,国银金租
01616,0.02,4726000.0,94520.0,159.26983145801023,6,159.26983145801023,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,一元宇宙
01628,0.05,142692.0,7134.6,0.005738028086825708,0,0.0,0.0,2,179.51913872626508,0.0,0,0.0,0.0,0,0.0,False,True,False,False,禹洲集团
01637,0.09,398000.0,35820.0,0.0,0,0.0,0.0,0,0.0,0.0,1,-163.02385723559524,-198.23251196183392,2,-198.23251196183392,False,False,False,True,顺兴集团控股
01666,4.8,1097700.0,5268960.0,123.29559066725476,0,0.0,0.0,2,189.17167437520968,0.0,0,0.0,0.0,0,0.0,False,True,False,False,同仁堂科技
01663,0.12,82000.0,9840.0,0.0,0,0.0,0.0,2,155.94880418130973,0.0,0,0.0,0.0,0,0.0,False,True,False,False,汉港控股
01669,0.52,2000.0,1040.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,环球信贷集团
01673,0.25,1046000.0,261500.0,0.0,4,199.06225302690484,0.0,1,195.23960772806578,0.0,0,0.0,0.0,0,0.0,True,False,False,False,华章科技
01681,5.57,710000.0,3954700.0,200.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-167.4151682961088,True,False,False,True,康臣药业
01692,2.78,44000.0,122319.99999999999,0.0,0,0.0,186.94114282340362,2,186.94114282340362,0.0,0,0.0,0.0,2,-181.36384424888575,False,True,False,True,登辉控股
01690,0.07,120000.0,8400.0,0.0,0,0.0,0.0,4,182.90698716041757,0.0,0,0.0,-200.0,5,-200.0,False,True,False,True,立基工程控股
01711,0.08,80000.0,6400.0,0.0,0,0.0,164.4115676638613,4,164.4115676638613,0.0,0,0.0,0.0,0,0.0,False,True,False,False,欧化
01713,1.72,94000.0,161680.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-188.53880039665637,4,-188.53880039665637,False,False,False,True,四川能投发展
01716,0.35,2000.0,700.0,179.99601528689834,3,179.99601528689834,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,毛记葵涌
01726,1.95,830000.0,1618500.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,HKE HOLDINGS
01733,1.62,2216499.0,3590728.3800000004,0.0,0,0.0,0.0,3,169.40949285777123,0.0,0,0.0,0.0,0,0.0,False,True,False,False,易大宗
01731,0.63,380000.0,239400.0,0.2501953468986684,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,其利工业集团
01736,0.06,90000.0,5400.0,139.03364509859267,0,0.0,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,中国育儿网络
01742,0.04,40000.0,1600.0,135.69738458130033,0,0.0,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,HPC HOLDINGS
01738,0.16,150000.0,24000.0,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,飞尚无烟煤
01745,0.46,14000.0,6440.0,0.0,0,0.0,0.0,2,163.8825371818116,0.0,0,0.0,0.0,0,0.0,False,True,False,False,驴迹科技
01756,0.68,64000.0,43520.0,0.0,0,0.0,0.0,0,0.0,-172.19325942382162,5,-172.19325942382162,0.0,0,0.0,False,False,True,False,中国职业教育
01755,2.36,625000.0,1475000.0,181.02028302684707,5,181.02028302684707,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,新城悦服务
01750,0.03,50000.0,1500.0,0.0,0,0.0,0.0,0,0.0,-185.5625260591539,4,-185.5625260591539,0.0,3,-199.99999999999997,False,False,True,True,全达电器集团控股
01767,0.21,2220000.0,466200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-165.78186839762904,2,-165.78186839762904,False,False,False,True,TS WONDERS
01777,0.03,355500.0,10665.0,0.0,3,179.1430241869092,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,花样年控股
01812,1.82,2736000.0,4979520.0,199.99999999999997,2,199.99999999999997,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,晨鸣纸业
01815,0.26,510500.0,132730.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-200.0,2,-200.0,False,False,False,True,金猫银猫
01813,0.24,2911500.0,698760.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,合景泰富集团
01837,0.53,278000.0,147340.0,0.0,3,160.13423554904986,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,五谷磨房
01846,4.84,12000.0,58080.0,0.0,1,152.66420986935722,0.0,2,175.46896578291356,0.0,0,0.0,0.0,0,0.0,False,True,False,False,德视佳
01848,3.07,147500.0,452825.0,0.013305156166085201,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,-188.64190972807663,False,False,False,True,中国飞机租赁
01860,2.51,218000.0,547180.0,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,汇量科技
01862,0.02,255000.0,5100.0,184.452166855056,6,184.452166855056,200.00000000000003,5,200.00000000000003,0.0,0,0.0,0.0,0,0.0,True,True,False,False,景瑞控股
01868,0.41,23000.0,9430.0,178.46916525568793,2,178.46916525568793,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,同方友友
01826,0.04,40000.0,1600.0,149.01245336651647,0,0.0,0.0,3,196.85686678102653,0.0,1,-200.0,0.0,0,0.0,False,True,False,False,丰展控股
01850,0.77,38580000.0,29706600.0,0.0,0,0.0,0.0,0,0.0,-200.0,3,-200.0,0.0,0,0.0,False,False,True,False,鸿盛昌资源
01907,3.03,4453000.0,13492590.0,0.0,0,0.0,0.0,3,192.28904209962187,0.0,0,0.0,0.0,0,0.0,False,True,False,False,中国旭阳集团
01910,27.85,4913454.0,136839693.9,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,新秀丽
01901,0.18,7606000.0,1369080.0,0.0,0,0.0,0.0,0,0.0,-167.14913855222784,6,-167.14913855222784,0.0,0,0.0,False,False,True,False,飞扬集团
01913,57.65,339629.0,19579611.849999998,83.48362609459029,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,普拉达
01918,0.96,122673943.0,117766985.28,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,融创中国
01919,9.11,66667551.0,607341389.61,152.21479532117505,6,152.21479532117505,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,中远海控
01951,2.32,4809500.0,11158040.0,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,锦欣生殖
01942,0.85,13148000.0,11175800.0,0.0,2,184.16192101589962,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,马可数字科技
01953,0.16,100000.0,16000.0,0.0,0,0.0,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,RIMBACO
01970,7.01,83600.0,586036.0,200.00000000000003,1,200.00000000000003,0.0,2,195.46108310485945,0.0,0,0.0,0.0,0,0.0,False,True,False,False,IMAX CHINA
01978,0.82,24000.0,19680.0,0.0,0,0.0,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,叙福楼集团
01996,0.04,6000.0,240.0,0.015818033851867638,0,0.0,183.63304799143782,3,183.63304799143782,0.0,0,0.0,0.0,0,0.0,False,True,False,False,弘阳地产
01999,5.32,6248400.0,33241488.0,0.0,5,199.99999999999997,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,True,True,False,False,敏华控股
02003,2.19,1200.0,2628.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,维信金科
02005,4.75,2144000.0,10184000.0,0.0,0,0.0,0.0,2,193.45812421766183,0.0,0,0.0,0.0,0,0.0,False,True,False,False,石四药集团
02038,0.66,5703053.0,3764014.98,0.23095718989111877,0,0.0,0.0,2,200.00000000000003,0.0,0,0.0,0.0,0,0.0,False,True,False,False,富智康集团
02076,67.75,22200.0,1504050.0,189.11052533615432,5,189.11052533615432,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,True,False,False,True,BOSS直聘-W
02057,159.8,2359690.0,377078462.0,3.550815867698257,0,0.0,0.0,2,175.01917513581478,0.0,0,0.0,0.0,0,0.0,False,True,False,False,中通快递-W
02126,1.72,97500.0,167700.0,155.01159910369537,3,155.01159910369537,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,药明巨诺-B
02128,3.01,3982629.0,11987713.29,163.92536836712384,5,163.92536836712384,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,中国联塑
02121,4.12,3067700.0,12638924.0,0.06009556030698624,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,创新奇智
02129,0.1,380000.0,38000.0,150.61837230878692,2,150.61837230878692,0.0,0,0.0,0.0,0,0.0,-187.97322072776797,3,-187.97322072776797,False,False,False,True,LEGION CONSO
02150,2.28,1850500.0,4219140.0,0.668033311030493,0,0.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,奈雪的茶
02156,2.96,174000.0,515040.0,0.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,建发物业
02176,0.83,150000.0,124500.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,-200.0,False,False,False,True,赛迪顾问
02179,9.15,33500.0,306525.0,0.0,0,0.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,瑞科生物-B
02178,0.06,190000.0,11400.0,169.57714133065053,5,169.57714133065053,0.023579687954250344,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,百勤油服
02190,9.75,52000.0,507000.0,0.02538766788630155,0,0.0,0.0,0,0.0,0.0,0,0.0,-200.0,3,-200.0,False,False,False,True,归创通桥-B
02188,0.31,88000.0,27280.0,0.0,0,0.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,泰坦能源技术
02187,0.99,1064000.0,1053360.0,0.0,0,0.0,200.0,5,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,智欣集团控股
02208,3.03,4444000.0,13465320.0,200.0,4,200.0,0.0,1,200.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,金风科技
02205,0.71,11000.0,7810.0,0.0,0,0.0,200.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,康桥悦生活
02202,3.75,34044010.0,127665037.5,200.0,6,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,万科企业
02199,2.23,61000.0,136030.0,0.0,0,0.0,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,维珍妮
02186,2.66,23062500.0,61346250.0,0.0,0,0.0,0.0,2,189.15672274961963,0.0,0,0.0,0.0,0,0.0,False,True,False,False,绿叶制药
02210,3.51,12800.0,44928.0,0.0,3,200.0,159.8489180861807,2,159.8489180861807,0.0,0,0.0,0.0,0,0.0,True,True,False,False,京城佳业
02219,3.65,623500.0,2275775.0,0.0,0,0.0,0.0,2,184.79978886738323,0.0,0,0.0,0.0,0,0.0,False,True,False,False,朝聚眼科
02217,0.93,1158000.0,1076940.0,6.659174688296782,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,-200.0,False,False,False,True,谭仔国际
02246,0.25,721400.0,180350.0,166.98384710233964,5,166.98384710233964,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,快狗打车
02255,0.72,2439000.0,1756080.0,200.0,3,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,海昌海洋公园
