symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
CGMS,26.7647,106150.0,284.10729050000003,0.0,0.0,0,0.0,258.49401265415315,2,0.0,0,0.0,0,Capital Group U.S. Multi-Sector Income ETF
JNVR,38.6899,169142.0,654.40870658,0.0,0.0,0,0.0,0.0,0,0.0,2,0.0,3,Janover Inc. Common Stock
FERG,161.94,514778.0,8336.314932,0.0,0.0,0,0.0,229.11681861513372,2,0.0,0,0.0,0,Ferguson Enterprises Inc.
SHOO,19.975,890738.0,1779.249155,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Steven Madden Ltd
AAPU,21.26,354990.0,754.70874,0.0,0.0,0,0.0,181.33006839585929,2,0.0,0,0.0,0,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares
CXT,44.05,62514.0,275.37417,0.0,0.0,0,0.0,172.9951030352917,3,0.0,0,0.0,0,"Crane NXT, Co."
SLYG,77.4581,189212.0,1465.60020172,0.0,0.0,0,0.0,247.92715906366487,2,0.0,0,0.0,0,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index--symbol: CKG)
MNRO,14.35,177220.0,254.3107,0.0,171.34410190078918,2,0.0,260.0582559343125,3,0.0,0,0.0,0,"Monro, Inc. Common Stock"
CGHM,24.2,161362.0,390.49604,0.0,0.0,0,0.0,350.0,3,0.0,0,0.0,0,Capital Group Municipal High-Income ETF
CUTR,0.0969,29608605.0,286.90738245,282.98592519088544,329.87649435698444,3,103.45304062296381,103.45304062296381,0,0.0,0,0.0,0,"Cutera, Inc."
WY,25.257797,865291.0,2185.5344423927004,0.0,0.0,0,0.0,227.49144255502185,2,0.0,0,0.0,0,Weyerhaeuser Company
ABEO,5.16,465108.0,239.995728,0.0,0.0,0,0.0,232.52475674961914,3,0.0,0,0.0,0,Abeona Therapeutics Inc. Common Stock
EMN,78.69,360805.0,2839.174545,0.0,0.0,0,0.0,186.1758651882404,2,0.0,0,0.0,0,Eastman Chemical Company
