symbol,name,price,Volume,turnover,pink_daily,blue_daily,blue_days,pink_weekly,blue_weekly,blue_weeks,smile_long_daily,smile_short_daily,smile_long_weekly,smile_short_weekly,vol_times,vol_color,gold_vol_count,double_vol_count,DIF,DEA,MACD,EMAMACD,零轴下金叉,零轴上金叉,零轴上死叉,零轴下死叉,先机信号,底背离,顶背离
SZ000488,晨鸣纸业,2.73,264763,722802.99,0.5017201834862606,195.37658553688343,6,-0.4510974412780171,200.0,3,0,0,0.0,0.0,0.9717107508688998,1,0,0,-0.19475819062948174,-0.15672241060493144,-0.0760715600491006,-0.0707545724250292,0,0,0,0,0,0,0
SZ000668,荣丰控股,7.02,61219,429757.37999999995,34.54760217339948,0.0,5,11.531365313653119,0.0,0,0,0,1.0,0.0,0.5649593946105574,1,1,1,-0.572519651713205,-0.6904317678257255,0.235824232225041,-0.06383918353836682,0,0,0,0,0,0,0
SZ000682,东方电子,9.15,145081,1327491.1500000001,-1.9530158025422106,197.22204613880749,6,6.433408577878115,200.0,2,0,0,0.0,0.0,1.5226485590142944,1,0,0,-0.5440632011834587,-0.35838695013355404,-0.3713525020998094,-0.3141471782318893,0,0,0,0,0,0,0
SZ000711,*ST京蓝,1.5,390249,585373.5,20.634920634920636,0.0,3,-0.41666666666667496,200.0,3,0,0,0.0,0.0,0.8541290487790465,1,0,0,-0.12582070743369145,-0.09812326991368399,-0.05539487504001492,-0.08588439365578567,0,0,0,0,1,0,0
SZ001376,百通能源,12.71,85721,1089513.9100000001,-2.7234369006520884,198.0625261408595,4,1.5034133713433224,170.7758377474207,2,0,0,0.0,0.0,1.2504886943836615,1,0,0,-0.7053801561865516,-0.37584720541209404,-0.6590659015489151,-0.5463731343252799,0,0,0,0,0,0,0
SZ002068,黑猫股份,11.4,348893,3977380.2,87.35585081979627,0.0,0,92.86818116211612,0.0,0,0,1,0.0,1.0,1.0770928714100043,1,0,0,0.9257075181519898,0.8134000825738156,0.22461487115634848,0.27757038247310434,0,0,0,0,0,0,0
SZ002322,理工能科,11.4,39002,444622.8,2.7021452145214937,176.19927454526385,5,-1.2328768709247093,200.0,2,0,0,0.0,0.0,0.7591186889330064,1,0,0,-0.662015150959343,-0.47570882979496254,-0.372612642328761,-0.34647184388422825,0,0,0,0,0,0,0
SZ002332,仙琚制药,9.63,112113,1079648.1900000002,2.8179040211125677,187.7839364115474,6,5.8959383923689295,200.00000000000003,4,0,0,0.0,0.0,0.8957717445149331,1,0,0,-0.6343454210003738,-0.6530061805126224,0.037321519024497096,-0.01711482349278304,1,0,0,0,0,0,0
SZ002496,辉丰股份,1.71,226054,386552.33999999997,2.641896938013434,173.0089385850356,3,0.42683951715556834,200.0,3,0,0,0.0,0.0,0.8119668250701322,1,0,0,-0.20214504242914866,-0.16683059541843545,-0.07062889402142641,-0.10650147256494136,0,0,0,0,1,0,0
SZ300049,福瑞股份,31.58,139222,4396630.76,7.868738853720902,0.0,6,5.1025028191181505,200.0,4,0,0,0.0,0.0,3.9139186415900595,1,1,1,-2.3067048305024294,-2.318773148286735,0.024136635568611453,-0.4639288612511353,1,0,0,0,1,0,0
SZ300205,ST天喻,3.93,50441,198233.13,1.8736074139800696,170.60359534883906,6,-2.8414412212410234,200.0,2,0,0,0.0,0.0,0.8250891484280433,1,0,0,-0.5039005330574078,-0.4421137902437752,-0.12357348562726522,-0.18554921454635648,0,0,0,0,0,0,0
SZ300630,*ST普利,3.7,724963,2682363.1,1.4084507042253795,200.0,5,4.1799128694218775,200.0,2,0,0,0.0,0.0,0.7619895985739031,1,0,1,-1.788509492283504,-1.2840736016840024,-1.0088717811990033,-0.7276698192314404,0,0,0,0,0,0,0
SZ300858,科拓生物,13.04,26735,348624.39999999997,2.991669254678934,175.79635082581387,7,-0.6281981905039702,200.0,2,0,0,0.0,0.0,0.6177931831311381,1,0,0,-1.0309988286110379,-0.736478535674693,-0.5890405858726897,-0.6976251989992277,0,0,0,0,0,0,0
SH600023,浙能电力,5.14,346809,1782598.2599999998,1.393099684695592,183.69688438075457,5,-2.8229888852206617,182.2528196899948,4,0,0,0.0,0.0,0.946012149448583,1,0,0,-0.1962722348148782,-0.10071670097277173,-0.19111106768421296,-0.17003270271424556,0,0,0,0,0,0,0
SH600489,中金黄金,12.84,993154,12752097.36,50.506756756756815,0.0,0,9.234319134596747,0.0,2,0,0,0.0,0.0,2.5317606391385703,1,1,1,-0.01050637335304927,-0.1660707491075446,0.31112875150899066,0.23588771422739,0,0,0,0,0,0,0
SH600674,川投能源,15.65,254798,3987588.7,-2.1777238403452124,164.8590065542385,4,2.1359462344405387,200.0,2,0,0,0.0,0.0,1.7067890276986972,1,0,0,-0.4055280329259645,-0.17045090294576887,-0.4701542599603913,-0.37902630457024516,0,0,0,0,0,0,0
SH600795,国电电力,4.23,767705,3247392.1500000004,1.5557359307359973,194.81216821274361,8,1.5201262152481627,160.51496910323135,3,0,0,0.0,0.0,0.8960257426274146,1,0,0,-0.15284763085438247,-0.09988830107924304,-0.10591865955027885,-0.08904548335005057,0,0,0,0,0,0,0
SH600818,中路股份,10.45,40447,422671.14999999997,3.9626938205233273,153.15184960577614,6,1.6362410656122006,200.0,2,0,0,0.0,0.0,0.858510389913612,1,0,0,-0.9432819174393163,-0.7089146303076715,-0.46873457426328957,-0.5495166605740994,0,0,0,0,0,0,0
