symbol,company_name,signals,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-0.257761797842992,-0.3683058809192639,0.22108816615254379,0.18859668752337644,0.17623439024390244,-0.003858638162058725,-0.004625970652030818,8.440657389693025e-05
AGGS,Harbor Disciplined Bond ETF,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.11597786263347132,-0.2203153945309459,0.20867506379494916,0.17031046204638828,0.3956465853658537,-0.0016578894977692382,-0.0023254331305825188,7.342979960946086e-05
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",", , 日BLUE>150(3天), , , 周BLUE>150(3周), , ",-0.28837103909629835,-0.2694556045705844,-0.03783086905142796,-0.071183783940176,0.033195121951219514,-0.004350418207791994,-0.004444785396480452,1.0380390755730453e-05
AMZD,Direxion Daily AMZN Bear 1X Shares,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.271556886000754,-0.21227901925396897,-0.11855573349357007,-0.06556054777708971,0.10682975609756097,-0.004725371440118753,-0.00433647639634723,-4.277845481486754e-05
AZTR,Azitra Inc,", , 日BLUE>150(4天), , , 周BLUE>150(4周), , 倍量柱(2次)",-0.07288606135802733,-0.05136320081315027,-0.04304572108975413,-0.047519183655065765,0.0023914634146341464,-0.0011689620803030502,-0.0011183430395255295,-5.568094485527277e-06
BBBL,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,", , 日BLUE>150(3天), , , 周BLUE>150(2周), 黄金柱(1次), 倍量柱(1次)",-0.23785253635693238,-0.5011188366870912,0.5265326006603177,0.4002288177717631,0.46806268292682923,-0.0030741044858496602,-0.004961798361545863,0.00020764632632658226
BEEM,N/A,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-0.20860199608497876,-0.14696530890292897,-0.12327337436409957,-0.07643007098517249,0.0265,-0.0039284487790761,-0.003365622361435167,-6.191090594050262e-05
BILD,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.2600006318257968,-0.46127750385689437,0.40255374406219513,0.34923595358850473,0.23490195121951218,-0.003983770189792957,-0.005099921970577839,0.00012277669588633703
BITF,N/A,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-0.09007518076896903,-0.09756368975766261,0.014977017977387153,0.04215644262241785,0.014364634146341463,-0.001471658580691983,-0.0012951871712351417,-1.941185504025255e-05
BRAZ,N/A,", , , , , 周BLUE>150(5周), , 倍量柱(2次)",0.017425627660379917,-0.344046002702182,0.7229432607251238,0.67558752810852,0.20473170731707316,0.00010777970566050454,-0.0020107960429354053,0.00023304333234555009
BUJAW,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.0011700606766225329,-0.0008178782154601219,-0.0007043649223248218,0.0015659385793869568,0.00019487804878048781,-2.6600690791621817e-05,-1.105749510308729e-05,-1.709751525738798e-06
CDTG,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.8769906732776127,-0.6158131750215631,-0.5223549965120993,-0.7215567348577717,0.011951219512195122,-0.01265234234453809,-0.012674211944332199,2.405655977352015e-06
CMSA,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",-0.17075383469304484,-0.36866761689597477,0.39582756440585987,0.34272445710270105,0.22363414634146345,-0.00283055856653161,-0.004074232526511071,0.00013680413559774075
COHU,N/A,"日PINK上穿10, , , 周PINK上穿10, , , , ",-1.0129135589169032,-0.6637107199347758,-0.6984056779642547,-0.6304619070095848,0.22302439024390244,-0.01577356452724213,-0.013089539593005668,-0.00029524274276601073
CPSI,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-0.4204333483517946,-0.266449347677117,-0.3079680013493552,-0.29622600647709657,0.09165853658536585,-0.006326572597555841,-0.005986558878176824,-3.740150913169182e-05
CRON,N/A,"日PINK上穿10, , , , , 周BLUE>150(2周), , ",-0.03830317056159993,-0.02176844864603129,-0.03306944383113728,-0.020127213702260293,0.01829268292682927,-0.0006985875538162191,-0.0005383365643137029,-1.762760884527678e-05
CTCXW,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",-0.01057814165100203,-0.010639338222958993,0.0001223931439139278,0.000766648846762296,0.00036585365853658537,-0.00017821322848910956,-0.00017970442434794655,1.6403154447206907e-07
DMYY,N/A,", 日PINK下穿94, , , , 周BLUE>150(3周), , 倍量柱(2次)",0.019126013667358777,0.01145153651193271,0.015348954310852134,0.00908683298529225,0.1041951219512195,0.0002529305680866317,0.0001284563252831722,1.369216670838055e-05
DWCR,N/A,", , , , , 周BLUE>150(4周), 黄金柱(1次), 倍量柱(2次)",0.12190955348292931,-0.15271466089873545,0.5492484287633295,0.4290464626395416,0.2824941463414634,0.002378763992455457,0.0002862497140337469,0.00023017657062638814
DXD,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-0.5661313202126124,-0.09074115994676292,-0.9507803205316989,-0.8117142609584945,0.24232439024390245,-0.009617387190009485,-0.0067804589579779,-0.00031206210552347445
DYN,N/A,", , 日BLUE>150(5天), , , 周BLUE>150(2周), , ",-4.18346688190309,-3.7513846782533093,-0.8641644072995618,-1.5161720997316765,0.13614634146341464,-0.0639276182256256,-0.06621809769706387,0.0002519527418582103
EGY,N/A,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-0.11501387360868698,-0.11584531594725775,0.0016628846771415406,0.07636262369467414,0.041402439024390246,-0.0022420821195874296,-0.0017601398736468985,-5.301364705345843e-05
