symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SH605222,起帆电缆,14.59,13518.0,19.722762,0.0,0,0.0,0,0.0,2,0.0,0
SH605318,法狮龙,28.87,21027.0,60.704949,0.0,0,0.0,0,0.0,0,0.0,3
SH605188,国光连锁,11.4,437969.0,499.28466000000003,0.0,0,-160.23944474537086,5,0.0,0,-180.86090556458282,2
SH605338,巴比食品,20.23,74996.0,151.71690800000002,0.0,0,0.0,4,0.0,0,0.0,0
SH605369,拱东医疗,24.87,11772.0,29.276964000000003,0.0,0,0.0,0,0.0,2,0.0,0
SH605588,冠石科技,44.32,35446.0,157.09667199999998,0.0,0,0.0,0,0.0,0,0.0,2
SH688052,纳芯微,201.0,57274.0,1151.2074,0.0,0,-251.03132702886936,3,0.0,0,-266.5269634264637,2
SH688068,热景生物,117.54,18348.0,215.66239199999998,0.0,0,0.0,2,0.0,0,-255.9717872459289,4
SH688087,英科再生,22.2,29964.0,66.52008,0.0,1,0.0,0,0.0,2,0.0,0
SH688096,京源环保,17.04,80594.0,137.332176,0.0,0,0.0,0,0.0,0,0.0,3
SH688091,上海谊众,44.11,29687.0,130.94935700000002,0.0,0,-209.38881392115977,3,0.0,0,0.0,0
SH688102,斯瑞新材,11.69,198702.0,232.282638,0.0,0,0.0,2,0.0,0,0.0,2
SH688136,科兴制药,33.89,63463.0,215.07610699999998,0.0,0,0.0,1,0.0,0,-178.84512812975345,4
SH688123,聚辰股份,67.78,65545.0,444.26401,0.0,0,0.0,0,0.0,0,0.0,2
SH688156,路德环境,16.6,68922.0,114.41052000000002,0.0,0,-284.6868882601612,5,0.0,0,-210.1811701837489,2
SH688169,石头科技,183.6,23503.0,431.51507999999995,0.0,0,0.0,0,0.0,2,0.0,0
SH688170,德龙激光,20.21,9961.0,20.131180999999998,0.0,1,0.0,0,0.0,2,0.0,0
SH688178,万德斯,18.84,25956.0,48.901104,0.0,0,0.0,0,0.0,0,0.0,2
SH688186,广大特材,24.56,56057.0,137.67599199999998,0.0,0,0.0,0,0.0,0,0.0,4
SH688192,迪哲医药,47.6,46118.0,219.52168000000003,0.0,0,0.0,0,0.0,0,0.0,2
SH688197,首药控股,31.2,11682.0,36.44784,0.0,1,0.0,0,0.0,2,0.0,0
SH688210,统联精密,17.28,31358.0,54.186624,0.0,1,0.0,0,0.0,2,0.0,0
SH688337,普源精电,41.01,66962.0,274.611162,0.0,0,-458.0,4,0.0,0,0.0,0
SH688386,泛亚微透,49.32,21538.0,106.225416,0.0,0,0.0,1,0.0,0,-203.64068535489736,2
SH688382,益方生物,20.1,112445.0,226.01445,0.0,0,0.0,0,0.0,0,0.0,2
SH688426,康为世纪,17.56,8857.0,15.552891999999998,0.0,1,0.0,0,0.0,2,0.0,0
SH688408,中信博,46.54,30235.0,140.71368999999999,0.0,0,0.0,0,0.0,2,0.0,0
SH688501,青达环保,20.98,42525.0,89.21745,0.0,0,0.0,0,0.0,0,-178.16757130171783,3
SH688488,艾迪药业,10.88,89084.0,96.923392,0.0,0,0.0,0,0.0,0,0.0,2
SH688500,慧辰股份,26.19,7878.0,20.632482,0.0,1,0.0,0,0.0,3,0.0,0
SH688506,百利天恒,263.14,13995.0,368.26443,0.0,0,-223.45563146548866,2,0.0,0,-176.36568836006143,3
SH688516,奥特维,35.66,20389.0,72.70717399999998,0.0,1,0.0,0,0.0,2,0.0,0
SH688545,兴福电子,26.46,33924.0,89.762904,0.0,1,0.0,0,0.0,2,0.0,0
SH688536,思瑞浦,167.0,70618.0,1179.3206,0.0,0,-90.39530527308989,0,0.0,0,-337.05743845497165,2
SH688559,海目星,27.64,24897.0,68.815308,0.0,1,0.0,0,0.0,2,0.0,0
SH688591,泰凌微,38.9,88537.0,344.40893,0.0,0,0.0,0,0.0,0,0.0,2
SH688578,艾力斯,85.95,21950.0,188.66025,0.0,0,0.0,0,0.0,0,0.0,2
SH688597,煜邦电力,10.43,41801.0,43.598442999999996,0.0,0,0.0,0,0.0,0,0.0,2
SH688580,伟思医疗,39.87,34816.0,138.81139199999998,0.0,0,0.0,0,0.0,0,0.0,2
SH688602,康鹏科技,7.35,212112.0,155.90232,0.0,1,0.0,1,0.0,2,0.0,0
SH688600,皖仪科技,19.98,59970.0,119.82006000000001,0.0,0,0.0,4,0.0,0,0.0,0
SH688625,呈和科技,49.99,43972.0,219.81602800000002,0.0,0,0.0,4,0.0,0,0.0,0
SH688617,惠泰医疗,440.0,4092.0,180.048,0.0,0,-458.00000000000006,5,0.0,0,0.0,0
SH688622,禾信仪器,83.41,8907.0,74.293287,0.0,0,0.0,0,0.0,0,0.0,2
SH688636,智明达,39.11,14685.0,57.433035,0.0,0,0.0,0,0.0,0,0.0,2
SH688658,悦康药业,16.38,189988.0,311.200344,0.0,1,-0.043580023662809435,0,0.0,2,0.0,0
SH688717,艾罗能源,48.91,24345.0,119.071395,0.0,1,0.0,0,0.0,2,0.0,0
SH688726,拉普拉斯,38.69,8845.0,34.221305,0.0,1,0.0,0,0.0,2,0.0,0
SH688767,博拓生物,37.03,5414.0,20.048042000000002,0.0,0,0.0,0,0.0,0,0.0,2
SH688772,珠海冠宇,12.94,122826.0,158.936844,0.0,1,0.0,0,0.0,2,0.0,0
BJ831689,克莱特,41.59,39562.0,164.53835800000002,0.0,0,0.0,0,0.0,0,0.0,2
BJ831834,三维股份,10.63,30573.0,32.49909900000001,0.0,0,0.0,0,0.0,0,0.0,2
BJ832982,锦波生物,395.01,11282.0,445.650282,0.0,0,0.0,3,0.0,0,-296.9362308455282,4
BJ833394,民士达,38.1,78824.0,300.31944,0.0,0,0.0,2,0.0,0,0.0,3
BJ834639,晨光电缆,9.18,223026.0,204.737868,0.0,0,0.0,0,0.0,0,0.0,2
BJ839273,一致魔芋,65.98,91277.0,602.245646,0.0,0,-0.30110937327003906,0,0.0,0,-234.73751322597752,4
BJ871694,中裕科技,22.76,36787.0,83.72721200000001,0.0,0,0.0,0,0.0,0,0.0,2
