symbol,company_name,signals,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
ACSI,American Customer Satisfaction ETF,", , , , 周PINK下穿94, , , 倍量柱(2次)",0.794693762112388,0.47803075690099495,0.633326010422786,0.7619294563310495,0.6208917073170731,0.012580498513514726,0.012225657446597612,3.9032517360882544e-05
AIM,AIM ImmunoTech Inc.,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-0.007899578500646598,-0.0034101877473763807,-0.008978781506540435,-0.005281286656764432,0.0018134146341463413,-0.00014807990012745322,-0.00010222417362166045,-5.044129915637204e-06
AMJB,Alerian MLP Index ETNs due January 28 2044,", 日PINK下穿94, , , 周PINK下穿94, , , 倍量柱(1次)",0.750599602700408,0.6862746594719683,0.12864988645687947,0.15813016510605427,0.3191707317073171,0.011261391412420385,0.011086685506497135,1.9217649651557534e-05
AMIX,"Autonomix Medical, Inc. Common Stock","日PINK上穿10, , , , , 周BLUE>150(5周), , 倍量柱(1次)",-0.3932168053843812,-0.5316949985253556,0.27695638628194885,0.3884629779498301,0.026035609756097564,-0.00805126969109525,-0.008240649465086708,2.0831775139060344e-05
AMRC,"Ameresco, Inc.","日PINK上穿10, , , , , 周BLUE>150(2周), , ",-1.404350683825104,-1.0819111602965092,-0.6448790470571897,-0.5550765151555188,0.20253658536585364,-0.023275723524944558,-0.021226185816405153,-0.00022544914793933452
AOS,A.O. Smith Corporation,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-1.2333396892477992,-0.5650949808535992,-1.3364894167884,-0.6308591470174814,0.6492256097560976,-0.024406515161476183,-0.017233705353334024,-0.0007890090788956374
BBBL,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,", , , , , 周BLUE>150(2周), , 倍量柱(3次)",-0.03328322415239171,-0.1825880503193571,0.2986096523339308,0.41098466109074394,0.46799999999999997,-0.0012156539383882947,-0.0011194895824074111,-1.0578079157897194e-05
BNGO,N/A,", , 日BLUE>150(4天), , , 周BLUE>150(5周), , ",-3.256314173829601,-2.4776046087859798,-1.5574191300872426,-2.001419306597998,0.048658536585365855,-0.05098913182017404,-0.050413807053376315,-6.328572434774971e-05
BRAZ,N/A,", 日PINK下穿94, , , , 周BLUE>150(5周), , 倍量柱(1次)",0.4676804898602569,0.12880851520988634,0.6777439493007411,0.7264537587776626,0.2137287804878049,0.006580017821313788,0.005163138576396477,0.00015585671694090427
BSMW,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",0.001273139866892592,-0.059547654617010226,0.12164158896780564,0.10810911036891344,0.24480487804878046,3.0033573454352203e-05,-0.0003261152004397754,3.917636512835403e-05
