symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired
603997.SH,继峰股份,11.69,176470.5,206.2940145,115.11863354092128,6,115.11863354092128,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
605117.SH,德业股份,55.07,173478.09,955.34384163,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
688076.SH,诺泰生物,37.73,84339.87,318.21432950999997,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
688223.SH,晶科能源,5.53,998429.42,552.13146926,0.0,0,0.0,0.0,2,200.0,-99.6442217854335,0,0.0,0.0,0,0.0,False,True,False,False,False,False
688256.SH,寒武纪-U,523.5,85815.16,4492.423626000001,127.4071922180169,4,127.4071922180169,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
688516.SH,奥特维,34.22,68611.49,234.78851878,0.0,0,0.0,0.0,2,129.4089299082633,-165.05058812176287,2,-165.05058812176287,0.0,0,0.0,False,True,False,False,False,False
688550.SH,瑞联新材,39.32,98506.59,387.32791188,130.97778928064278,3,130.97778928064278,0.0,0,0.0,0.0,1,-108.01926758328243,0.0,1,-143.07822663376177,True,False,False,False,False,False
688596.SH,正帆科技,35.72,75266.86,268.85322391999995,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
688615.SH,合合信息,154.5,8602.54,132.909243,0.0,0,0.0,0.0,2,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
836208.BJ,青矩技术,27.23,70615.82,192.28687786000003,0.0,3,114.6458607980287,0.0,1,147.5433854004393,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
835305.BJ,*ST云创,16.33,242687.57,396.30880181,0.0,0,0.0,0.0,2,133.07617240541086,-103.8034813542885,1,-103.8034813542885,0.0,0,0.0,False,True,False,False,False,False
839680.BJ,*ST广道,5.87,196286.86,115.22038681999999,0.0,1,186.45165361912333,0.0,3,200.0,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False
920002.BJ,万达轴承,118.29,16809.35,198.83780115,0.0,3,183.06016689357563,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False
