symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SH688360,德马科技,24.55,61621.0,151.27955500000002,0.0,0,0.0,0,0.0,0,0.0,2
SH688370,丛麟科技,20.44,4222.0,8.629768,0.0,0,0.0,4,0.0,0,0.0,0
SH688372,伟测科技,83.66,29261.0,244.79752599999998,0.0,0,0.0,0,0.0,0,0.0,2
SH688382,益方生物,19.1,105583.0,201.66353,0.0,0,-0.041736730026892974,0,0.0,0,-157.34383147055988,3
SH688386,泛亚微透,44.53,15214.0,67.74794200000001,0.0,0,0.0,2,0.0,0,0.0,4
SH688388,嘉元科技,19.37,111247.0,215.485439,0.0,0,0.0,0,0.0,0,0.0,4
SH688411,海博思创,87.37,27073.0,236.53680100000003,0.0,0,0.0,2,0.0,0,0.0,3
SH688392,骄成超声,61.0,35980.0,219.478,0.0,0,-317.3711129376815,3,0.0,0,-116.6765119786737,0
SH688428,诺诚健华,18.17,61074.0,110.97145800000001,0.0,0,0.0,0,0.0,0,0.0,2
SH688433,华曙高科,43.63,35863.0,156.47026900000003,0.0,0,0.0,0,0.0,0,0.0,2
SH688480,赛恩斯,36.1,22490.0,81.1889,0.0,0,-198.91831331154765,4,0.0,0,-270.185249785546,1
SH688501,青达环保,19.87,96924.0,192.58798800000002,0.0,0,-350.71800141559606,3,0.0,0,-180.2632546099295,2
SH688507,索辰科技,92.84,57405.0,532.94802,0.0,0,0.0,0,0.0,0,0.0,2
SH688508,芯朋微,53.25,33513.0,178.456725,0.0,0,0.0,0,0.0,0,0.0,2
SH688515,裕太微,104.84,12895.0,135.19118,0.0,0,0.0,0,0.0,0,0.0,2
SH688521,芯原股份,94.41,209128.0,1974.377448,0.0,0,0.0,0,0.0,0,0.0,3
SH688529,豪森智能,22.89,117730.0,269.48397,0.0,0,0.0,0,0.0,0,0.0,2
SH688549,中巨芯,8.22,179483.0,147.535026,234.85756500666318,3,0.0,0,0.0,0,0.0,0
SH688550,瑞联新材,39.89,54472.0,217.28880800000002,0.0,0,-170.45508069148707,3,0.0,0,-184.48273357367015,3
SH688557,兰剑智能,25.72,22647.0,58.248084,0.0,0,0.0,0,0.0,0,0.0,2
SH688571,杭华股份,7.9,58407.0,46.14153,0.0,0,0.0,0,0.0,0,0.0,2
SH688578,艾力斯,76.86,69024.0,530.518464,0.0,0,0.0,0,0.0,0,0.0,3
SH688577,浙海德曼,61.0,17737.0,108.1957,0.0,0,0.0,0,0.0,0,0.0,2
SH688535,华海诚科,86.86,24987.0,217.03708199999997,0.0,0,0.0,0,0.0,0,0.0,2
SH688401,路维光电,31.86,29913.0,95.30281799999999,0.0,0,0.0,0,0.0,0,0.0,2
SH688583,思看科技,111.0,13795.0,153.1245,0.0,0,0.0,0,0.0,0,0.0,2
SH688593,新相微,20.97,117141.0,245.644677,0.0,0,0.0,3,0.0,0,0.0,0
SH688607,康众医疗,18.05,41281.0,74.51220500000001,0.0,0,-194.7681769117339,3,0.0,0,-182.08609552177066,2
SH688595,芯海科技,45.92,49332.0,226.532544,0.0,0,0.0,0,0.0,0,0.0,2
SH688612,威迈斯,30.75,59907.0,184.214025,0.0,0,0.0,1,0.0,0,0.0,4
SH688629,华丰科技,58.2,189208.0,1101.19056,0.0,0,0.0,0,0.0,0,0.0,2
SH688622,禾信仪器,99.7,13685.0,136.43945,0.0,0,-172.88902139892068,4,0.0,0,-195.60288208776825,2
SH688616,西力科技,11.88,48110.0,57.154680000000006,0.0,0,-253.09215302383626,5,0.0,0,0.0,0
SH688626,翔宇医疗,42.07,18311.0,77.034377,0.0,0,0.0,0,0.0,0,0.0,3
SH688636,智明达,39.74,25368.0,100.812432,0.0,0,0.0,2,0.0,0,0.0,3
SH688633,星球石墨,27.54,13079.0,36.019566,0.0,0,0.0,0,0.0,0,0.0,2
SH688655,迅捷兴,16.55,78905.0,130.587775,0.0,0,0.0,2,0.0,0,0.0,2
SH688659,元琛科技,7.67,38196.0,29.296332,0.0,0,-350.3357862866228,4,0.0,0,0.0,0
SH688663,新风光,26.98,35436.0,95.606328,0.0,0,0.0,0,0.0,0,0.0,2
SH688685,迈信林,61.86,47737.0,295.301082,0.0,0,0.0,0,0.0,0,0.0,2
SH688678,福立旺,28.0,52948.0,148.2544,0.0,0,0.0,0,0.0,0,0.0,3
SH688716,中研股份,39.08,58847.0,229.97407599999997,0.0,3,0.0,0,0.0,0,0.0,0
SH688719,爱科赛博,34.13,20873.0,71.23954900000001,0.0,0,0.0,0,0.0,0,0.0,2
SH688696,极米科技,135.51,10741.0,145.551291,0.0,0,0.0,0,0.0,0,0.0,4
SH688768,容知日新,54.36,7889.0,42.884603999999996,0.0,0,0.0,0,0.0,0,0.0,2
SH688767,博拓生物,38.45,7592.0,29.191240000000004,0.0,0,-308.46450637432605,2,0.0,0,-205.29865872667904,3
SH688789,宏华数科,78.08,17410.0,135.93728000000002,0.0,0,0.0,3,0.0,0,0.0,0
SH689009,九号公司,63.6,182853.0,1162.94508,0.0,0,-114.31962252591825,0,0.0,0,-193.13927481806832,2
BJ830779,武汉蓝电,65.54,43714.0,286.501556,0.0,0,0.0,0,0.0,0,0.0,2
BJ430478,峆一药业,24.88,71351.0,177.521288,0.0,0,-227.61280932010584,5,0.0,0,0.0,0
BJ430418,苏轴股份,43.76,64094.0,280.475344,0.0,0,0.0,0,0.0,0,0.0,2
BJ830839,万通液压,38.29,91474.0,350.253946,0.0,0,-0.034456883162201024,0,0.0,0,-179.37155518006466,3
SH688597,煜邦电力,11.84,72328.0,85.636352,0.0,0,-0.03486684989756635,0,0.0,0,-236.0696813177881,2
BJ831152,昆工科技,25.96,156557.0,406.42197200000004,0.0,0,-1.1209204907734138,0,0.0,0,-242.4004622713111,2
BJ831834,三维股份,12.64,53794.0,67.995616,0.0,0,-0.14854693200095048,0,0.0,0,-190.8556548319625,2
BJ831856,浩淼科技,26.11,62632.0,163.532152,0.0,0,0.0,0,0.0,0,0.0,2
BJ831175,派诺科技,27.41,62486.0,171.274126,0.0,0,0.0,1,0.0,0,0.0,2
BJ832145,恒合股份,25.56,86241.0,220.431996,0.0,0,-0.17774292731104657,0,0.0,0,-236.43868260449332,2
BJ832171,志晟信息,34.5,123936.0,427.5792,0.0,0,0.0,0,0.0,0,0.0,2
BJ832469,富恒新材,16.65,87905.0,146.36182499999998,0.0,0,-293.37679013336566,3,0.0,0,0.0,0
BJ832876,慧为智能,35.18,48382.0,170.207876,0.0,0,0.0,0,0.0,0,0.0,2
BJ833030,立方控股,36.98,84027.0,310.731846,0.0,0,0.0,2,0.0,0,0.0,2
BJ833171,国航远洋,8.51,865623.0,736.645173,0.0,0,-153.33502191418148,3,0.0,0,-227.63333099739233,1
BJ833394,民士达,30.95,65695.0,203.326025,0.0,0,-222.56934376783263,3,0.0,0,-237.8635475515516,1
BJ833509,同惠电子,23.76,127916.0,303.928416,0.0,0,0.0,4,0.0,0,0.0,0
BJ833781,瑞奇智造,13.05,212894.0,277.82667000000004,0.0,0,0.0,4,0.0,0,0.0,1
BJ834058,华洋赛车,37.31,20072.0,74.888632,0.0,0,0.0,4,0.0,0,0.0,0
BJ834062,科润智控,11.5,299283.0,344.17545,0.0,0,-199.79197764146843,3,0.0,0,-183.17020693260483,1
BJ834407,驰诚股份,32.27,33533.0,108.21099100000002,0.0,0,0.0,3,0.0,0,0.0,0
BJ834639,晨光电缆,8.78,146159.0,128.327602,0.0,0,-458.0,5,0.0,0,0.0,0
BJ834950,迅安科技,25.6,22700.0,58.112,0.0,0,-352.98249617039,5,0.0,0,-220.67411922396792,2
BJ835207,众诚科技,32.92,55668.0,183.25905600000002,0.0,0,0.0,0,0.0,0,0.0,2
BJ835579,机科股份,35.34,75285.0,266.05719000000005,0.0,0,0.0,0,0.0,0,0.0,2
BJ835438,戈碧迦,23.43,116676.0,273.371868,0.0,0,0.0,3,0.0,0,0.0,0
BJ836419,万德股份,14.97,56570.0,84.68529000000001,0.0,0,0.0,3,0.0,0,0.0,0
BJ836270,天铭科技,19.67,46483.0,91.432061,0.0,0,0.0,0,0.0,0,0.0,2
BJ836395,朗鸿科技,22.3,107449.0,239.61127000000002,0.0,0,-423.82444518636703,1,0.0,0,-205.01438331936404,2
BJ836717,瑞星股份,13.96,48052.0,67.08059200000001,0.0,0,-211.331341373522,5,0.0,0,0.0,0
BJ836422,润普食品,15.76,77256.0,121.75545600000001,0.0,0,0.0,4,0.0,0,0.0,0
BJ836260,中寰股份,15.23,75925.0,115.633775,0.0,0,-262.0210839731858,5,0.0,0,-121.77208638170266,0
BJ836433,大唐药业,7.86,110986.0,87.23499600000001,0.0,0,-167.58733598500552,3,0.0,0,0.0,0
BJ836942,恒立钻具,21.79,50113.0,109.19622700000001,0.0,0,-210.84014700118186,1,0.0,0,-193.72177910497095,2
BJ838171,邦德股份,21.4,34293.0,73.38701999999999,0.0,0,0.0,4,0.0,0,0.0,0
BJ839371,欧福蛋业,10.9,143890.0,156.8401,0.0,0,0.0,3,0.0,0,0.0,0
BJ839273,一致魔芋,31.78,35721.0,113.52133800000001,0.0,0,0.0,0,0.0,0,0.0,2
BJ839729,永顺生物,8.98,33501.0,30.083898000000005,0.0,0,-237.2447796566764,3,0.0,0,0.0,0
BJ870357,雅葆轩,27.8,37370.0,103.8886,0.0,0,0.0,3,0.0,0,0.0,0
BJ837663,明阳科技,28.6,30709.0,87.82774,0.0,0,0.0,0,0.0,0,0.0,2
BJ871245,威博液压,44.46,38757.0,172.313622,0.0,0,0.0,0,0.0,0,0.0,2
BJ871857,泓禧科技,21.88,27151.0,59.406388,0.0,0,-5.089908016522818,0,0.0,0,-226.32932853181939,2
BJ871970,大禹生物,8.5,39601.0,33.66085,0.0,0,-217.51337116103105,4,0.0,0,0.0,0
BJ872931,无锡鼎邦,18.2,20585.0,37.4647,0.0,0,-301.6244012882958,4,0.0,0,0.0,0
BJ871694,中裕科技,21.8,22301.0,48.61618,0.0,0,0.0,4,0.0,0,0.0,1
BJ873132,泰鹏智能,19.4,74450.0,144.433,0.0,0,-458.0,4,0.0,0,-178.49306868483436,1
BJ871981,晶赛科技,43.91,106749.0,468.734859,0.0,0,0.0,3,0.0,0,0.0,0
BJ873576,天力复合,31.97,59953.0,191.669741,0.0,0,0.0,3,0.0,0,0.0,1
BJ873665,科强股份,16.71,65228.0,108.99598800000001,0.0,0,-458.0,3,0.0,0,0.0,0
BJ873679,前进科技,23.66,26567.0,62.857521999999996,0.0,0,-281.1630090426378,4,0.0,0,0.0,0
BJ873690,捷众科技,29.82,51022.0,152.147604,0.0,0,0.0,1,0.0,0,0.0,2
BJ873703,广厦环能,28.99,26253.0,76.107447,0.0,0,0.0,3,0.0,0,0.0,0
BJ873706,铁拓机械,21.88,64849.0,141.889612,0.0,0,0.0,0,0.0,0,0.0,3
SZ920002,万达轴承,235.69,14562.0,343.211778,0.0,0,0.0,0,0.0,0,0.0,3
BJ870656,海昇药业,22.71,16368.0,37.171728,0.0,0,0.0,3,0.0,0,0.0,0
SZ920019,铜冠矿建,26.12,55609.0,145.250708,0.0,0,0.0,3,0.0,0,0.0,0
BJ873001,纬达光电,24.61,43103.0,106.07648300000001,0.0,0,0.0,0,0.0,0,0.0,2
SZ920082,方正阀门,27.94,212917.0,594.8900980000001,0.0,0,-184.5433343526254,5,0.0,0,-350.0,2
SZ920099,瑞华技术,36.05,20862.0,75.20751,0.0,0,0.0,4,0.0,0,0.0,0
SZ920108,宏海科技,31.63,111087.0,351.368181,0.0,0,-447.49370875578325,4,0.0,0,-350.0,3
SZ920118,太湖远大,33.29,11846.0,39.435334,0.0,0,-328.1898216534876,5,0.0,0,0.0,0
