symbol,signal_date,buy_price,blue,lired,cci,heima,5d,5d_price,10d,10d_price,20d,20d_price,max_gain,max_loss,month
000031.SZ,2025-11-10,3.08,0.0,0.0,-39.75475959987096,,10.714285714285717,3.41,1.9480519480519498,3.14,,,11.038961038961034,-2.9220779220779174,2025-11
000032.SZ,2025-01-07,16.2,122.92632331695391,0.0,-140.77546838915774,,0.6790123456790089,16.31,0.24691358024690832,16.24,28.39506172839507,20.8,34.13580246913581,-7.592592592592585,2025-01
000032.SZ,2025-01-08,15.69,130.78510006023066,0.0,-136.64432256753997,,3.4416826003824155,16.23,3.250478011472274,16.2,38.87826641172721,21.79,42.638623326959845,-4.588910133843205,2025-01
000032.SZ,2025-01-09,15.86,0.0,0.0,-105.29529931699464,,1.95460277427492,16.17,2.4590163934426266,16.25,51.13493064312736,23.97,51.13493064312736,-5.61160151324085,2025-01
000032.SZ,2025-01-10,15.38,0.0,0.0,-104.02863148931615,,5.071521456436927,16.16,8.777633289986992,16.73,64.75942782834849,25.34,71.45643693107932,-2.6657997399219773,2025-01
000032.SZ,2025-01-13,15.6,118.42752380867095,0.0,-99.90867579908672,,4.42307692307692,16.29,4.487179487179494,16.3,63.97435897435897,25.58,78.65384615384616,-4.038461538461532,2025-01
000032.SZ,2025-01-14,16.31,0.0,0.0,-43.23982398239847,,-0.4291845493562249,16.24,4.537093807480086,17.05,57.572041692213375,25.7,70.8767627222563,-4.782342121397912,2025-01
000032.SZ,2025-04-09,20.57,125.97871833015839,0.0,-178.06997899137292,,5.250364608653371,21.65,7.583859990277096,22.13,10.111813320369462,22.65,15.945551774428784,-11.86193485658727,2025-04
000032.SZ,2025-04-10,21.0,0.0,0.0,-78.30382029840953,,2.7142857142857157,21.57,1.2380952380952457,21.26,5.761904761904766,22.21,13.571428571428578,-2.9999999999999956,2025-04
000032.SZ,2025-04-11,21.29,0.0,0.0,-57.57184727265452,,4.603100046970411,22.27,4.133395960544869,22.17,5.119774542038515,22.38,12.02442461249414,-4.321277595115069,2025-04
000032.SZ,2025-04-14,21.7,0.0,0.0,-25.302415221224273,,4.47004608294932,22.67,1.1059907834101474,21.94,-3.041474654377881,21.04,9.907834101382498,-6.129032258064508,2025-04
000032.SZ,2025-06-18,19.09,120.63684404459045,0.0,-107.91930141523643,,5.762179151388168,20.19,4.138292299633312,19.88,10.424305919329484,21.08,14.510214772132004,-4.243059193294912,2025-06
000032.SZ,2025-06-19,18.75,136.0078357085931,0.0,-119.83887210473314,,7.306666666666672,20.12,6.080000000000003,19.89,11.839999999999993,20.97,16.586666666666662,-2.5066666666666606,2025-06
000032.SZ,2025-06-20,18.47,142.3753421774439,0.0,-127.76529338327094,,8.446128857606942,20.03,9.258256632376833,20.18,14.239306984298878,21.1,18.35408770979968,-1.0286951813751908,2025-06
000032.SZ,2025-06-23,18.76,145.32434552941118,0.0,-105.81229773462772,,7.835820895522382,20.23,5.383795309168433,19.77,12.579957356076754,21.12,16.524520255863525,-2.558635394456292,2025-06
000032.SZ,2025-06-24,19.27,0.0,0.0,-37.544291522136135,,5.241307732226266,20.28,4.151530877010901,20.07,10.7420861442657,21.34,13.44058121432278,-2.542812662169167,2025-06
000032.SZ,2025-06-25,20.19,0.0,0.0,54.10628019323652,,-1.5354135710748007,19.88,-0.09905894006933914,20.17,5.646359583952436,21.33,8.271421495789985,-4.606240713224366,2025-06
000032.SZ,2025-06-26,20.12,0.0,0.0,86.9641294838147,,-1.143141153081513,19.89,0.9443339960238455,20.31,8.449304174950294,21.82,9.542743538767386,-2.037773359840955,2025-06
000032.SZ,2025-10-14,20.54,125.27749668464405,0.0,-181.12840466926022,,0.38948393378774027,20.62,1.752677702044788,20.9,0.29211295034080953,20.6,6.523855890944498,-3.16455696202531,2025-10
000032.SZ,2025-10-15,20.81,130.7675385089292,0.0,-174.44721529509584,,-2.4507448342143108,20.3,-1.6338298894762127,20.47,-3.5079288803459896,20.08,5.141758769822202,-4.613166746756354,2025-10
000032.SZ,2025-10-16,20.6,0.0,0.0,-143.45809806546754,,0.04854368932037869,20.61,-1.747572815533995,20.24,-2.1844660194174894,20.15,6.213592233009697,-3.640776699029126,2025-10
000032.SZ,2025-10-17,19.96,127.32583489218923,0.0,-141.79980326311883,,3.1062124248496867,20.58,3.807615230460912,20.72,-1.2525050100200399,19.71,9.619238476953898,-1.3026052104208494,2025-10
000032.SZ,2025-10-20,20.29,0.0,0.0,-114.628480509149,,1.675702316412025,20.63,3.794972893050762,21.06,-2.907836372597338,19.7,7.836372597338589,-3.9428289797930054,2025-10
000032.SZ,2025-10-21,20.62,0.0,0.0,-73.7196807354264,,1.3579049466537225,20.9,0.09699321047526466,20.64,-4.170708050436466,19.76,6.110572259941794,-5.480116391852582,2025-10
000032.SZ,2025-11-14,19.71,171.2828923981258,0.0,-147.83950617283836,,-4.972095383054289,18.73,1.5728056823947167,20.02,,,3.7037037037037055,-5.631659056316588,2025-11
000032.SZ,2025-11-17,19.7,0.0,0.0,-150.25651549353518,,-1.624365482233504,19.38,2.4365482233502562,20.18,,,3.7563451776649845,-5.583756345177655,2025-11
000032.SZ,2025-11-18,19.76,0.0,0.0,-121.60493827160354,,1.8218623481781346,20.12,0.7085020242914828,19.9,,,3.441295546558703,-5.870445344129555,2025-11
000032.SZ,2025-11-19,19.23,144.65768104858046,0.0,-140.67293151868682,,3.588143525741036,19.92,,,,,6.292251690067607,-3.2761310452418044,2025-11
000032.SZ,2025-11-20,19.15,145.43529908599484,0.0,-128.97890295358644,,2.193211488250662,19.57,,,,,6.736292428198448,-2.8720626631853636,2025-11
000032.SZ,2025-11-21,18.73,0.0,0.0,-154.14386760976942,,6.8873465029364604,20.02,,,,,9.12973838761346,-0.6940736785904912,2025-11
000034.SZ,2025-01-06,31.05,162.53234432647838,0.0,-178.90402459316883,,-1.1272141706924361,30.7,4.863123993558781,32.56,40.74074074074075,43.7,49.72624798711755,-3.3816425120772973,2025-01
000034.SZ,2025-01-07,32.25,0.0,0.0,-125.08566581849027,,0.15503875968991368,32.3,3.1317829457364277,33.26,39.28682170542636,44.92,44.15503875968993,-6.976744186046512,2025-01
000034.SZ,2025-01-08,31.4,153.30761958294045,0.0,-123.42887788080213,,2.6751592356688008,32.24,5.796178343949046,33.22,53.28025477707008,48.13,57.35668789808916,-4.458598726114645,2025-01
000034.SZ,2025-01-09,31.5,0.0,0.0,-89.938191198631,,3.428571428571423,32.58,3.682539682539672,32.66,68.06349206349206,52.94,68.06349206349206,-4.761904761904762,2025-01
000034.SZ,2025-01-10,30.8,0.0,0.0,-88.17809621289669,,5.5519480519480435,32.51,9.025974025974017,33.58,76.03896103896103,54.22,89.05844155844154,-2.5974025974025996,2025-01
000034.SZ,2025-01-13,30.7,144.51242224286776,0.0,-94.37507726542204,,6.058631921824114,32.56,6.25407166123778,32.62,84.69055374592836,56.7,92.18241042345278,-2.280130293159607,2025-01
000034.SZ,2025-04-07,36.35,131.11248356729465,0.0,-166.48170704199939,,2.365887207702887,37.21,3.8789546079779824,37.76,16.313617606602474,42.28,19.61485557083905,-13.03988995873453,2025-04
000034.SZ,2025-04-08,33.9,136.36895088330985,0.0,-191.25864716404686,,9.351032448377588,37.07,8.997050147492638,36.95,21.179941002949853,41.08,28.25958702064896,-6.755162241887904,2025-04
000034.SZ,2025-04-09,34.72,138.82882727889051,0.0,-165.0104968509448,,5.357142857142856,36.58,7.776497695852543,37.42,18.404377880184335,41.11,25.230414746543772,-8.957373271889399,2025-04
000034.SZ,2025-04-10,36.3,0.0,0.0,-94.47007245796202,,1.6528925619834753,36.9,0.661157024793394,36.54,11.818181818181836,40.59,19.77961432506887,-1.928374655647371,2025-04
000034.SZ,2025-04-11,36.86,0.0,0.0,-71.90853667537604,,0.7867607162235464,37.15,1.0309278350515534,37.24,10.526315789473692,40.74,17.959848073792724,-3.418339663591964,2025-04
000034.SZ,2025-04-14,37.21,0.0,0.0,-44.50576070006491,,1.478097285675886,37.76,1.263101316850306,37.68,5.374899220639613,39.21,16.850309056705175,-3.2518140284869683,2025-04
000034.SZ,2025-06-20,35.38,179.51973204720457,0.0,-129.4224647567072,,5.9638213680045205,37.49,3.165630299604288,36.5,10.373092142453348,39.05,11.50367439231204,-1.4980214810627506,2025-06
000034.SZ,2025-06-23,35.69,199.02863022950046,0.0,-120.50059594755638,,5.463715326421975,37.64,1.0086859064163616,36.05,8.74194452227516,38.81,10.535163911459808,-2.353600448304837,2025-06
000034.SZ,2025-10-15,39.35,130.6270709890421,0.0,-180.9073354354574,,-0.5844980940279644,39.12,9.148665819567983,42.95,12.299872935196941,44.19,18.932655654383723,-4.24396442185515,2025-10
000034.SZ,2025-10-16,39.55,0.0,0.0,-123.18470955352876,,-1.163084702907696,39.09,4.020227560050578,41.14,9.683944374209876,43.38,18.331226295828067,-4.728192161820474,2025-10
000034.SZ,2025-10-17,37.83,151.01624263027597,0.0,-119.46230624756686,,4.28231562252182,39.45,13.745704467353962,43.03,15.411049431667983,43.66,23.711340206185564,-0.39651070578905256,2025-10
000034.SZ,2025-10-20,38.18,0.0,0.0,-97.46856347465034,,3.404924044002088,39.48,13.907805133577794,43.49,17.522262964903085,44.87,22.577265584075427,-0.7333682556312235,2025-10
000034.SZ,2025-10-21,38.92,0.0,0.0,-74.47694334650859,,3.6998972250770747,40.36,8.09352517985611,42.07,12.10174717368962,43.63,20.246659815005128,-2.004110996916755,2025-10
000035.SZ,2025-11-27,5.56,200.0,0.0,-145.83333333333388,,,,,,,,2.8776978417266217,-0.7194244604316554,2025-11
000035.SZ,2025-11-28,5.62,0.0,0.0,-110.01461988304091,,,,,,,,1.7793594306049758,-1.7793594306049918,2025-11
000035.SZ,2025-12-01,5.6,0.0,0.0,-79.94227994228002,,,,,,,,2.142857142857145,-1.42857142857143,2025-12
000035.SZ,2025-12-02,5.55,152.04355978656636,0.0,-92.02526648243197,,,,,,,,1.2612612612612664,-0.5405405405405451,2025-12
000039.SZ,2025-04-09,7.49,156.07436543648203,0.0,-147.5648595455361,,2.5367156208277635,7.68,1.4686248331108067,7.6,6.675567423230974,7.99,6.675567423230974,-6.008010680907879,2025-04
000039.SZ,2025-04-10,7.62,0.0,0.0,-97.72874546397108,,-1.5748031496063006,7.5,-0.2624671916010559,7.6,5.24934383202099,8.02,8.005249343832025,-2.493438320209979,2025-04
000039.SZ,2025-04-11,7.58,0.0,0.0,-84.62517856033779,,-1.0554089709762544,7.5,0.13192612137202883,7.59,10.158311345646434,8.35,10.29023746701846,-1.9788918205804795,2025-04
000039.SZ,2025-04-14,7.66,0.0,0.0,-66.69560743456168,,-1.174934725848562,7.57,-1.044386422976502,7.58,9.53002610966058,8.39,14.360313315926888,-3.0026109660574467,2025-04
000045.SZ,2025-04-09,9.25,121.83291736909177,0.0,-202.22394908229717,,3.243243243243251,9.55,8.32432432432432,10.02,11.35135135135136,10.3,12.648648648648647,-9.189189189189186,2025-04
000045.SZ,2025-04-10,9.48,0.0,0.0,-114.26912806223156,,0.5274261603375414,9.53,4.113924050632899,9.87,8.016877637130799,10.24,9.915611814345986,-1.2658227848101369,2025-04
