code,name,industry,area,source
000548.SZ,湖南投资,路桥,湖南,tushare
000550.SZ,江铃汽车,汽车整车,江西,tushare
000551.SZ,创元科技,专用机械,江苏,tushare
000552.SZ,甘肃能化,煤炭开采,甘肃,tushare
000553.SZ,安道麦A,农药化肥,湖北,tushare
000554.SZ,泰山石油,石油贸易,山东,tushare
000555.SZ,神州信息,软件服务,深圳,tushare
000557.SZ,西部创业,铁路,宁夏,tushare
000558.SZ,天府文旅,旅游景点,四川,tushare
000559.SZ,万向钱潮,汽车配件,浙江,tushare
000560.SZ,我爱我家,房产服务,云南,tushare
000561.SZ,烽火电子,通信设备,陕西,tushare
000563.SZ,陕国投A,多元金融,陕西,tushare
000564.SZ,供销大集,百货,陕西,tushare
000565.SZ,渝三峡A,染料涂料,重庆,tushare
000566.SZ,海南海药,化学制药,海南,tushare
000567.SZ,海德股份,多元金融,海南,tushare
000568.SZ,泸州老窖,白酒,四川,tushare
000570.SZ,苏常柴A,农用机械,江苏,tushare
000571.SZ,新大洲A,煤炭开采,海南,tushare
000572.SZ,海马汽车,汽车整车,海南,tushare
000573.SZ,粤宏远A,区域地产,广东,tushare
000576.SZ,甘化科工,电气设备,广东,tushare
000581.SZ,威孚高科,汽车配件,江苏,tushare
000582.SZ,北部湾港,港口,广西,tushare
000586.SZ,汇源通信,通信设备,四川,tushare
000589.SZ,贵州轮胎,汽车配件,贵州,tushare
000590.SZ,启迪药业,中成药,湖南,tushare
000591.SZ,太阳能,新型电力,重庆,tushare
000592.SZ,平潭发展,林业,福建,tushare
000593.SZ,德龙汇能,供气供热,四川,tushare
000595.SZ,*ST宝实,新型电力,宁夏,tushare
000596.SZ,古井贡酒,白酒,安徽,tushare
000597.SZ,东北制药,化学制药,辽宁,tushare
000598.SZ,兴蓉环境,水务,四川,tushare
000599.SZ,青岛双星,汽车配件,山东,tushare
000600.SZ,建投能源,火力发电,河北,tushare
000601.SZ,韶能股份,水力发电,广东,tushare
000603.SZ,盛达资源,铅锌,北京,tushare
000605.SZ,渤海股份,水务,北京,tushare
000607.SZ,华媒控股,广告包装,浙江,tushare
000608.SZ,*ST阳光,区域地产,广西,tushare
000609.SZ,ST中迪,区域地产,北京,tushare
000610.SZ,西安旅游,旅游服务,陕西,tushare
000612.SZ,焦作万方,铝,河南,tushare
