symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
301078.SZ,孩子王,10.78,625770.86,674.58098708,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,0,False,True,49.08583147881495,35.48655182834668
301236.SZ,软通动力,46.38,118535.26,549.7665358800001,0.0,0,0,0.0,2,187.14698192251026,False,True,False,0,1,1,1,True,True,-13.938279174329828,-104.16037577587656
301498.SZ,乖宝宠物,67.5,20852.07,140.7514725,0.0,0,0,0.0,2,171.19663844292103,False,True,False,0,0,0,0,False,False,-62.83955857385452,-67.79552617181771
301592.SZ,六九一二,120.44,12453.0,149.983932,0.0,0,0,0.0,2,184.89240765502996,False,True,False,0,1,1,1,True,True,144.19273642574666,-63.72525241637046
301622.SZ,英思特,64.26,17797.1,114.3641646,0.0,0,0,0.0,3,199.99999999999997,False,True,False,0,1,1,1,True,True,46.95065484852493,-95.50985248196393
600009.SH,上海机场,33.65,196600.56,661.5608844,0.0,0,0,0.0,2,150.79018338338793,False,True,False,1,0,0,0,True,False,109.18364495123063,145.19846350832287
600016.SH,民生银行,3.82,2897775.32,1106.9501722399998,2.6394194040739563,0,0,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-185.3544229642645,-180.06734006734038
600038.SH,中直股份,35.37,64478.01,228.05872136999997,0.0,0,0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,62.489959839356096,-81.31369132477873
600048.SH,保利发展,6.26,1058482.11,662.6098008600001,0.0,0,0,0.0,4,200.0,False,True,False,0,1,1,1,True,True,-73.94023627519128,-115.71220798109259
600050.SH,中国联通,5.13,898215.87,460.78474130999996,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-68.88667992047779,-170.54212932723672
600079.SH,ST人福,19.05,295624.23,563.16415815,0.0,0,0,0.0,3,199.99999999999997,False,True,False,0,1,0,1,False,True,89.59405374499693,-61.440697407662505
600085.SH,同仁堂,31.77,54797.04,174.09019608,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-158.9471355894724,-185.29050377391587
600126.SH,杭钢股份,7.97,228152.0,181.837144,0.0,0,0,0.0,2,200.0,False,True,False,1,1,1,1,True,True,-40.248640248640136,-142.1867269771715
600129.SH,太极集团,18.25,67378.29,122.96537925,0.0,0,0,0.0,4,200.0,False,True,False,1,1,1,1,True,True,2.966781214204276,-106.07753422714049
600131.SH,国网信通,16.17,68611.08,110.94411636000001,0.0,0,0,0.0,3,192.88276256820086,False,True,False,0,0,1,1,True,True,-48.58293075684362,-109.29382885197228
600138.SH,中青旅,10.2,305311.39,311.41761779999996,0.0,0,0,0.0,2,199.99999999999997,False,True,False,0,0,0,0,False,False,121.39411480945532,189.5115486558117
600153.SH,建发股份,9.46,266973.75,252.55716750000002,0.0,0,0,0.0,3,200.0,False,True,False,0,0,1,1,True,True,-45.29721595184436,-130.0330033003299
600161.SH,天坛生物,16.6,238950.12,396.65719920000004,112.56608584941075,0,0,200.0,5,200.0,False,True,False,1,1,0,1,True,True,-17.782247550937278,-111.83319794205266
600186.SH,莲花控股,5.87,592418.72,347.74978863999996,0.0,0,0,0.0,2,193.2833065086725,False,True,False,0,0,0,0,False,False,36.96498054474719,57.753688647997876
600316.SH,洪都航空,31.68,123195.0,390.28176,0.0,0,0,0.0,3,140.28728729790717,False,True,False,0,1,1,1,True,True,53.91435578192791,-104.6976435107089
600383.SH,金地集团,3.1,476499.74,147.71491939999999,0.0,0,0,0.0,3,200.00000000000003,False,True,False,0,1,0,1,False,True,-102.39808153477315,-114.91755693210058
600355.SH,*ST精伦,2.22,471056.81,104.57461182000002,0.0,0,0,0.0,2,115.57548971263651,False,True,False,0,1,0,1,False,True,-36.79653679653678,-143.26078655975567
600373.SH,中文传媒,9.27,110131.96,102.09232692,200.0,0,0,174.46082082835426,3,174.46082082835426,False,True,False,1,0,1,1,True,True,-125.64102564102559,-166.60677746169594
600398.SH,海澜之家,6.12,216953.78,132.77571336,0.0,0,0,0.0,2,175.7140221154733,False,True,False,0,0,0,2,False,True,-73.9064856711917,-93.82000772499022
600436.SH,片仔癀,169.81,19054.79,323.56938899000005,0.0,0,0,0.0,2,191.31883461851166,False,True,False,0,0,0,1,False,True,-62.60027662517213,-86.48424543946925
600567.SH,山鹰国际,1.74,2064886.63,359.29027362,0.0,0,0,0.0,2,136.1164053754483,False,True,False,0,0,0,1,False,True,117.19298245614007,-61.437016825829886
600602.SH,云赛智联,17.87,110430.28,197.33891036,0.0,0,0,0.0,3,200.00000000000003,False,True,False,0,1,1,1,True,True,-10.726643598615736,-117.08683473389362
600597.SH,光明乳业,8.21,153453.9,125.98565190000001,0.0,0,0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,30.415045395590244,-53.32604337525041
600610.SH,中毅达,9.93,124133.58,123.26464494000001,0.0,0,0,0.0,2,116.9870728913665,False,True,False,0,1,0,1,False,True,6.882494004796717,-102.37065513374979
600576.SH,祥源文旅,5.92,284708.19,168.54724848,0.0,0,0,0.0,3,199.99999999999997,False,True,False,0,0,0,1,False,True,-46.04914933837404,-147.0578880407126
600764.SH,中国海防,26.73,82419.4,220.3070562,0.0,0,0,0.0,2,200.00000000000003,False,True,False,0,1,1,1,True,True,-36.7249602543718,-140.73612840736124
600789.SH,鲁抗医药,9.17,119443.0,109.52923100000001,0.0,0,0,0.0,2,200.0,False,True,False,1,0,1,1,True,True,-63.00948159093792,-138.36359841369216
600845.SH,宝信软件,20.07,59481.15,119.37866805,0.0,0,0,0.0,4,200.0,False,True,False,0,1,1,1,True,True,-67.31163881559553,-124.83781661914809
600839.SH,四川长虹,9.1,554044.73,504.18070429999995,0.0,0,0,0.0,3,199.99999999999997,False,True,False,1,1,1,1,True,True,8.558725453871496,-99.73300188740032
600866.SH,星湖科技,6.88,148361.0,102.072368,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,67.5902602854743,-70.96774193548382
600862.SH,中航高科,22.1,184742.35,408.28059350000007,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,77.77777777777794,-28.181707465594595
600905.SH,三峡能源,4.14,623669.81,258.19930134000003,0.0,0,0,0.0,3,200.0,False,True,False,0,1,1,1,True,True,-43.06606152294682,-115.42553191489478
600916.SH,中国黄金,8.1,130225.0,105.48225,0.0,0,0,0.0,2,188.31722100065895,False,True,False,0,0,0,1,False,True,121.64296998420028,-62.53887475261613
600941.SH,中国移动,101.52,164373.69,1668.72170088,83.14268830058043,0,0,155.46674915922551,3,155.46674915922551,False,True,False,0,1,0,1,False,True,-99.48682062048013,-177.73359840954282
600963.SH,岳阳林纸,4.6,513650.39,236.27917939999998,0.0,0,0,0.0,2,200.0,False,True,False,1,0,1,0,True,False,195.12619669277706,56.02836879432628
601006.SH,大秦铁路,5.29,1053979.11,557.5549491900001,0.32219084301125384,0,0,196.53458565347208,4,196.53458565347208,False,True,False,0,0,1,1,True,True,-172.02380952381108,-136.41952539038485
601216.SH,君正集团,4.82,497889.77,239.98286914000005,0.0,0,0,0.0,4,200.0,False,True,False,0,1,0,2,False,True,82.97988036976636,-89.5622895622894
601390.SH,中国中铁,5.42,601584.79,326.05895618000005,0.0,0,0,0.0,2,200.00000000000003,False,True,False,0,0,0,0,False,False,-35.015916325601324,-80.01474926253692
601668.SH,中国建筑,5.2,995050.69,517.4263588,0.0,0,0,0.0,3,143.06792443298434,False,True,False,0,1,0,2,False,True,11.965811965813206,-92.93026231605926
601766.SH,中国中车,6.93,761267.2,527.5581695999999,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,-13.189249099473676,-102.06235011990391
601728.SH,中国电信,6.49,2228181.55,1446.08982595,119.92818933731452,0,0,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-161.72839506172892,-181.36033229491198
601800.SH,中国交建,8.37,164225.56,137.45679371999998,0.0,0,0,0.0,3,200.0,False,True,False,1,1,1,1,True,True,-22.489959839357898,-116.85068349106207
603128.SH,华贸物流,6.13,254247.95,155.85399335,0.0,0,0,0.0,2,200.0,False,True,False,0,0,1,0,True,False,122.49306381292168,65.5513468013464
603214.SH,爱婴室,17.57,59133.0,103.896681,0.0,0,0,0.0,2,133.6924605661444,False,True,False,0,0,0,1,False,True,43.71777875975808,-37.14342708956725
603288.SH,海天味业,37.35,109467.28,408.86029080000003,0.0,0,0,0.0,3,200.0,False,True,False,0,0,0,1,False,True,88.57489681961628,-38.636489709879406
603369.SH,今世缘,35.18,32525.32,114.42407576,0.0,0,0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,-45.07936507936483,-134.533763181576
603392.SH,万泰生物,46.59,35948.59,167.48448081,0.0,0,0,0.0,3,165.34622011951362,False,True,False,0,1,0,1,False,True,-19.56751054852284,-107.33938254249365
603529.SH,爱玛科技,29.99,35143.62,105.39571638,0.0,0,0,0.0,3,198.4525775271739,False,True,False,0,0,0,1,False,True,24.02159244264379,-90.01072223022395
603605.SH,珀莱雅,68.16,21077.34,143.66314943999998,0.0,0,0,0.0,3,200.0,False,True,False,0,0,0,0,False,False,-7.687156823355517,-87.90608790608778
603868.SH,飞科电器,37.64,40782.34,153.50472775999998,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,165.07009108798414,160.2748606249197
