symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_week_blue,has_day_week_lired,company_name
TTD,39.95,9365638.0,37415.72381,0.0,0.0,0,0.0,0.0,178.48336827481072,3,178.48336827481072,0.0,0,0,0.0,0,0,False,False,"The Trade Desk, Inc."
LLYVK,77.33,317855.0,2457.972715,0.0,134.60054691184214,3,134.60054691184214,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,False,False,Liberty Media Corporation Series C Liberty Live Common Stock
