symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SH605319,无锡振华,36.67,41957.0,153.856319,0.0,0,0.0,0,0.0,0,0.0,3
SH605268,王力安防,8.85,32189.0,28.487264999999997,0.0,0,0.0,3,0.0,0,0.0,0
SH605228,神通科技,12.61,82275.0,103.748775,0.0,0,0.0,0,0.0,0,0.0,2
SH605368,蓝天燃气,10.62,37570.0,39.899339999999995,0.0,0,0.0,0,0.0,2,0.0,0
SH605318,法狮龙,26.85,16801.0,45.110685000000004,0.0,0,0.0,0,0.0,0,-193.60923003432444,3
SH605288,凯迪股份,40.89,15740.0,64.36086,0.0,0,0.0,0,0.0,0,0.0,2
SH605286,同力日升,44.12,24881.0,109.77497199999999,0.0,0,0.0,2,0.0,0,-350.0,5
SH605376,博迁新材,41.7,32390.0,135.0663,0.0,0,0.0,0,0.0,0,0.0,3
SH605389,长龄液压,31.6,13041.0,41.20956,0.0,0,0.0,0,0.0,0,0.0,4
SH688002,睿创微纳,61.2,55926.0,342.26712000000003,0.0,0,0.0,0,0.0,0,0.0,4
SH605555,德昌股份,27.46,76069.0,208.885474,0.0,0,0.0,0,0.0,0,0.0,2
SH688003,天准科技,57.69,46928.0,270.72763199999997,0.0,0,0.0,0,0.0,0,0.0,3
SH688038,中科通达,16.79,54337.0,91.23182299999999,0.0,0,0.0,0,0.0,0,0.0,2
SH688022,瀚川智能,17.43,157703.0,274.876329,0.0,0,0.0,0,0.0,0,-215.53544142168272,2
SH688057,金达莱,11.95,24226.0,28.95007,0.0,0,-188.60921759377044,5,0.0,0,0.0,0
SH688076,诺泰生物,59.4,31834.0,189.09395999999998,0.0,0,-235.3754782272717,3,0.0,0,0.0,0
SH688071,华依科技,43.5,29999.0,130.49565,0.0,0,0.0,0,0.0,0,0.0,2
SH688080,映翰通,50.69,23759.0,120.434371,0.0,0,0.0,0,0.0,0,0.0,2
SH688081,兴图新科,21.06,13573.0,28.584738,0.0,0,0.0,2,0.0,0,-253.17497816240626,3
