symbol,company_name,signals,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",", , , , , 周BLUE>150(2周), , 倍量柱(2次)",0.05458047796074439,-0.20034377185131846,0.5098484996241257,0.4705163264208254,0.18381097560975612,0.0006088799345621565,-0.0009152951475101454,0.0001676592590279532
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-0.2439099459911418,-0.36617482678821,0.24452976159413642,0.196410552670574,0.1767709756097561,-0.003710438394346788,-0.004576570729460173,9.527455686247239e-05
AGGS,Harbor Disciplined Bond ETF,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.11597786263347132,-0.2203153945309459,0.20867506379494916,0.17031046204638828,0.3956465853658537,-0.0016578894977692382,-0.0023254331305825188,7.342979960946086e-05
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",", , 日BLUE>150(3天), , , 周BLUE>150(3周), , ",-0.2946673353925946,-0.2704242655392453,-0.04848613970669857,-0.07473554082526619,0.03285365853658537,-0.004444727150881428,-0.004476221710843597,3.464401595838643e-06
AMZD,Direxion Daily AMZN Bear 1X Shares,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.2685976267414958,-0.21182374859869849,-0.1135477562855946,-0.06389122204109789,0.10694439024390244,-0.0046937105806530155,-0.004325922776525317,-4.045665845404679e-05
ANNX,"Annexon, Inc. Common Stock","日PINK上穿10, , , 周PINK上穿10, , , , ",-0.4148800438258613,-0.33511078560601687,-0.15953851643968886,-0.18320658636988074,0.03985268292682926,-0.006593440305178,-0.006534586554937949,-6.473912526405593e-06
BBBL,BondBloxx BBB Rated 10+ Year Corporate Bond ETF,", , 日BLUE>150(3天), , , 周BLUE>150(2周), 黄金柱(1次), 倍量柱(1次)",-0.23785253635693238,-0.5011188366870912,0.5265326006603177,0.4002288177717631,0.46806268292682923,-0.0030741044858496602,-0.004961798361545863,0.00020764632632658226
BCAN,N/A,", , , , , 周BLUE>150(6周), , 倍量柱(3次)",-1.2544190110473057,-1.0885080753926115,-0.33182187130938834,-0.5610676034581317,0.040537073170731706,-0.01854548539412628,-0.0191509679728658,6.66030836613471e-05
BEEM,N/A,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",-0.2161197738627565,-0.14812189009951016,-0.13599576752649267,-0.08067086870597018,0.02618439024390244,-0.004015617187903046,-0.0033946784977108156,-6.830325592114537e-05
BILD,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.2600006318257968,-0.46127750385689437,0.40255374406219513,0.34923595358850473,0.23490195121951218,-0.003983770189792957,-0.005099921970577839,0.00012277669588633703
BITF,N/A,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-0.09441962521341352,-0.09823206582603869,0.007624881225250346,0.039705730371705585,0.014147560975609758,-0.0015316121230845494,-0.001315171685365997,-2.3808448149040765e-05
BRAZ,N/A,", , , , , 周BLUE>150(5周), , 倍量柱(2次)",0.017425627660379917,-0.344046002702182,0.7229432607251238,0.67558752810852,0.20473170731707316,0.00010777970566050454,-0.0020107960429354053,0.00023304333234555009
BUJAW,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(1次)",-0.0011700606766225329,-0.0008178782154601219,-0.0007043649223248218,0.0015659385793869568,0.00019487804878048781,-2.6600690791621817e-05,-1.105749510308729e-05,-1.709751525738798e-06
CAPTW,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",0.0004080017441965775,-0.0003948637701959953,0.0016057310287851457,0.0027464034132096632,0.00016512195121951218,-1.0928900676089511e-05,-8.74943794633447e-06,-2.397409002730546e-07
CBUS,N/A,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-0.31990348474630625,-0.38379010239515116,0.1277732352976898,0.12415822521373904,0.023235365853658537,-0.005182085262279212,-0.005475603086312178,3.228696064362627e-05
CCM,N/A,"日PINK上穿10, , , , , 周BLUE>150(3周), , ",-0.15927661272818572,-0.14544607823232947,-0.0276610689917125,-0.032444330622677736,0.04448731707317074,-0.0030571996019841396,-0.0030753442568463626,1.995912034844522e-06
CDTG,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(2次)",-0.878249932536872,-0.6160069072152953,-0.5244860506431535,-0.7222670862347897,0.011902439024390244,-0.012665815050693722,-0.012678702846384077,1.4176575259390762e-06
CMSA,N/A,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",-0.16697605691527073,-0.3680864203147788,0.4022207267990161,0.34485551123375313,0.22378048780487805,-0.0027901404480647207,-0.004060759820355442,0.00013976813095197937
COHU,N/A,"日PINK上穿10, , , 周PINK上穿10, , , , ",-1.0601357811391239,-0.6709756771997328,-0.7783202078787821,-0.6571000836477606,0.2208048780487805,-0.016386572657323406,-0.013293875636366094,-0.0003401966723053044
CPSI,N/A,", , , , , 周BLUE>150(3周), , 倍量柱(1次)",-0.4204333483517946,-0.266449347677117,-0.3079680013493552,-0.29622600647709657,0.09165853658536585,-0.006326572597555841,-0.005986558878176824,-3.740150913169182e-05
