symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
600789.SH,鲁抗医药,9.11,147572.53,134.43857483,0.0,0,0,200.00000000000003,2,200.00000000000003,False,True,False,1,0,1,1,True,True,-107.4421513445904,-178.51919561243142
600845.SH,宝信软件,20.09,96065.62,192.99583058,0.0,0,0,200.0,5,200.0,False,True,False,1,1,1,1,True,True,-89.2443729903542,-169.51503337468267
600839.SH,四川长虹,8.74,488686.41,427.11192234,0.0,0,0,200.0,3,200.0,False,True,False,1,1,1,1,True,True,-110.82712105076304,-155.00339621814697
600862.SH,中航高科,21.81,328046.7,715.4698526999999,0.0,0,0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,143.40021119324135,-70.05727376861435
600866.SH,星湖科技,6.84,237035.49,162.13227515999998,0.0,0,0,200.0,2,200.0,False,True,False,1,0,1,0,True,False,31.933949062412886,-101.2227538543327
600873.SH,梅花生物,10.08,179733.4,181.1712672,0.0,0,0,0.0,2,148.833997888576,False,True,False,0,0,1,1,True,True,-16.66666666666397,-109.80659840728133
600905.SH,三峡能源,4.12,530244.43,218.46070516000003,0.0,0,0,200.0,3,200.0,False,True,False,0,0,1,1,True,True,-99.02439024390115,-163.31913166970983
600941.SH,中国移动,101.9,97917.08,997.7750452000001,84.55881119925895,0,0,135.4820417606757,2,135.4820417606757,False,True,False,0,0,2,1,True,True,-134.05835859036088,-197.32096018523546
601006.SH,大秦铁路,5.41,907303.28,490.85107448,0.0,0,0,192.4049234917036,4,192.4049234917036,False,True,False,0,0,1,1,True,True,-101.81818181818154,-125.22344900105122
601098.SH,中南传媒,11.06,165603.06,183.15698436,0.0,0,0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,-83.33333333333306,-117.83007578779412
601216.SH,君正集团,4.76,512224.46,243.81884295999998,0.0,0,0,200.0,4,200.0,False,True,False,1,1,1,2,True,True,-10.383189122373691,-132.06217355735944
601390.SH,中国中铁,5.45,523031.45,285.05214025000004,0.0,0,0,200.00000000000003,2,200.00000000000003,False,True,False,0,0,0,0,False,False,-17.41293532338221,-89.74358974359008
601668.SH,中国建筑,5.19,1103174.24,572.5474305600001,0.0,0,0,143.06480060206758,3,143.06480060206758,False,True,False,0,1,0,2,False,True,-42.51554280248716,-123.81434599156107
601800.SH,中国交建,8.34,123333.0,102.85972199999999,0.0,0,0,200.0,4,200.0,False,True,False,1,0,1,1,True,True,-120.72415435921924,-163.64458512321926
601766.SH,中国中车,6.89,730700.48,503.45263071999995,0.0,0,0,200.0,2,200.0,False,True,False,0,1,1,1,True,True,-82.2959889349935,-141.15490375801997
603214.SH,爱婴室,17.34,92244.0,159.951096,0.0,0,0,0.0,3,133.6924605661444,False,True,False,0,0,1,1,True,True,46.35048772283963,-44.36050781659874
603288.SH,海天味业,37.01,76274.06,282.29029606,0.0,0,0,0.0,4,200.0,False,True,False,0,0,0,1,False,True,119.35403972853683,-91.7481557728597
603369.SH,今世缘,35.1,36554.56,128.30650559999998,0.0,0,0,200.0,4,200.0,False,True,False,0,0,0,1,False,True,-61.55792379053886,-179.1819645732697
603477.SH,巨星农牧,17.25,66708.85,115.07276625000002,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,32.35912129894911,-84.76156406170415
603517.SH,ST绝味,13.26,104656.01,138.77386926,0.0,0,0,200.0,2,200.0,False,True,False,0,0,0,0,False,False,16.706592139117596,-109.24683072334074
603529.SH,爱玛科技,30.03,44662.92,134.12274876,0.0,0,0,198.4536193698576,4,198.4536193698576,False,True,False,0,0,0,2,False,True,-13.497258093046986,-115.49159013857356
603605.SH,珀莱雅,67.21,28971.64,194.71839243999997,0.0,0,0,200.0,3,200.0,False,True,False,1,1,0,1,True,True,-73.65893915522582,-114.36955352620816
603883.SH,老百姓,15.67,208555.15,326.80592005,0.0,0,0,192.31417895399906,4,192.31417895399906,False,True,False,1,0,1,1,True,True,-38.834876543210235,-147.1711332983008
603918.SH,金桥信息,15.24,76516.0,116.61038400000001,0.0,0,0,200.0,3,200.0,False,True,False,0,1,0,1,False,True,-87.34387672343877,-169.56979664587243
603958.SH,哈森股份,13.4,133658.8,179.102792,0.0,0,0,200.0,2,200.0,False,True,False,0,0,1,1,True,True,-101.03235230256003,-272.555123216602
603985.SH,恒润股份,14.27,71787.45,102.44069114999999,0.0,0,0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,32.29041315683859,-95.97768173606798
605266.SH,健之佳,20.17,50001.65,100.85332805000002,0.0,0,0,190.76216065950211,2,190.76216065950211,False,True,False,1,0,0,0,True,False,23.19433330369503,-103.45679012345684
688050.SH,爱博医疗,62.63,18000.73,112.73857199,0.0,0,0,0.0,2,185.72356214689177,False,True,False,0,0,0,0,False,False,159.44316562534198,-67.17701437509635
688114.SH,华大智造,65.43,32318.59,211.46053437,0.0,0,0,0.0,2,200.0,False,True,False,0,1,1,0,True,True,143.27018184584978,-21.89676727987129
688246.SH,嘉和美康,25.67,117242.78,300.96221626000005,0.0,0,0,200.0,4,200.0,False,True,False,0,0,1,0,True,False,141.30358063903174,-67.37632861823693
688596.SH,正帆科技,29.76,109258.26,325.15258176000003,0.0,0,0,0.0,2,137.35354588424926,False,True,False,0,1,0,0,False,True,171.54859821349658,-66.61022969452996
