symbol,type,threshold,return,drawdown,trades,win_rate
NVDA,Mega Tech,50,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,60,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,70,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,80,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,90,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,100,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,110,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,120,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,130,0.24442449969999958,-0.09557442396350527,4,1.0
NVDA,Mega Tech,150,0.24442449969999958,-0.09557442396350527,4,1.0
AAPL,Mega Tech,50,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,60,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,70,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,80,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,90,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,100,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,110,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,120,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,130,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
AAPL,Mega Tech,150,0.3370156217300001,-0.10768590427187406,7,0.8571428571428571
MSFT,Mega Tech,50,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,60,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,70,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,80,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,90,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,100,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,110,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,120,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,130,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
MSFT,Mega Tech,150,0.10018036994999988,-0.10583543290931466,9,0.6666666666666666
TSLA,High Volatility,50,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,60,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,70,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,80,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,90,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,100,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,110,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,120,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,130,0.05043786040000021,-0.4060779258011201,8,0.75
TSLA,High Volatility,150,0.05043786040000021,-0.4060779258011201,8,0.75
AMD,High Volatility,50,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,60,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,70,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,80,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,90,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,100,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,110,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,120,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,130,0.4041090672999999,-0.25409342208514824,5,0.2
AMD,High Volatility,150,0.4041090672999999,-0.25409342208514824,5,0.2
COIN,High Volatility,50,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,60,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,70,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,80,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,90,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,100,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,110,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,120,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,130,0.9168321802999996,-0.16134247275674915,5,0.8
COIN,High Volatility,150,0.9168321802999996,-0.16134247275674915,5,0.8
KO,Defensive,50,0.0,0.0,0,0.0
KO,Defensive,60,0.0,0.0,0,0.0
KO,Defensive,70,0.0,0.0,0,0.0
KO,Defensive,80,0.0,0.0,0,0.0
KO,Defensive,90,0.0,0.0,0,0.0
KO,Defensive,100,0.0,0.0,0,0.0
KO,Defensive,110,0.0,0.0,0,0.0
KO,Defensive,120,0.0,0.0,0,0.0
KO,Defensive,130,0.0,0.0,0,0.0
KO,Defensive,150,0.0,0.0,0,0.0
JNJ,Defensive,50,-0.12426915059999956,-0.17265477259999956,9,0.5555555555555556
JNJ,Defensive,60,-0.12426915059999956,-0.17265477259999956,9,0.5555555555555556
JNJ,Defensive,70,-0.12426915059999956,-0.17265477259999956,9,0.5555555555555556
