symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly,day_blue_dates,week_blue_dates,heima_dates
002932.SZ,明德生物,19.18,163766.1,314.10337979999997,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,369.5253955037453,-5.2434456928835695,[],"[{'date': '2025-12-15', 'value': 177.6969836315612}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
002948.SZ,青岛银行,4.48,247133.38,110.71575424000001,0.0,2,200.0,118.71448808584817,2,118.71448808584817,False,True,False,0,0,1,1,True,True,-117.2861356932155,-124.43865525369054,"[{'date': '2025-12-29', 'value': 176.9971089017001}, {'date': '2025-12-30', 'value': 200.0}]","[{'date': '2025-12-29', 'value': 105.11782018324115}, {'date': '2026-01-05', 'value': 118.71448808584817}]","['2025-12-30', '2026-01-05']"
003010.SZ,若羽臣,34.97,61675.1,215.6778247,0.0,0,0.0,0.0,2,191.45735441030106,False,True,False,0,0,0,0,False,False,4.597120484970797,-63.26028006894261,[],"[{'date': '2025-12-08', 'value': 186.46301551611037}, {'date': '2025-12-22', 'value': 191.45735441030106}]",[]
300015.SZ,爱尔眼科,10.98,351809.64,386.28698472,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,-98.76237623762412,-104.40595563658482,[],"[{'date': '2025-12-08', 'value': 195.81282403873305}, {'date': '2025-12-15', 'value': 200.0}]",['2025-12-15']
300027.SZ,华谊兄弟,2.17,1261952.3,273.8436491,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,40.80402010050296,-99.9710899103788,[],"[{'date': '2025-12-15', 'value': 177.09349866007406}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
300044.SZ,ST赛为,3.99,354974.22,141.63471378,133.61837345858078,3,133.61837345858078,0.0,0,0.0,True,False,False,0,0,0,0,False,False,-69.06906906906872,-105.76131687242824,"[{'date': '2025-12-24', 'value': 124.0508765925554}, {'date': '2025-12-29', 'value': 128.50614379943295}, {'date': '2025-12-31', 'value': 133.61837345858078}]",[],[]
300047.SZ,天源迪科,12.55,197468.39,247.82282945000003,0.0,0,0.0,0.0,2,157.94061579494758,False,True,False,0,1,0,1,False,True,137.09198813056193,-114.49804806418103,[],"[{'date': '2025-12-15', 'value': 139.85128115758897}, {'date': '2025-12-22', 'value': 157.94061579494758}]","['2025-12-22', '2025-12-29']"
300061.SZ,旗天科技,10.52,124732.14,131.21821128,0.0,0,0.0,0.0,2,152.96433781386074,False,True,False,0,1,0,1,False,True,-16.864991920082712,-123.37714058144184,[],"[{'date': '2025-12-22', 'value': 135.44494876909914}, {'date': '2025-12-29', 'value': 152.96433781386074}]","['2025-12-29', '2026-01-05']"
300077.SZ,国民技术,20.22,95617.5,193.338585,0.0,0,0.0,0.0,2,157.85382535008802,False,True,False,0,0,0,1,False,True,20.067093626105404,-92.13049433445374,[],"[{'date': '2025-12-15', 'value': 139.77443104254277}, {'date': '2025-12-22', 'value': 157.85382535008802}]",['2025-12-22']
300075.SZ,数字政通,15.34,111042.32,170.33891888000002,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,136.37590479695766,-72.96115517592041,[],"[{'date': '2025-12-15', 'value': 177.0934986594967}, {'date': '2025-12-22', 'value': 200.0}]","['2025-12-22', '2025-12-29']"
