symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
IVP,0.0504,174377942.0,878.86482768,0.0,187.3111084400277,4,187.3111084400277,0.0,74.76743556263939,0,0.0,False,0,0,0,1,False,False,False,True,-91.03640783794833,-103.20859519133579,"Inspire Veterinary Partners, Inc. Class A Common Stock"
VCEB,63.78,54118.0,345.164604,0.0,69.34379705458385,2,69.34379705458385,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-72.99570912375334,-104.2336976226248,Vanguard ESG U.S. Corporate Bond ETF
NTNX,48.32,2850580.0,13774.002559999999,0.0,0.0,0,0.0,0.0,200.0,3,200.0,False,0,1,0,1,False,True,False,True,30.097139676440563,-114.72723775835995,"Nutanix, Inc. Class A Common Stock"
VXX,29.275,9779327.0,28628.979792500002,0.0,58.57362322375175,3,58.57362322375175,0.0,189.77252046357884,3,189.77252046357884,True,0,0,0,1,False,False,False,True,-115.5475699044564,-176.86433413854934,iPath Series B S&P 500 VIX Short-Term Futures ETN
KOLD,34.29,4963036.0,17018.250444,0.0,0.0,0,0.0,0.0,80.2404338199603,1,80.2404338199603,False,0,0,0,1,False,False,False,True,160.4627031450952,43.54167163642299,ProShares UltraShort Bloomberg Natural Gas
CRC,44.81,469072.0,2101.911632,77.33969804900747,77.33969804900747,1,77.33969804900747,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-310.98980463568546,-90.30539946292191,California Resources Corporation
NFXL,31.47,383527.0,1206.959469,0.0,186.95479876451645,1,186.95479876451645,0.0,135.2193667304655,2,135.2193667304655,True,1,0,1,1,True,False,True,True,-83.66909784099511,-149.08676626958348,Direxion Daily NFLX Bull 2X Shares
GTM,9.995,2896430.0,2894.981785,0.0,0.0,0,0.0,0.0,159.7660832489613,1,159.7660832489613,False,0,0,0,1,False,False,False,True,-34.74618654663701,-62.900184226177586,ZoomInfo Technologies Inc Common Stock
DHLX,13.28,110593.0,146.867504,0.0,0.0,0,0.0,0.0,194.2231022351037,1,194.2231022351037,False,0,0,0,1,False,False,False,True,130.8051943651106,150.80341815781722,Diamond Hill Large Cap Concentrated ETF
NNN,40.25,617888.0,2486.9992,0.0,53.417801228821865,1,53.417801228821865,0.0,121.57282175939262,1,121.57282175939262,True,1,0,1,0,True,False,True,False,-19.346733668341393,-84.77904917586173,"NNN REIT, Inc."
WTI,1.655,1440295.0,238.36882250000002,66.6161391640507,66.6161391640507,2,66.6161391640507,0.0,0.0,0,0.0,False,1,0,1,1,True,False,True,True,-139.29997971795527,-117.41235821575621,"W&T Offshore, Inc."
TSCO,52.885,2293141.0,12127.2761785,0.0,54.564104432950906,1,54.564104432950906,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-58.049326553715396,-100.68651652323892,Tractor Supply Co
NSP,38.99,512172.0,1996.958628,0.0,0.0,0,0.0,0.0,118.35053326917144,1,118.35053326917144,False,0,1,0,1,False,True,False,True,127.67459705191442,-33.4574484362952,"Insperity, Inc"
FSV,155.615,135063.0,2101.7828745,0.0,55.05565765119658,1,55.05565765119658,0.0,164.75537849284336,1,164.75537849284336,True,0,1,1,0,False,True,True,False,48.55596345940429,-55.82835278109603,FirstService Corporation Common Shares
CBZ,53.775,224342.0,1206.399105,0.0,0.0,0,0.0,0.0,91.85432112446955,2,91.85432112446955,False,0,0,0,1,False,False,False,True,99.47750215593777,56.135046973381094,"CBIZ, Inc."
GOVZ,9.3766,1203123.0,1128.12031218,88.30800207969854,88.30800207969854,2,88.30800207969854,0.0,0.0,0,0.0,False,0,0,1,2,False,False,True,True,-101.61683166094245,-163.4487297391735,iShares 25+ Year Treasury STRIPS Bond ETF
SMR,17.04,15458824.0,26341.836096,74.64124226496688,74.64124226496688,1,74.64124226496688,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-146.18817249373566,-95.74884291182,NuScale Power Corporation
GRRR,12.94,482202.0,623.969388,0.0,0.0,0,0.0,0.0,106.41684097326295,1,106.41684097326295,False,0,1,0,1,False,True,False,True,-96.04525533647889,-86.15560940240408,Gorilla Technology Group Inc. Ordinary shares
BTDR,10.135,5019652.0,5087.417302,56.55059453550621,56.55059453550621,1,56.55059453550621,200.0,200.0,1,200.0,True,0,1,1,0,False,True,True,False,-170.87581865851453,-101.83541666666669,Bitdeer Technologies Group Class A Ordinary Shares
GOF,12.065,2038860.0,2459.8845899999997,0.0,0.0,0,0.0,0.0,170.8985945926637,1,170.8985945926637,False,0,0,0,1,False,False,False,True,-90.03893685458046,-88.3038057742782,Guggenheim Strategic Opportunities Fund
NEE,81.32,3402513.0,27669.235715999996,0.0,82.52414151369011,1,82.52414151369011,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-69.2410404745879,-16.32690032686211,"NextEra Energy, Inc."
MBLY,10.37,3286282.0,3407.874434,200.0,200.0,2,200.0,41.42776247776763,41.42776247776763,0,0.0,False,0,1,1,1,False,True,True,True,-221.30527103378614,-117.8336207521439,Mobileye Global Inc. Class A Common Stock
CLPT,13.8288,1618519.0,2238.21755472,0.0,61.964525013335354,3,61.964525013335354,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,16.891216379697877,-62.206564744728965,"ClearPoint Neuro, Inc. Common Stock"
PTON,6.235,3965420.0,2472.4393700000005,51.00592101996359,51.00592101996359,1,51.00592101996359,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-177.62344261011978,-124.24680606779435,"Peloton Interactive, Inc. Class A Common Stock"
OKLL,23.1176,1972165.0,4559.1721604,150.13988770545168,150.13988770545168,2,150.13988770545168,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-140.68838204703786,-93.59657103179777,Defiance Daily Target 2x Long OKLO ETF
KBR,42.57,612423.0,2607.084711,0.0,0.0,0,0.0,0.0,144.23419735155053,1,144.23419735155053,False,0,0,0,1,False,False,False,True,-40.124644521086694,-42.54446693355826,"KBR, Inc."
LTPZ,52.05,81146.0,422.36492999999996,85.07405361368981,85.07405361368981,2,85.07405361368981,0.0,0.0,0,0.0,False,1,0,0,1,True,False,False,True,-103.90805520612966,-156.9180991019849,PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund
LPG,24.8,233705.0,579.5884,0.0,79.81262319619415,2,79.81262319619415,0.0,0.0,0,0.0,False,0,1,1,0,False,True,True,False,44.65046609772797,-78.7203767029275,DORIAN LPG LTD
FERG,225.63,991700.0,22375.7271,0.0,196.79950570164164,3,196.79950570164164,0.0,0.0,0,0.0,False,1,0,1,0,True,False,True,False,-91.63126280935653,-113.80912975367062,Ferguson Enterprises Inc.
RDW,6.58,6531094.0,4297.459852,0.0,0.0,0,0.0,0.0,200.0,1,200.0,False,0,0,0,1,False,False,False,True,20.044297478116007,-45.687661889338294,Redwire Corporation
PX,10.23,191549.0,195.954627,0.0,0.0,0,0.0,0.0,187.93334074907372,1,187.93334074907372,False,0,0,0,1,False,False,False,True,74.91088120202978,-27.07021829684599,"P10, Inc."
LI,16.655,2819434.0,4695.7673270000005,74.14472286399995,74.14472286399995,4,74.14472286399995,77.06483372480186,77.06483372480186,0,0.0,False,0,0,1,0,False,False,True,False,-128.22037663624877,-102.60801708559227,Li Auto Inc. American Depositary Shares
CMRC,4.3001,484439.0,208.31361438999997,175.06920500584192,175.06920500584192,2,175.06920500584192,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-162.7352447005211,-144.01630308003672,"Commerce.com, Inc. Series 1 Common Stock"
KOS,0.9826,30372162.0,2984.36863812,101.7333058418978,101.7333058418978,3,101.7333058418978,130.48888513759238,130.48888513759238,5,130.48888513759238,True,0,0,1,1,False,False,True,True,-152.58138042443935,-126.57450657058384,Kosmos Energy Ltd.
NPCT,10.1963,190874.0,194.62085662,63.32159984857473,63.32159984857473,2,63.32159984857473,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-162.89841039296368,-158.73839602138872,Nuveen Core Plus Impact Fund
