segment,symbols_count,best_topk,best_n_drop,best_ann_return,best_sharpe,best_max_drawdown,best_turnover,best_total_return,status
LARGE,15,8,1,-0.9396877231066922,1.3955222800553904,-0.866586582970381,0.09539473684210527,-0.34522373743734847,ok
MID,15,5,1,-1.4822737881559078e-07,-0.4899418713575818,-1.2169281360385753e-07,0.03289473684210526,-2.2351749007221144e-08,ok
SMALL,15,5,1,293.9953773795718,3.4637891258123505,-0.3909777430058894,0.10000000000000002,1.3573955119997474,ok
