factor,ic_mean,ic_std,ir,hit_rate,abs_ic,sample_days,score
LOW0,0.09325046634997199,0.5368285697557713,2.75750089510027,0.5514018691588785,0.4735195147154488,214,0.9627388535031848
OPEN0,0.05752722968889125,0.5454111350787806,1.674363432451521,0.5467289719626168,0.4745492197182565,214,0.8770700636942675
RESI5,-0.07300519104684246,0.5558122994774014,-2.085095059339086,0.4252336448598131,0.49831935914769193,214,0.8585987261146497
KLOW,-0.09516318839066791,0.5228226522135024,-2.889447839152297,0.4205607476635514,0.46179406141449514,214,0.8420382165605096
MIN5,0.07189097485476709,0.5164346722771712,2.209831963493279,0.5514018691588785,0.44644761656427684,214,0.828343949044586
KUP,-0.09003144609668653,0.5267486005883973,-2.713258084952903,0.4252336448598131,0.4569681607036413,214,0.8229299363057325
STD5,-0.05794779267929666,0.5341847069048516,-1.722049843128773,0.4766355140186916,0.4681391927339594,214,0.8038216560509555
QTLU5,0.040503711476923276,0.5543916150180886,1.1597875383402598,0.5420560747663551,0.4772345924838737,214,0.7971337579617834
MA5,0.048144785139321175,0.5354240169894379,1.4274196639833747,0.514018691588785,0.462844818102619,214,0.7926751592356688
KMID,-0.0564603448724833,0.5461772333063284,-1.641006131638781,0.4532710280373832,0.4745714772478085,214,0.7907643312101912
IMXD60,0.06643457485288755,0.5119194094438663,2.0601214989054206,0.5514018691588785,0.44378937106399324,214,0.7901273885350318
KSFT,-0.05337756891507164,0.5498189639241706,-1.5411302505524542,0.4252336448598131,0.4806881174059446,214,0.778343949044586
QTLD5,0.06601203314936274,0.5185212532675006,2.020955810205116,0.5186915887850467,0.4440328530072342,214,0.7678343949044587
STD30,-0.0561029679938851,0.5299225881917665,-1.6806360524951391,0.4485981308411215,0.45486928213213446,214,0.7277070063694269
WVMA20,-0.06204890250344257,0.5182220579902413,-1.9007214681513256,0.4672897196261682,0.44767488845658193,214,0.7254777070063695
KLEN,-0.05554096477458918,0.5327134643654211,-1.6550839075773143,0.46261682242990654,0.4537331182520075,214,0.7219745222929937
STD20,-0.05786870414867071,0.5231070391420121,-1.7561170668482189,0.46261682242990654,0.4492357326756073,214,0.7181528662420383
MAX20,-0.06476717186236278,0.5199242415908116,-1.9774938288450097,0.42990654205607476,0.4482214802726611,214,0.7168789808917199
MIN10,0.07370681656357764,0.4966515975207682,2.3558958537246406,0.5467289719626168,0.4262884666015931,214,0.7082802547770701
CORD5,-0.050953678782636395,0.5255857243533301,-1.5389774439774901,0.5,0.4445876663242746,214,0.7003184713375796
SUMD60,0.0631765662775632,0.4996814337684825,2.00707256777766,0.5327102803738317,0.43200661355737346,214,0.6993630573248408
KUP2,-0.04480195171888323,0.5272652422369136,-1.3488636800211509,0.4532710280373832,0.4567015337668032,214,0.6984076433121019
SUMP60,0.0631765607503028,0.4996814319917216,2.0070723993174266,0.5327102803738317,0.4320066105940311,214,0.6936305732484076
MAX10,-0.03853757639772046,0.540130399262999,-1.1326247523040176,0.4719626168224299,0.46193829265754355,214,0.6904458598726114
STD60,-0.07768887897112789,0.5048761386678798,-2.442723325392245,0.4485981308411215,0.4347589418642955,214,0.6888535031847134
VSTD60,-0.04331064784797925,0.5250286574918843,-1.3095194141316275,0.48130841121495327,0.45389323765931905,214,0.6872611464968152
RESI10,-0.028398808177723618,0.5817672067635117,-0.7749097896412742,0.4766355140186916,0.5113527236700657,214,0.6853503184713375
VSTD30,-0.05392572727584887,0.5161423486587581,-1.6585431985297079,0.4532710280373832,0.44731158573594326,214,0.6843949044585987
QTLU10,0.027530400143361607,0.5338992505173729,0.8185655874532265,0.5280373831775701,0.45720530705359985,214,0.6815286624203822
VSTD5,-0.04218119778141518,0.5317449815320398,-1.2592610729780394,0.4672897196261682,0.45512810034961615,214,0.6777070063694267
VSTD20,-0.07590415585124209,0.49743453447766905,-2.4223109487508676,0.4439252336448598,0.43283191714578195,214,0.6745222929936306
MIN30,0.05643309112780316,0.5071002652506665,1.7666083226954077,0.5420560747663551,0.43109968258317694,214,0.6678343949044587
VMA20,-0.04558245884864778,0.5243106615115402,-1.3800961046187294,0.4158878504672897,0.4518770266770919,214,0.6668789808917198
WVMA10,-0.02262597388066964,0.5382451607020023,-0.6673096696028188,0.5,0.46803182397212423,214,0.6570063694267516
CNTD60,0.08498627217541793,0.4838938289352926,2.788039783751885,0.5700934579439252,0.4188397275605341,214,0.652547770700637
STD10,-0.025511549546769468,0.5299582503681025,-0.7641796192108172,0.49065420560747663,0.4624064946344111,214,0.6480891719745224
