Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002540,4.75,4.75,4.9,4.74,191769,101539629.15,3.4,0.85,0.04,2.22
2024-03-08,002540,4.77,4.82,4.83,4.71,139799,73467470.0,2.53,1.47,0.07,1.62
2024-03-11,002540,4.82,4.91,4.91,4.8,129523,69252002.53,2.28,1.87,0.09,1.5
2024-03-12,002540,4.91,4.91,4.96,4.84,134782,72552341.6,2.44,0.0,0.0,1.56
2024-03-13,002540,4.93,5.26,5.45,4.93,593970,341426802.31,10.59,7.13,0.35,6.88
2024-03-14,002540,5.28,5.07,5.33,5.03,379076,213361927.9,5.7,-3.61,-0.19,4.39
2024-03-15,002540,5.06,5.29,5.31,5.01,270972,152939091.76,5.92,4.34,0.22,3.14
2024-03-18,002540,5.29,5.43,5.45,5.25,257939,150547544.0,3.78,2.65,0.14,2.99
2024-03-19,002540,5.42,5.44,5.55,5.37,214262,127320037.75,3.31,0.18,0.01,2.48
2024-03-20,002540,5.36,5.4,5.45,5.32,153837,89943435.35,2.39,-0.74,-0.04,1.78
2024-03-21,002540,5.4,5.43,5.47,5.32,149286,87615053.8,2.78,0.56,0.03,1.73
2024-03-22,002540,5.4,5.39,5.47,5.3,136035,79610682.0,3.13,-0.74,-0.04,1.58
2024-03-25,002540,5.33,5.35,5.5,5.3,137955,81470870.23,3.71,-0.74,-0.04,1.6
2024-03-26,002540,5.33,5.43,5.45,5.28,150724,88099626.5,3.18,1.5,0.08,1.75
2024-03-27,002540,5.38,5.2,5.4,5.19,120178,69545908.7,3.87,-4.24,-0.23,1.39
2024-03-28,002540,5.22,5.34,5.42,5.2,119396,69374159.56,4.23,2.69,0.14,1.38
2024-03-29,002540,5.36,5.46,5.46,5.33,110789,65324334.0,2.43,2.25,0.12,1.28
2024-04-01,002540,5.52,5.49,5.58,5.44,212343,126958297.75,2.56,0.55,0.03,2.46
2024-04-02,002540,5.49,5.61,5.62,5.45,184537,111794260.94,3.1,2.19,0.12,2.14
2024-04-03,002540,5.62,5.65,5.67,5.54,172859,105277433.0,2.32,0.71,0.04,2.0
2024-04-08,002540,5.63,5.56,5.74,5.56,243650,149428658.34,3.19,-1.59,-0.09,2.82
2024-04-09,002540,5.52,5.65,5.71,5.5,152063,92964442.78,3.78,1.62,0.09,1.76
2024-04-10,002540,5.68,5.57,5.7,5.52,133124,80931702.11,3.19,-1.42,-0.08,1.54
2024-04-11,002540,5.55,5.63,5.7,5.48,145468,88814610.0,3.95,1.08,0.06,1.69
2024-04-12,002540,5.63,5.64,5.71,5.61,127114,77985636.58,1.78,0.18,0.01,1.47
2024-04-15,002540,5.64,5.7,5.72,5.38,238011,145086591.56,6.03,1.06,0.06,2.76
2024-04-16,002540,5.58,5.25,5.67,5.22,243505,143460756.65,7.89,-7.89,-0.45,2.82
2024-04-17,002540,5.34,5.5,5.51,5.34,145843,86448420.0,3.24,4.76,0.25,1.69
2024-04-18,002540,5.51,5.6,5.63,5.45,123687,74711140.3,3.27,1.82,0.1,1.43
2024-04-19,002540,5.57,5.51,5.68,5.46,124377,74995430.0,3.93,-1.61,-0.09,1.44
2024-04-22,002540,5.47,5.47,5.63,5.43,143409,86310656.25,3.63,-0.73,-0.04,1.66
2024-04-23,002540,5.64,5.75,5.82,5.51,312889,193110845.15,5.67,5.12,0.28,3.63
2024-04-24,002540,5.65,5.87,5.87,5.54,286746,178379473.61,5.74,2.09,0.12,3.32
2024-04-25,002540,5.79,5.68,5.83,5.62,231573,143669434.78,3.58,-3.24,-0.19,2.68
2024-04-26,002540,5.64,5.78,5.81,5.63,169622,105410340.75,3.17,1.76,0.1,1.97
2024-04-29,002540,5.77,5.76,5.8,5.67,190234,118581890.54,2.25,-0.35,-0.02,2.2
2024-04-30,002540,5.76,5.89,5.92,5.74,225524,143190848.99,3.13,2.26,0.13,2.61
2024-05-06,002540,5.92,5.93,6.02,5.85,194027,123812501.08,2.89,0.68,0.04,2.25
2024-05-07,002540,5.92,6.02,6.05,5.89,150131,97364601.69,2.7,1.52,0.09,1.74
2024-05-08,002540,5.99,5.95,6.03,5.93,104986,67731060.71,1.66,-1.16,-0.07,1.22
2024-05-09,002540,5.95,6.1,6.11,5.93,136432,89393446.68,3.03,2.52,0.15,1.58
2024-05-10,002540,6.1,6.13,6.15,6.04,141072,92735678.65,1.8,0.49,0.03,1.63
2024-05-13,002540,6.08,5.99,6.08,5.93,156158,101264066.54,2.45,-2.28,-0.14,1.81
2024-05-14,002540,5.97,5.94,6.05,5.88,165740,106506164.9,2.84,-0.83,-0.05,1.92
2024-05-15,002540,5.93,5.88,6.0,5.86,103227,66190106.0,2.36,-1.01,-0.06,1.2
2024-05-16,002540,5.88,5.86,5.97,5.83,115119,73397194.0,2.38,-0.34,-0.02,1.33
2024-05-17,002540,5.87,5.98,5.99,5.84,95909,61227066.0,2.56,2.05,0.12,1.11
2024-05-20,002540,6.05,6.08,6.11,6.0,140922,92157807.16,1.84,1.67,0.1,1.63
2024-05-21,002540,6.06,5.94,6.12,5.92,150461,97401321.0,3.29,-2.3,-0.14,1.74
2024-05-22,002540,5.93,5.81,5.98,5.73,168015,106195982.28,4.21,-2.19,-0.13,1.95
2024-05-23,002540,5.81,5.6,5.81,5.57,165770,101551918.02,4.13,-3.61,-0.21,1.92
2024-05-24,002540,5.6,5.6,5.65,5.54,108724,66280113.08,1.96,0.0,0.0,1.26
2024-05-27,002540,5.62,5.72,5.73,5.6,95833,58810693.0,2.32,2.14,0.12,1.11
2024-05-28,002540,5.71,5.66,5.8,5.64,104947,64999526.1,2.8,-1.05,-0.06,1.22
2024-05-29,002540,5.62,5.81,5.82,5.62,137766,86028003.8,3.53,2.65,0.15,1.6
2024-05-30,002540,5.84,5.7,5.84,5.67,131965,77976229.08,2.93,-1.89,-0.11,1.53
