Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,605580,8.4,8.55,8.7,8.37,39612,35214082.0,3.93,1.79,0.15,5.54
2024-03-08,605580,8.68,8.56,8.7,8.43,35213,31359103.0,3.16,0.12,0.01,4.92
2024-03-11,605580,8.63,8.72,8.72,8.55,33150,29819345.0,1.99,1.87,0.16,4.63
2024-03-12,605580,8.8,8.87,8.9,8.56,44032,39954509.0,3.9,1.72,0.15,6.15
2024-03-13,605580,8.88,9.17,9.27,8.76,64200,60105740.0,5.75,3.38,0.3,8.97
2024-03-14,605580,9.23,10.12,10.12,9.04,111133,110546464.0,11.78,10.36,0.95,15.53
2024-03-15,605580,11.17,11.17,11.17,11.1,67585,77855136.0,0.69,10.38,1.05,9.45
2024-03-18,605580,11.16,11.18,12.32,10.16,282667,325875082.0,19.34,0.09,0.01,39.5
2024-03-19,605580,10.66,10.45,10.94,10.28,181874,199207275.0,5.9,-6.53,-0.73,25.42
2024-03-20,605580,10.31,10.17,10.34,10.06,104406,109617381.0,2.68,-2.68,-0.28,14.59
2024-03-21,605580,10.18,9.98,10.32,9.92,85468,88778326.0,3.93,-1.87,-0.19,11.94
2024-03-22,605580,9.93,10.03,10.1,9.84,73876,76445223.0,2.61,0.5,0.05,10.32
2024-03-25,605580,10.03,9.93,10.34,9.84,77956,81452483.0,4.99,-1.0,-0.1,10.89
2024-03-26,605580,9.77,9.67,10.05,9.5,67133,67784841.0,5.54,-2.62,-0.26,9.38
2024-03-27,605580,9.6,9.36,9.84,9.36,46408,46370027.0,4.96,-3.21,-0.31,6.49
2024-03-28,605580,9.35,9.58,9.66,9.22,49147,48422646.0,4.7,2.35,0.22,6.87
2024-03-29,605580,9.58,9.78,9.79,9.56,40798,41101112.0,2.4,2.09,0.2,5.7
2024-04-01,605580,9.9,9.84,9.93,9.68,35513,36039598.0,2.56,0.61,0.06,4.96
2024-04-02,605580,9.8,9.94,10.0,9.76,40751,41802901.0,2.44,1.02,0.1,5.7
2024-04-03,605580,10.0,9.95,10.0,9.72,34866,35576057.0,2.82,0.1,0.01,4.87
2024-04-08,605580,9.92,10.98,10.98,9.75,125108,134241520.0,12.36,10.35,1.03,17.48
2024-04-09,605580,10.95,10.5,10.98,10.42,115297,126597511.0,5.1,-4.37,-0.48,16.11
2024-04-10,605580,10.54,10.65,11.59,10.48,97241,108014596.0,10.57,1.43,0.15,13.59
2024-04-11,605580,10.48,10.93,10.94,10.1,100724,111262009.0,7.89,2.63,0.28,14.08
2024-04-12,605580,10.71,10.35,10.79,10.27,86143,93012248.0,4.76,-5.31,-0.58,12.04
2024-04-15,605580,10.1,10.23,11.15,10.03,81982,89583383.0,10.82,-1.16,-0.12,11.46
2024-04-16,605580,9.85,9.17,9.87,9.17,76753,74048405.0,6.84,-10.36,-1.06,10.73
2024-04-17,605580,9.08,9.84,9.9,9.08,64594,64755323.0,8.94,7.31,0.67,9.03
2024-04-18,605580,9.85,9.5,9.85,9.48,50260,50260351.0,3.76,-3.46,-0.34,7.02
2024-04-19,605580,9.5,9.56,9.75,9.45,30666,30527649.0,3.16,0.63,0.06,4.29
2024-04-22,605580,9.53,9.37,9.53,9.12,29586,28596739.0,4.29,-1.99,-0.19,4.13
2024-04-23,605580,9.37,9.35,9.49,9.26,18694,18197833.0,2.45,-0.21,-0.02,2.61
2024-04-24,605580,9.28,9.52,9.56,9.28,20792,20424228.0,2.99,1.82,0.17,2.91
2024-04-25,605580,9.53,9.71,9.76,9.42,24243,24149945.0,3.57,2.0,0.19,3.39
2024-04-26,605580,9.79,9.68,9.93,9.61,37010,37406350.0,3.3,-0.31,-0.03,5.17
2024-04-29,605580,9.57,9.81,9.84,9.51,29807,29923968.0,3.41,1.34,0.13,4.17
2024-04-30,605580,9.8,9.74,9.92,9.66,21729,21976403.0,2.65,-0.71,-0.07,3.04
