Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,600436,224.52,224.6,225.91,222.54,16696,380305670.0,1.5,-0.04,-0.09,0.28
2024-03-08,600436,223.58,221.06,225.28,220.31,16287,367165449.0,2.21,-1.58,-3.54,0.27
2024-03-11,600436,221.07,226.16,226.83,219.53,21635,492041177.0,3.3,2.31,5.1,0.36
2024-03-12,600436,226.15,233.68,235.33,226.14,31615,743026537.0,4.06,3.33,7.52,0.52
2024-03-13,600436,233.7,232.69,237.2,231.47,22453,532406108.0,2.45,-0.42,-0.99,0.37
2024-03-14,600436,232.69,232.11,235.48,231.54,14312,338485466.0,1.69,-0.25,-0.58,0.24
2024-03-15,600436,232.09,230.11,233.93,228.68,18086,423404965.0,2.26,-0.86,-2.0,0.3
2024-03-18,600436,231.53,231.51,232.01,228.18,17312,405055302.0,1.66,0.61,1.4,0.29
2024-03-19,600436,230.86,232.61,235.01,229.03,17061,403295645.0,2.58,0.48,1.1,0.28
2024-03-20,600436,232.61,232.23,233.68,231.18,10897,256940144.0,1.07,-0.16,-0.38,0.18
2024-03-21,600436,232.18,232.11,233.48,231.53,8859,208975859.0,0.84,-0.05,-0.12,0.15
2024-03-22,600436,231.83,230.44,231.93,226.83,17268,402128884.0,2.2,-0.72,-1.67,0.29
2024-03-25,600436,229.0,227.71,230.36,227.33,11330,262946890.0,1.31,-1.18,-2.73,0.19
2024-03-26,600436,227.55,228.71,229.72,226.08,12826,297312435.0,1.6,0.44,1.0,0.21
2024-03-27,600436,228.71,227.41,231.09,227.33,12555,291954345.0,1.64,-0.57,-1.3,0.21
2024-03-28,600436,226.22,227.13,230.23,225.53,16160,373791902.0,2.07,-0.12,-0.28,0.27
2024-03-29,600436,227.13,225.05,228.22,223.61,11233,257413171.0,2.03,-0.92,-2.08,0.19
2024-04-01,600436,226.53,230.95,233.73,226.52,18571,436958702.0,3.2,2.62,5.9,0.31
2024-04-02,600436,231.04,230.44,231.73,229.54,9562,223730942.0,0.95,-0.22,-0.51,0.16
2024-04-03,600436,230.26,227.03,231.02,226.54,12649,292803207.0,1.94,-1.48,-3.41,0.21
2024-04-08,600436,226.53,219.37,226.53,218.33,24175,541383709.0,3.61,-3.37,-7.66,0.4
2024-04-09,600436,219.37,222.07,222.52,217.91,13983,313676949.0,2.1,1.23,2.7,0.23
2024-04-10,600436,222.23,219.41,222.93,218.33,10929,244448154.0,2.07,-1.2,-2.66,0.18
2024-04-11,600436,218.41,216.63,220.23,215.05,14220,314075620.0,2.36,-1.27,-2.78,0.24
2024-04-12,600436,216.63,213.11,217.76,213.01,14356,313725433.0,2.19,-1.62,-3.52,0.24
2024-04-15,600436,213.11,219.56,221.79,213.11,22287,496589402.0,4.07,3.03,6.45,0.37
2024-04-16,600436,219.56,221.53,223.13,218.73,20982,471479968.0,2.0,0.9,1.97,0.35
2024-04-17,600436,221.53,224.09,224.23,219.65,16511,372813920.0,2.07,1.16,2.56,0.27
2024-04-18,600436,224.09,222.95,225.88,221.54,16315,370888799.0,1.94,-0.51,-1.14,0.27
2024-04-19,600436,221.53,222.56,223.73,220.28,12639,285210900.0,1.55,-0.17,-0.39,0.21
2024-04-22,600436,229.53,223.92,231.03,222.56,23669,542596457.0,3.81,0.61,1.36,0.39
2024-04-23,600436,224.53,225.88,227.21,223.7,18203,416903745.0,1.57,0.88,1.96,0.3
2024-04-24,600436,224.87,221.43,225.5,221.21,18020,407159586.0,1.9,-1.97,-4.45,0.3
2024-04-25,600436,219.53,216.76,221.32,216.53,25670,568543262.0,2.16,-2.11,-4.67,0.43
2024-04-26,600436,215.75,222.22,222.71,215.53,27285,608917861.0,3.31,2.52,5.46,0.45
2024-04-29,600436,220.73,232.19,234.53,220.72,41886,982330885.0,6.21,4.49,9.97,0.69
2024-04-30,600436,232.53,233.77,236.05,232.53,23254,552675599.0,1.52,0.68,1.58,0.39
2024-05-06,600436,236.52,239.49,241.33,236.29,29744,722631304.0,2.16,2.45,5.72,0.49
2024-05-07,600436,239.56,239.51,241.13,238.13,16673,405505696.0,1.25,0.01,0.02,0.28
2024-05-08,600436,239.51,236.77,240.53,236.53,15817,381740886.0,1.67,-1.14,-2.74,0.26
2024-05-09,600436,236.31,235.63,238.23,234.93,16915,405539255.0,1.39,-0.48,-1.14,0.28
