Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,300919,32.89,32.16,33.3,32.14,32962,155876327.0,3.53,-2.19,-0.72,0.51
2024-03-08,300919,32.32,32.65,32.84,31.96,28087,132147952.0,2.74,1.52,0.49,0.43
2024-03-11,300919,33.32,36.66,36.66,33.32,113548,577150927.0,10.23,12.28,4.01,1.75
2024-03-12,300919,36.75,37.11,37.86,36.68,89080,477307005.0,3.22,1.23,0.45,1.37
2024-03-13,300919,36.93,38.18,38.96,36.75,81793,447715390.0,5.96,2.88,1.07,1.26
2024-03-14,300919,38.04,37.17,38.17,36.86,52291,282817080.0,3.43,-2.65,-1.01,0.81
2024-03-15,300919,37.26,37.56,38.3,36.31,61006,326059311.0,5.35,1.05,0.39,0.94
2024-03-18,300919,37.81,38.74,38.92,37.81,72668,402516914.0,2.96,3.14,1.18,1.12
2024-03-19,300919,38.62,38.76,39.03,38.18,49562,276755114.0,2.19,0.05,0.02,0.76
2024-03-20,300919,38.73,38.14,38.91,37.76,39078,214936206.0,2.97,-1.6,-0.62,0.6
2024-03-21,300919,38.32,38.03,38.45,37.86,26105,143246603.0,1.55,-0.29,-0.11,0.4
2024-03-22,300919,37.85,36.34,38.03,36.23,55916,296871470.0,4.73,-4.44,-1.69,0.86
2024-03-25,300919,36.36,36.26,37.16,35.78,30506,161191581.0,3.8,-0.22,-0.08,0.47
2024-03-26,300919,36.26,37.43,37.82,36.06,41933,223877207.0,4.85,3.23,1.17,0.65
2024-03-27,300919,37.31,35.98,37.38,35.96,24161,127799324.0,3.79,-3.87,-1.45,0.37
2024-03-28,300919,36.2,35.99,36.82,35.75,23594,123337824.0,2.97,0.03,0.01,0.36
2024-03-29,300919,35.93,37.0,37.59,35.9,33231,177415131.0,4.7,2.81,1.01,0.51
2024-04-01,300919,37.0,38.2,38.81,36.98,50392,277353888.0,4.95,3.24,1.2,0.78
2024-04-02,300919,38.26,39.11,39.71,37.62,68243,381381834.0,5.47,2.38,0.91,1.05
2024-04-03,300919,38.93,39.07,40.3,38.79,65295,371752660.0,3.86,-0.1,-0.04,1.01
2024-04-08,300919,38.59,37.31,39.68,37.18,50089,275279795.0,6.4,-4.5,-1.76,0.77
2024-04-09,300919,37.35,40.64,41.57,37.25,96562,551167737.0,11.58,8.93,3.33,1.49
2024-04-10,300919,40.57,40.01,40.57,39.29,54890,313803225.0,3.15,-1.55,-0.63,0.85
2024-04-11,300919,39.61,39.18,39.86,38.51,46274,260975151.0,3.37,-2.07,-0.83,0.71
2024-04-12,300919,39.18,37.81,39.19,37.68,39431,217283465.0,3.85,-3.5,-1.37,0.61
2024-04-15,300919,37.38,37.56,39.15,36.98,43651,238472079.0,5.74,-0.66,-0.25,0.67
2024-04-16,300919,37.44,35.45,37.44,35.41,50416,262634516.0,5.4,-5.62,-2.11,0.78
2024-04-17,300919,36.5,36.43,37.49,36.05,48390,256205295.0,4.06,2.76,0.98,0.75
2024-04-18,300919,36.31,35.97,36.75,35.33,48719,253828187.0,3.9,-1.26,-0.46,0.75
2024-04-19,300919,35.68,35.53,35.83,34.75,34763,176965177.0,3.0,-1.22,-0.44,0.54
2024-04-22,300919,35.53,35.26,36.71,35.11,34114,176143354.0,4.5,-0.76,-0.27,0.53
2024-04-23,300919,35.48,34.11,35.74,33.83,44890,223475790.0,5.42,-3.26,-1.15,0.69
2024-04-24,300919,34.77,34.17,34.96,33.83,33675,166808979.0,3.31,0.18,0.06,0.52
2024-04-25,300919,34.11,33.76,34.65,33.68,38488,189790834.0,2.84,-1.2,-0.41,0.59
2024-04-26,300919,33.76,35.26,35.28,33.59,50667,254131553.0,5.01,4.44,1.5,0.78
2024-04-29,300919,35.31,36.63,36.86,35.31,59620,312571538.0,4.4,3.89,1.37,0.92
2024-04-30,300919,36.33,36.36,36.76,36.06,37128,195252681.0,1.91,-0.74,-0.27,0.57
2024-05-06,300919,37.0,36.95,37.46,36.78,44054,235524122.0,1.87,1.62,0.59,0.68
