Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,600062,20.52,19.8,20.55,19.8,117106,239671350.0,3.64,-3.93,-0.81,1.15
2024-03-08,600062,19.82,20.46,20.56,19.79,115292,236961708.0,3.89,3.33,0.66,1.13
2024-03-11,600062,20.85,20.83,21.19,20.27,136216,287394794.0,4.5,1.81,0.37,1.33
2024-03-12,600062,20.72,20.47,21.0,20.28,88551,185138426.0,3.46,-1.73,-0.36,0.87
2024-03-13,600062,20.48,20.19,20.52,20.01,85066,174655548.0,2.49,-1.37,-0.28,0.83
2024-03-14,600062,20.47,20.24,20.54,20.04,77872,160618302.0,2.48,0.25,0.05,0.76
2024-03-15,600062,20.19,20.3,20.66,20.11,68816,142162776.0,2.72,0.3,0.06,0.67
2024-03-18,600062,20.11,21.09,21.13,20.11,130194,274017833.0,5.02,3.89,0.79,1.28
2024-03-19,600062,20.82,20.63,20.95,20.61,99968,211507016.0,1.61,-2.18,-0.46,0.98
2024-03-20,600062,20.62,20.91,21.07,20.45,65517,138718975.0,3.01,1.36,0.28,0.64
2024-03-21,600062,21.08,20.74,21.08,20.63,52887,111745256.0,2.15,-0.81,-0.17,0.52
2024-03-22,600062,20.47,20.18,20.8,20.04,88560,182673453.0,3.66,-2.7,-0.56,0.87
2024-03-25,600062,20.27,19.98,20.62,19.94,107948,223040236.0,3.37,-0.99,-0.2,1.06
2024-03-26,600062,20.0,19.74,20.07,19.52,81512,164214588.0,2.75,-1.2,-0.24,0.8
2024-03-27,600062,19.74,19.84,20.19,19.61,91744,186019788.0,2.94,0.51,0.1,0.9
2024-03-28,600062,19.74,19.89,20.26,19.42,67855,138210216.0,4.23,0.25,0.05,0.66
2024-03-29,600062,19.93,20.31,20.33,19.83,51884,106149561.0,2.51,2.11,0.42,0.51
2024-04-01,600062,20.29,20.35,20.51,20.0,76822,158582336.0,2.51,0.2,0.04,0.75
2024-04-02,600062,20.36,20.1,20.36,19.84,64281,131259728.0,2.56,-1.23,-0.25,0.63
2024-04-03,600062,19.91,20.34,20.58,19.85,85595,176760408.0,3.63,1.19,0.24,0.84
2024-04-08,600062,20.2,20.13,20.53,20.05,55786,115091124.0,2.36,-1.03,-0.21,0.55
2024-04-09,600062,20.14,20.3,20.35,19.92,64092,131069294.0,2.14,0.84,0.17,0.63
2024-04-10,600062,20.24,20.02,20.47,19.9,58761,120327693.0,2.81,-1.38,-0.28,0.58
2024-04-11,600062,19.88,19.48,20.03,19.44,142944,286940114.0,2.95,-2.7,-0.54,1.4
