Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002189,15.27,14.72,15.27,14.7,67694,101241666.17,3.76,-2.84,-0.43,2.59
2024-03-08,002189,14.7,14.92,14.94,14.61,50122,74372515.26,2.24,1.36,0.2,1.92
2024-03-11,002189,14.92,15.47,15.5,14.85,89318,136870767.68,4.36,3.69,0.55,3.42
2024-03-12,002189,15.6,16.02,16.18,15.42,122368,194680522.58,4.91,3.56,0.55,4.69
2024-03-13,002189,15.96,16.23,16.5,15.9,114538,186402750.44,3.75,1.31,0.21,4.39
2024-03-14,002189,16.22,16.1,16.47,15.82,92608,148563333.26,4.0,-0.8,-0.13,3.55
2024-03-15,002189,16.8,17.71,17.71,16.75,169915,298346461.23,5.96,10.0,1.61,6.51
2024-03-18,002189,18.2,19.48,19.48,18.02,192452,368838563.94,8.24,9.99,1.77,7.37
2024-03-19,002189,20.26,18.78,20.86,18.51,420733,818329670.93,12.06,-3.59,-0.7,16.11
2024-03-20,002189,18.4,18.83,19.18,18.18,243644,453108830.64,5.32,0.27,0.05,9.33
2024-03-21,002189,18.66,19.39,19.6,18.39,266128,510981327.4,6.43,2.97,0.56,10.19
2024-03-22,002189,19.51,18.8,19.83,18.7,206865,396663618.07,5.83,-3.04,-0.59,7.92
2024-03-25,002189,18.93,17.93,19.23,17.89,137436,254256605.04,7.13,-4.63,-0.87,5.26
2024-03-26,002189,17.7,17.38,18.0,16.95,133535,232082525.17,5.86,-3.07,-0.55,5.11
2024-03-27,002189,17.38,16.53,17.55,16.53,86163,145278615.07,5.87,-4.89,-0.85,3.3
2024-03-28,002189,16.74,17.45,18.18,16.65,159640,278923114.7,9.26,5.57,0.92,6.11
2024-03-29,002189,17.48,18.42,18.44,17.01,159540,282464049.72,8.19,5.56,0.97,6.11
2024-04-01,002189,18.4,18.24,18.78,17.9,135654,246732308.68,4.78,-0.98,-0.18,5.19
2024-04-02,002189,18.1,17.65,18.18,17.5,89437,159093414.19,3.73,-3.23,-0.59,3.42
2024-04-03,002189,17.71,17.47,18.18,17.29,102399,181812542.91,5.04,-1.02,-0.18,3.92
2024-04-08,002189,17.2,16.82,17.3,16.72,93235,157857215.65,3.32,-3.72,-0.65,3.57
2024-04-09,002189,16.73,16.87,16.98,16.46,55701,93071223.0,3.09,0.3,0.05,2.13
2024-04-10,002189,16.69,16.07,16.86,15.93,66843,108468217.51,5.51,-4.74,-0.8,2.56
2024-04-11,002189,16.04,15.76,16.38,15.7,72825,116657971.75,4.23,-1.93,-0.31,2.79
2024-04-12,002189,15.77,15.64,16.04,15.64,42846,67738203.04,2.54,-0.76,-0.12,1.64
2024-04-15,002189,15.65,14.98,15.78,14.48,80356,121177769.86,8.31,-4.22,-0.66,3.08
2024-04-16,002189,14.7,13.48,14.88,13.48,127817,176960852.02,9.35,-10.01,-1.5,4.89
2024-04-17,002189,13.47,14.31,14.36,13.45,111309,156787539.08,6.75,6.16,0.83,4.26
2024-04-18,002189,14.35,14.88,15.74,14.22,189631,287543771.62,10.62,3.98,0.57,7.26
2024-04-19,002189,14.4,14.47,14.79,14.39,111498,162117418.15,2.69,-2.76,-0.41,4.27
2024-04-22,002189,14.38,14.52,14.85,13.98,82148,118813182.75,6.01,0.35,0.05,3.15
2024-04-23,002189,14.5,14.37,14.69,14.36,57970,84238140.58,2.27,-1.03,-0.15,2.22
2024-04-24,002189,14.34,14.67,14.67,14.33,60988,88801404.91,2.37,2.09,0.3,2.34
2024-04-25,002189,14.67,14.52,14.88,14.42,53984,79132753.49,3.14,-1.02,-0.15,2.07
2024-04-26,002189,14.7,15.22,15.38,14.69,98888,149020378.22,4.75,4.82,0.7,3.79
2024-04-29,002189,15.27,15.69,15.75,15.23,69581,108303075.2,3.42,3.09,0.47,2.66
2024-04-30,002189,15.65,15.5,15.9,15.26,62493,97248544.68,4.08,-1.21,-0.19,2.39
2024-05-06,002189,15.69,15.71,15.95,15.62,51763,81644391.0,2.13,1.35,0.21,1.98
2024-05-07,002189,15.74,16.07,16.14,15.64,58967,94095335.14,3.18,2.29,0.36,2.26
2024-05-08,002189,16.02,15.52,16.04,15.48,56229,88303521.38,3.48,-3.42,-0.55,2.15
2024-05-09,002189,15.52,15.89,15.97,15.48,49476,78310704.87,3.16,2.38,0.37,1.89
2024-05-10,002189,15.85,15.63,15.94,15.58,46338,72847794.0,2.27,-1.64,-0.26,1.77
2024-05-13,002189,15.48,15.08,15.49,15.02,49297,75044551.53,3.01,-3.52,-0.55,1.89
2024-05-14,002189,15.11,15.13,15.59,15.09,38115,58076409.83,3.32,0.33,0.05,1.46
2024-05-15,002189,15.15,14.99,15.35,14.93,34826,52753893.98,2.78,-0.93,-0.14,1.33
2024-05-16,002189,14.99,15.2,15.35,14.99,34357,52306910.8,2.4,1.4,0.21,1.32
2024-05-17,002189,15.24,15.6,15.6,15.12,47872,73752497.73,3.16,2.63,0.4,1.83
2024-05-20,002189,15.1,15.53,15.63,15.05,46674,72013716.0,3.72,-0.45,-0.07,1.79
2024-05-21,002189,15.53,15.54,15.83,15.38,68146,106309897.0,2.9,0.06,0.01,2.61
2024-05-22,002189,15.65,15.73,15.86,15.41,56316,87998164.22,2.9,1.22,0.19,2.16
2024-05-23,002189,15.7,15.43,15.7,15.33,48083,74419774.56,2.35,-1.91,-0.3,1.84
2024-05-24,002189,15.47,14.87,15.47,14.79,70386,105635625.8,4.41,-3.63,-0.56,2.7
2024-05-27,002189,14.65,14.82,14.82,14.25,58197,84355376.0,3.83,-0.34,-0.05,2.23
2024-05-28,002189,14.82,14.62,14.97,14.59,38066,56270064.0,2.56,-1.35,-0.2,1.46
2024-05-29,002189,14.6,14.58,14.82,14.49,34569,50563534.0,2.26,-0.27,-0.04,1.32
2024-05-30,002189,14.4,14.72,14.85,14.33,37978,55814580.0,3.57,0.96,0.14,1.45
2024-05-31,002189,14.76,15.15,15.25,14.76,45608,68889917.0,3.33,2.92,0.43,1.75
2024-06-03,002189,15.2,14.88,15.33,14.74,45523,68267574.8,3.89,-1.78,-0.27,1.74
2024-06-04,002189,14.71,14.56,15.25,14.4,52865,77148702.0,5.71,-2.15,-0.32,2.02
2024-06-05,002189,14.55,14.38,14.63,14.32,35563,51502384.0,2.13,-1.24,-0.18,1.36
2024-06-06,002189,14.38,13.78,14.58,13.64,61915,86480251.43,6.54,-4.17,-0.6,2.37
2024-06-07,002189,13.98,14.14,14.18,13.83,42965,60178169.0,2.54,2.61,0.36,1.65
2024-06-11,002189,14.07,14.34,14.44,13.82,36000,50803056.0,4.38,1.41,0.2,1.38
2024-06-12,002189,14.4,14.64,14.8,14.35,39476,57715170.0,3.14,2.09,0.3,1.51
2024-06-13,002189,14.6,14.45,14.75,14.41,29638,43203427.0,2.32,-1.3,-0.19,1.13
2024-06-14,002189,14.41,14.43,14.48,14.31,29439,42356242.0,1.18,-0.14,-0.02,1.13
2024-06-17,002189,14.31,14.43,14.68,14.26,37027,53748813.0,2.91,0.0,0.0,1.42
2024-06-18,002189,14.58,14.74,14.77,14.45,38280,56059179.96,2.22,2.15,0.31,1.47
2024-06-19,002189,14.7,14.72,14.88,14.6,24499,36058988.0,1.9,-0.14,-0.02,0.94
2024-06-20,002189,14.6,14.21,14.77,14.18,31446,45395211.28,4.01,-3.46,-0.51,1.2
2024-06-21,002189,14.19,14.08,14.21,13.82,28597,40152671.16,2.74,-0.91,-0.13,1.09
2024-06-24,002189,14.26,13.43,14.26,13.41,40650,55503207.0,6.04,-4.62,-0.65,1.56
2024-06-25,002189,13.42,13.33,13.61,13.15,32397,43396532.7,3.43,-0.74,-0.1,1.24
2024-06-26,002189,13.34,13.81,13.83,13.1,30441,41114707.0,5.48,3.6,0.48,1.17
2024-06-27,002189,13.8,13.63,13.95,13.6,26922,37222403.0,2.53,-1.3,-0.18,1.03
2024-06-28,002189,13.69,13.94,14.14,13.59,44909,62776459.98,4.04,2.27,0.31,1.72
2024-07-01,002189,13.87,13.9,14.0,13.6,34414,47413387.7,2.87,-0.29,-0.04,1.32
2024-07-02,002189,13.85,13.75,14.08,13.71,25259,35036764.0,2.66,-1.08,-0.15,0.97
2024-07-03,002189,13.73,13.52,13.82,13.38,31861,43171563.72,3.2,-1.67,-0.23,1.22
2024-07-04,002189,13.42,13.08,13.61,13.04,30340,40117519.89,4.22,-3.25,-0.44,1.16
2024-07-05,002189,13.1,13.11,13.16,12.85,23520,30581497.29,2.37,0.23,0.03,0.9
2024-07-08,002189,13.09,12.72,13.09,12.71,22230,28568160.0,2.9,-2.97,-0.39,0.85
2024-07-09,002189,13.33,13.78,13.86,12.93,85800,115495387.12,7.31,8.33,1.06,3.29
2024-07-10,002189,13.65,13.98,14.25,13.58,75645,106254056.0,4.86,1.45,0.2,2.9
2024-07-11,002189,14.2,14.39,14.53,14.07,62312,89115134.34,3.29,2.93,0.41,2.39
2024-07-12,002189,14.26,14.22,14.42,14.15,41863,59751768.0,1.88,-1.18,-0.17,1.6
2024-07-15,002189,14.2,14.14,14.33,14.12,28719,40800533.0,1.48,-0.56,-0.08,1.1
2024-07-16,002189,14.02,14.56,14.6,14.01,48783,70217221.48,4.17,2.97,0.42,1.87
2024-07-17,002189,14.54,14.42,14.92,14.42,64564,94744863.29,3.43,-0.96,-0.14,2.47
2024-07-18,002189,14.12,14.24,14.39,13.93,42227,59705604.8,3.19,-1.25,-0.18,1.62
2024-07-19,002189,14.15,14.68,15.05,14.1,85306,125461333.0,6.67,3.09,0.44,3.27
2024-07-22,002189,14.58,14.73,14.89,14.5,62171,91339076.94,2.66,0.34,0.05,2.38
2024-07-23,002189,14.73,14.25,14.9,14.21,46967,68260320.55,4.68,-3.26,-0.48,1.8
2024-07-24,002189,14.2,14.06,14.52,14.03,37253,53126358.18,3.44,-1.33,-0.19,1.43
2024-07-25,002189,13.92,13.93,14.12,13.7,35755,49725311.36,2.99,-0.92,-0.13,1.37
2024-07-26,002189,14.01,14.46,14.66,14.01,49246,70961443.0,4.67,3.8,0.53,1.89
2024-07-29,002189,14.46,14.58,14.73,14.4,43430,63327275.0,2.28,0.83,0.12,1.66
2024-07-30,002189,14.58,14.7,14.73,14.44,38139,55784125.04,1.99,0.82,0.12,1.46
2024-07-31,002189,14.69,15.03,15.03,14.62,57114,85185716.88,2.79,2.24,0.33,2.19
2024-08-01,002189,15.05,15.04,15.36,15.0,54892,83229255.1,2.4,0.07,0.01,2.1
2024-08-02,002189,14.9,14.86,15.31,14.82,48756,73390915.0,3.26,-1.2,-0.18,1.87
2024-08-05,002189,14.66,14.17,14.9,14.15,52734,76400232.0,5.05,-4.64,-0.69,2.02
2024-08-06,002189,14.36,14.43,14.5,14.18,39509,56735056.48,2.26,1.83,0.26,1.51
2024-08-07,002189,14.43,14.59,14.77,14.38,36519,53285559.0,2.7,1.11,0.16,1.4
2024-08-08,002189,14.48,14.28,14.55,14.18,32580,46632022.0,2.54,-2.12,-0.31,1.25
2024-08-09,002189,14.28,14.3,14.54,14.16,27633,39515845.0,2.66,0.14,0.02,1.06
2024-08-12,002189,14.3,14.08,14.31,14.0,28781,40605194.0,2.17,-1.54,-0.22,1.1
2024-08-13,002189,14.1,14.4,14.52,14.0,38582,55204315.44,3.69,2.27,0.32,1.48
2024-08-14,002189,14.4,14.71,14.85,14.3,49953,72929084.8,3.82,2.15,0.31,1.91
2024-08-15,002189,14.81,15.6,16.0,14.71,213662,330751609.19,8.77,6.05,0.89,8.18
2024-08-16,002189,15.21,16.33,16.56,15.21,277088,442387553.66,8.65,4.68,0.73,10.61
2024-08-19,002189,15.88,15.7,16.08,15.03,229872,354136638.83,6.43,-3.86,-0.63,8.8
2024-08-20,002189,15.41,15.45,16.0,15.15,158872,246202277.81,5.41,-1.59,-0.25,6.08
2024-08-21,002189,15.14,15.25,15.49,15.08,110787,169582622.39,2.65,-1.29,-0.2,4.24
2024-08-22,002189,15.16,15.5,15.54,15.03,124546,191663365.85,3.34,1.64,0.25,4.77
