Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,600429,4.06,4.01,4.06,3.99,84589,34420171.0,1.72,-1.23,-0.05,0.56
2024-03-08,600429,4.01,4.0,4.03,3.97,39965,16166544.0,1.5,-0.25,-0.01,0.27
2024-03-11,600429,3.98,4.04,4.06,3.97,44267,18038690.0,2.25,1.0,0.04,0.3
2024-03-12,600429,4.05,4.08,4.09,4.02,55518,22830166.0,1.73,0.99,0.04,0.37
2024-03-13,600429,4.08,4.05,4.08,4.02,62658,25688830.0,1.47,-0.74,-0.03,0.42
2024-03-14,600429,4.05,4.03,4.08,3.97,62260,25414806.0,2.72,-0.49,-0.02,0.42
2024-03-15,600429,4.01,4.07,4.08,4.0,48533,19857372.0,1.99,0.99,0.04,0.32
2024-03-18,600429,4.06,4.11,4.11,4.06,52452,21705229.0,1.23,0.98,0.04,0.35
2024-03-19,600429,4.11,4.11,4.17,4.1,55729,23292029.0,1.7,0.0,0.0,0.37
2024-03-20,600429,4.11,4.18,4.24,4.09,92266,38922644.0,3.65,1.7,0.07,0.62
2024-03-21,600429,4.18,4.21,4.21,4.14,41521,17580159.0,1.67,0.72,0.03,0.28
2024-03-22,600429,4.19,4.12,4.22,4.11,41454,17401290.0,2.61,-2.14,-0.09,0.28
2024-03-25,600429,4.12,4.09,4.16,4.06,66977,27785734.0,2.43,-0.73,-0.03,0.45
2024-03-26,600429,4.08,4.1,4.11,4.03,47573,19630056.0,1.96,0.24,0.01,0.32
2024-03-27,600429,4.09,4.07,4.15,4.06,48653,20251499.0,2.2,-0.73,-0.03,0.32
2024-03-28,600429,4.07,4.07,4.1,4.03,47499,19564657.0,1.72,0.0,0.0,0.32
2024-03-29,600429,4.07,4.1,4.1,4.06,33574,13871009.0,0.98,0.74,0.03,0.22
2024-04-01,600429,4.11,4.16,4.16,4.11,47768,20023496.0,1.22,1.46,0.06,0.32
2024-04-02,600429,4.16,4.21,4.22,4.14,59891,25420142.0,1.92,1.2,0.05,0.4
2024-04-03,600429,4.21,4.25,4.25,4.19,49935,21359682.0,1.43,0.95,0.04,0.33
2024-04-08,600429,4.25,4.25,4.28,4.2,75446,32435845.0,1.88,0.0,0.0,0.5
2024-04-09,600429,4.24,4.25,4.28,4.17,57043,24407081.0,2.59,0.0,0.0,0.38
2024-04-10,600429,4.25,4.19,4.26,4.16,44349,18904503.0,2.35,-1.41,-0.06,0.3
2024-04-11,600429,4.17,4.19,4.23,4.16,31986,13599710.0,1.67,0.0,0.0,0.21
2024-04-12,600429,4.17,4.14,4.21,4.13,45605,19240088.0,1.91,-1.19,-0.05,0.3
2024-04-15,600429,4.13,4.09,4.19,4.01,63832,26498137.0,4.35,-1.21,-0.05,0.43
2024-04-16,600429,4.05,3.88,4.09,3.87,94652,37946015.0,5.38,-5.13,-0.21,0.63
2024-04-17,600429,3.9,4.05,4.06,3.89,65547,26528049.0,4.38,4.38,0.17,0.44
2024-04-18,600429,4.05,4.05,4.12,4.03,41298,17054041.0,2.22,0.0,0.0,0.28
2024-04-19,600429,4.05,4.06,4.07,4.01,35994,14736358.0,1.48,0.25,0.01,0.24
2024-04-22,600429,4.07,4.08,4.15,4.03,75227,31179819.0,2.96,0.49,0.02,0.5
2024-04-23,600429,4.09,4.04,4.1,4.03,40348,16580828.0,1.72,-0.98,-0.04,0.27
2024-04-24,600429,4.06,4.06,4.07,3.99,34038,13897303.0,1.98,0.5,0.02,0.23
2024-04-25,600429,4.06,4.06,4.09,4.04,35151,14454944.0,1.23,0.0,0.0,0.23
