Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,872190,22.81,22.3,24.6,21.91,78786,185181592.18,11.69,-3.09,-0.71,14.99
2024-03-08,872190,22.9,22.91,23.35,21.78,61415,140149055.73,7.04,2.74,0.61,11.69
2024-03-11,872190,21.9,22.01,22.38,21.4,64910,142008808.1,4.28,-3.93,-0.9,12.35
2024-03-12,872190,21.9,20.64,22.26,20.43,72249,153304570.81,8.31,-6.22,-1.37,13.75
2024-03-13,872190,20.8,20.3,21.56,20.3,51411,107805245.19,6.1,-1.65,-0.34,9.78
2024-03-14,872190,20.1,19.5,20.57,19.2,41797,83113033.94,6.75,-3.94,-0.8,7.96
2024-03-15,872190,19.45,20.58,20.92,19.4,57417,117780467.1,7.79,5.54,1.08,10.93
2024-03-18,872190,20.4,21.34,21.65,19.97,57512,120762593.11,8.16,3.69,0.76,10.95
2024-03-19,872190,21.1,20.85,21.68,20.7,47339,100493845.33,4.59,-2.3,-0.49,9.01
2024-03-20,872190,20.82,21.69,22.23,20.72,61554,133737942.0,7.24,4.03,0.84,11.72
2024-03-21,872190,21.9,21.93,22.79,21.5,63609,140917389.91,5.95,1.11,0.24,12.11
2024-03-22,872190,21.4,20.45,21.79,20.42,59960,126731552.73,6.25,-6.75,-1.48,11.41
2024-03-25,872190,19.9,18.68,20.29,18.51,58889,114187420.93,8.7,-8.66,-1.77,11.21
2024-03-26,872190,18.64,18.12,19.2,17.6,49090,89764524.66,8.57,-3.0,-0.56,9.34
2024-03-27,872190,18.28,17.76,18.86,17.76,39787,73190320.59,6.07,-1.99,-0.36,7.57
2024-03-28,872190,17.55,17.8,18.55,17.51,35658,64332940.04,5.86,0.23,0.04,6.79
2024-03-29,872190,17.83,17.94,18.15,17.3,29957,53359608.09,4.78,0.79,0.14,5.7
2024-04-01,872190,17.78,17.46,18.07,17.37,34954,62007544.53,3.9,-2.68,-0.48,6.65
2024-04-02,872190,17.54,16.37,17.56,16.3,36360,61499813.37,7.22,-6.24,-1.09,6.92
2024-04-03,872190,16.47,16.3,16.85,16.11,23880,39708666.65,4.52,-0.43,-0.07,4.55
2024-04-08,872190,16.5,15.37,16.69,15.16,30304,48019300.22,9.39,-5.71,-0.93,5.77
2024-04-09,872190,15.5,15.69,15.69,15.16,17097,26636204.29,3.45,2.08,0.32,3.25
2024-04-10,872190,15.59,16.58,16.9,15.51,46477,77053156.18,8.86,5.67,0.89,8.85
2024-04-11,872190,16.69,15.95,16.69,15.8,25087,41053456.84,5.37,-3.8,-0.63,4.77
2024-04-12,872190,15.55,15.38,16.09,15.3,23142,36549495.09,4.95,-3.57,-0.57,4.4
2024-04-15,872190,15.51,14.63,15.66,14.21,25219,37886218.68,9.43,-4.88,-0.75,4.8
2024-04-16,872190,14.63,13.45,14.63,13.1,26727,36755382.02,10.46,-8.07,-1.18,5.09
2024-04-17,872190,13.88,14.62,14.69,13.88,27079,39099610.95,6.02,8.7,1.17,5.15
2024-04-18,872190,14.3,14.59,15.25,14.24,28844,43018991.83,6.91,-0.21,-0.03,5.49
2024-04-19,872190,14.65,14.15,14.89,14.11,18146,26439338.69,5.35,-3.02,-0.44,3.45
2024-04-22,872190,14.03,14.5,14.5,13.57,14164,20064417.78,6.57,2.47,0.35,2.7
2024-04-23,872190,14.57,14.94,15.29,14.41,23851,35719254.39,6.07,3.03,0.44,4.54
2024-04-24,872190,15.09,14.93,15.36,14.78,18270,27495408.77,3.88,-0.07,-0.01,3.48
2024-04-25,872190,14.8,14.44,14.91,14.4,16033,23619944.73,3.42,-3.28,-0.49,3.05
2024-04-26,872190,14.57,14.69,14.8,14.31,18371,27087236.56,3.39,1.73,0.25,3.5
2024-04-29,872190,14.85,14.96,15.17,14.5,20818,31182696.57,4.56,1.84,0.27,3.96
2024-04-30,872190,14.8,14.98,15.53,14.78,20734,31590801.76,5.01,0.13,0.02,3.95
2024-05-06,872190,14.6,14.84,15.27,14.6,18680,27892793.52,4.47,-0.93,-0.14,3.56
2024-05-07,872190,14.68,14.36,14.83,14.32,21253,30989501.44,3.44,-3.23,-0.48,4.04
2024-05-08,872190,14.47,14.49,14.69,14.22,13946,20362154.39,3.27,0.91,0.13,2.65
2024-05-09,872190,14.35,14.44,14.55,14.3,12377,17999492.33,1.73,-0.35,-0.05,2.36
2024-05-10,872190,14.51,14.09,14.51,13.8,15105,21334855.81,4.92,-2.42,-0.35,2.87
2024-05-13,872190,13.98,13.56,14.04,13.53,12914,17776647.19,3.62,-3.76,-0.53,2.46
2024-05-14,872190,13.77,14.03,14.39,13.65,19525,27746921.4,5.46,3.47,0.47,3.72
2024-05-15,872190,14.14,13.85,14.39,13.8,13945,19816014.1,4.21,-1.28,-0.18,2.65
2024-05-16,872190,14.03,14.04,14.4,13.65,18257,25913787.02,5.42,1.37,0.19,3.47
2024-05-17,872190,14.0,13.73,14.0,13.61,15472,21445416.13,2.78,-2.21,-0.31,2.94
2024-05-20,872190,13.66,13.47,13.78,13.39,11904,16253571.28,2.84,-1.89,-0.26,2.27
2024-05-21,872190,13.71,14.96,15.4,13.71,73639,109430247.23,12.55,11.06,1.49,14.02
2024-05-22,872190,14.96,16.42,17.28,14.51,97173,157167771.55,18.52,9.76,1.46,18.49
2024-05-23,872190,16.0,16.62,18.95,15.95,114636,199017334.5,18.27,1.22,0.2,21.82
2024-05-24,872190,16.16,15.05,16.46,15.05,69214,109013536.25,8.48,-9.45,-1.57,13.17
2024-05-27,872190,15.11,15.25,15.88,15.0,43051,66514985.3,5.85,1.33,0.2,8.19
2024-05-28,872190,15.12,15.77,16.0,14.61,46484,71144369.51,9.11,3.41,0.52,8.85
2024-05-29,872190,15.45,16.48,17.01,15.3,72450,119042709.27,10.84,4.5,0.71,13.79
2024-05-30,872190,16.29,16.66,18.18,16.25,84567,146169656.71,11.71,1.09,0.18,16.1
2024-05-31,872190,17.0,18.53,19.99,17.0,127350,237552299.91,17.95,11.22,1.87,24.24
2024-06-03,872190,17.82,17.99,18.18,17.09,85355,150855791.5,5.88,-2.91,-0.54,16.25
2024-06-04,872190,17.5,16.61,17.63,16.36,69684,117267520.37,7.06,-7.67,-1.38,13.26
2024-06-05,872190,16.39,16.28,17.08,16.0,43464,72211417.11,6.5,-1.99,-0.33,8.27
2024-06-06,872190,16.28,15.26,16.49,15.2,46120,72951589.56,7.92,-6.27,-1.02,8.78
2024-06-07,872190,15.33,14.7,15.77,14.7,40053,60718515.87,7.01,-3.67,-0.56,7.62
