Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002390,3.77,3.72,3.79,3.72,162215,62253481.0,1.86,-1.06,-0.04,0.89
2024-03-08,002390,3.73,3.72,3.76,3.68,113938,43385246.97,2.15,0.0,0.0,0.62
2024-03-11,002390,3.72,3.77,3.77,3.71,155830,59730306.6,1.61,1.34,0.05,0.85
2024-03-12,002390,3.8,3.89,3.91,3.8,295264,116843776.2,2.92,3.18,0.12,1.62
2024-03-13,002390,3.89,3.84,3.9,3.81,172320,67764273.4,2.31,-1.29,-0.05,0.94
2024-03-14,002390,3.86,3.86,3.93,3.82,183354,72722416.8,2.86,0.52,0.02,1.0
2024-03-15,002390,3.82,3.9,3.9,3.82,150380,59424960.24,2.07,1.04,0.04,0.82
2024-03-18,002390,3.9,3.93,3.93,3.86,191099,76283401.68,1.79,0.77,0.03,1.05
2024-03-19,002390,3.92,3.89,3.94,3.88,145989,58398087.35,1.53,-1.02,-0.04,0.8
2024-03-20,002390,3.88,3.9,3.92,3.86,125796,50104021.0,1.54,0.26,0.01,0.69
2024-03-21,002390,3.91,3.87,3.92,3.85,135576,53822884.36,1.79,-0.77,-0.03,0.74
2024-03-22,002390,3.86,3.79,3.87,3.76,190608,74112641.41,2.84,-2.07,-0.08,1.04
2024-03-25,002390,3.79,3.71,3.81,3.71,156353,60298944.57,2.64,-2.11,-0.08,0.86
2024-03-26,002390,3.7,3.71,3.74,3.66,157977,59884304.0,2.16,0.0,0.0,0.86
2024-03-27,002390,3.71,3.66,3.75,3.66,150671,57285837.59,2.43,-1.35,-0.05,0.82
2024-03-28,002390,3.66,3.71,3.74,3.64,141573,53725702.4,2.73,1.37,0.05,0.77
2024-03-29,002390,3.7,3.72,3.73,3.68,120540,45701268.5,1.35,0.27,0.01,0.66
2024-04-01,002390,3.72,3.78,3.78,3.71,156149,60017243.56,1.88,1.61,0.06,0.85
2024-04-02,002390,3.8,3.79,3.81,3.75,149063,57692918.54,1.59,0.26,0.01,0.82
2024-04-03,002390,3.78,3.81,3.83,3.77,136360,53067484.9,1.58,0.53,0.02,0.75
2024-04-08,002390,3.81,3.71,3.82,3.71,153754,59213636.0,2.89,-2.62,-0.1,0.84
