Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002670,9.76,9.62,9.85,9.59,283106,274978377.5,2.66,-1.64,-0.16,1.74
2024-03-08,002670,9.58,9.6,9.66,9.5,179006,171604284.4,1.66,-0.21,-0.02,1.1
2024-03-11,002670,9.55,9.81,9.81,9.55,262172,254179577.05,2.71,2.19,0.21,1.62
2024-03-12,002670,9.86,10.2,10.46,9.83,704488,714834516.84,6.42,3.98,0.39,4.34
2024-03-13,002670,10.1,10.21,10.35,10.01,495783,503648636.69,3.33,0.1,0.01,3.05
2024-03-14,002670,10.15,10.24,10.38,10.07,449085,459135692.24,3.04,0.29,0.03,2.77
2024-03-15,002670,10.17,10.59,10.63,10.12,772722,804486903.44,4.98,3.42,0.35,4.76
2024-03-18,002670,10.68,10.7,10.88,10.41,866011,919197172.08,4.44,1.04,0.11,5.33
2024-03-19,002670,10.55,10.32,10.59,10.31,523989,546400852.56,2.62,-3.55,-0.38,3.23
2024-03-20,002670,10.34,10.35,10.53,10.32,388272,403892978.22,2.03,0.29,0.03,2.39
2024-03-21,002670,10.39,10.43,10.68,10.38,489340,513840590.5,2.9,0.77,0.08,3.01
2024-03-22,002670,10.4,10.23,10.6,10.2,452840,470032824.42,3.84,-1.92,-0.2,2.79
2024-03-25,002670,10.07,9.77,10.18,9.76,394372,392017588.84,4.11,-4.5,-0.46,2.43
2024-03-26,002670,9.77,9.79,9.85,9.61,305487,296791888.86,2.46,0.2,0.02,1.88
2024-03-27,002670,9.7,9.24,9.74,9.2,346046,325570386.95,5.52,-5.62,-0.55,2.13
2024-03-28,002670,9.27,9.28,9.41,9.24,295966,275486725.13,1.84,0.43,0.04,1.82
2024-03-29,002670,9.28,9.36,9.38,9.08,326755,301831264.29,3.23,0.86,0.08,2.01
2024-04-01,002670,9.46,9.47,9.55,9.35,262810,247629402.07,2.14,1.18,0.11,1.62
2024-04-02,002670,9.46,9.31,9.46,9.26,222860,208131110.36,2.11,-1.69,-0.16,1.37
2024-04-03,002670,9.29,9.18,9.32,9.17,184849,170371675.52,1.61,-1.4,-0.13,1.14
2024-04-08,002670,9.09,9.04,9.21,9.0,191133,173975498.16,2.29,-1.53,-0.14,1.18
2024-04-09,002670,9.06,9.08,9.1,9.02,140955,127679355.33,0.88,0.44,0.04,0.87
2024-04-10,002670,9.08,8.87,9.1,8.82,205408,183573087.84,3.08,-2.31,-0.21,1.27
2024-04-11,002670,8.8,8.87,8.97,8.78,136447,121511441.96,2.14,0.0,0.0,0.84
2024-04-12,002670,8.86,8.72,8.91,8.69,155193,136356768.78,2.48,-1.69,-0.15,0.96
2024-04-15,002670,8.66,8.89,9.04,8.54,267856,236678317.02,5.73,1.95,0.17,1.65
2024-04-16,002670,8.79,8.48,8.85,8.46,235201,204198159.37,4.39,-4.61,-0.41,1.45
2024-04-17,002670,8.48,8.74,8.74,8.48,182388,158025657.1,3.07,3.07,0.26,1.12
2024-04-18,002670,8.75,9.4,9.61,8.72,960944,903420347.74,10.18,7.55,0.66,5.92
2024-04-19,002670,9.14,9.12,9.35,9.06,654640,601213664.83,3.09,-2.98,-0.28,4.03
2024-04-22,002670,9.0,9.11,9.2,8.99,296314,269610940.49,2.3,-0.11,-0.01,1.83
2024-04-23,002670,9.11,8.96,9.17,8.92,260008,234804711.0,2.74,-1.65,-0.15,1.6
2024-04-24,002670,8.99,8.86,9.04,8.71,326170,289933339.29,3.68,-1.12,-0.1,2.01
2024-04-25,002670,8.75,8.96,9.06,8.73,248973,222364453.49,3.72,1.13,0.1,1.53
2024-04-26,002670,9.86,9.86,9.86,9.66,756377,745095137.76,2.23,10.04,0.9,4.66
