Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,600371,8.52,8.41,8.62,8.4,33368,29031531.0,2.59,-1.06,-0.09,1.14
2024-03-08,600371,8.44,8.43,8.48,8.31,22394,19232565.0,2.02,0.24,0.02,0.77
2024-03-11,600371,8.45,8.54,8.54,8.4,24141,20943181.0,1.66,1.3,0.11,0.83
2024-03-12,600371,8.57,8.72,8.73,8.51,50877,45012407.0,2.58,2.11,0.18,1.74
2024-03-13,600371,8.89,8.6,8.89,8.58,53276,47409131.0,3.56,-1.38,-0.12,1.82
2024-03-14,600371,8.58,8.5,8.63,8.42,30587,26746729.0,2.44,-1.16,-0.1,1.05
2024-03-15,600371,8.51,8.61,8.61,8.49,28333,24846158.0,1.41,1.29,0.11,0.97
2024-03-18,600371,8.6,8.67,8.67,8.58,30403,26816272.0,1.05,0.7,0.06,1.04
2024-03-19,600371,8.66,8.68,8.78,8.64,46035,41035262.0,1.61,0.12,0.01,1.57
2024-03-20,600371,8.75,8.71,8.8,8.63,32244,28680282.0,1.96,0.35,0.03,1.1
2024-03-21,600371,8.7,8.81,8.84,8.68,58157,52188293.0,1.84,1.15,0.1,1.99
2024-03-22,600371,8.78,8.47,8.81,8.4,61224,53503778.0,4.65,-3.86,-0.34,2.09
2024-03-25,600371,8.42,8.17,8.46,8.17,35911,30543263.0,3.42,-3.54,-0.3,1.23
2024-03-26,600371,8.15,8.26,8.31,8.15,27069,22814644.0,1.96,1.1,0.09,0.93
2024-03-27,600371,8.28,8.08,8.35,8.08,27591,23264409.0,3.27,-2.18,-0.18,0.94
2024-03-28,600371,8.18,8.22,8.27,8.03,20093,16837519.0,2.97,1.73,0.14,0.69
2024-03-29,600371,8.25,8.31,8.35,8.2,28256,23970699.0,1.82,1.09,0.09,0.97
2024-04-01,600371,8.35,8.42,8.42,8.32,28138,24131918.0,1.2,1.32,0.11,0.96
2024-04-02,600371,8.41,8.46,8.49,8.35,27784,23983421.0,1.66,0.48,0.04,0.95
2024-04-03,600371,8.46,8.53,8.53,8.4,28883,25068075.0,1.54,0.83,0.07,0.99
2024-04-08,600371,8.51,8.32,8.53,8.31,28203,24326266.0,2.58,-2.46,-0.21,0.96
2024-04-09,600371,8.31,8.43,8.44,8.2,25589,21863275.0,2.88,1.32,0.11,0.87
2024-04-10,600371,8.43,8.21,8.5,8.17,29953,25511177.0,3.91,-2.61,-0.22,1.02
2024-04-11,600371,8.19,8.6,8.77,8.12,68550,59511022.0,7.92,4.75,0.39,2.34
2024-04-12,600371,8.5,8.21,8.51,8.19,65096,55390858.0,3.72,-4.53,-0.39,2.22
2024-04-15,600371,8.15,7.74,8.25,7.66,57327,46196566.0,7.19,-5.72,-0.47,1.96
2024-04-16,600371,7.79,7.08,7.79,7.05,52951,39729821.0,9.56,-8.53,-0.66,1.81
2024-04-17,600371,7.3,7.47,7.56,7.2,47861,36561862.0,5.08,5.51,0.39,1.64
2024-04-18,600371,7.59,7.4,7.59,7.35,36648,28062371.0,3.21,-0.94,-0.07,1.25
2024-04-19,600371,7.32,7.53,7.7,7.23,57168,44015549.0,6.35,1.76,0.13,1.95
2024-04-22,600371,7.4,7.51,7.56,7.3,39959,30607809.0,3.45,-0.27,-0.02,1.37
2024-04-23,600371,7.52,7.55,7.64,7.46,34964,27156730.0,2.4,0.53,0.04,1.2
2024-04-24,600371,7.53,7.56,7.59,7.46,27771,21452888.0,1.72,0.13,0.01,0.95
2024-04-25,600371,7.56,7.57,7.64,7.51,25724,20010201.0,1.72,0.13,0.01,0.88
2024-04-26,600371,7.6,7.6,7.61,7.47,34936,27103926.0,1.85,0.4,0.03,1.19
2024-04-29,600371,7.65,7.9,7.9,7.63,52467,42135079.0,3.55,3.95,0.3,1.79
2024-04-30,600371,7.9,7.91,8.0,7.85,33037,26805450.0,1.9,0.13,0.01,1.13
2024-05-06,600371,7.98,8.1,8.11,7.97,33887,27974636.0,1.77,2.4,0.19,1.16
2024-05-07,600371,8.1,8.09,8.19,8.05,34288,28452908.0,1.73,-0.12,-0.01,1.17
2024-05-08,600371,8.08,8.11,8.16,8.04,34428,28588417.0,1.48,0.25,0.02,1.18
2024-05-09,600371,8.12,8.42,8.49,8.12,71202,60610149.0,4.56,3.82,0.31,2.43
2024-05-10,600371,8.44,8.28,8.69,8.26,83090,71712866.0,5.11,-1.66,-0.14,2.84
2024-05-13,600371,8.31,8.09,8.38,8.03,46854,39033451.0,4.23,-2.29,-0.19,1.6
2024-05-14,600371,8.06,8.25,8.31,8.06,45428,38313824.0,3.09,1.98,0.16,1.55
2024-05-15,600371,8.2,8.22,8.31,8.17,32615,27551682.0,1.7,-0.36,-0.03,1.11
2024-05-16,600371,8.21,8.28,8.33,8.2,27290,23155908.0,1.58,0.73,0.06,0.93
2024-05-17,600371,8.28,8.31,8.38,8.17,32851,27811050.0,2.54,0.36,0.03,1.12
2024-05-20,600371,8.25,8.37,8.45,8.24,37278,31914591.0,2.53,0.72,0.06,1.27
2024-05-21,600371,8.31,8.26,8.36,8.22,28089,23786607.0,1.67,-1.31,-0.11,0.96
2024-05-22,600371,8.32,8.21,8.32,8.17,20272,17069748.0,1.82,-0.61,-0.05,0.69
2024-05-23,600371,8.23,8.07,8.25,8.03,24930,20717056.0,2.68,-1.71,-0.14,0.85
2024-05-24,600371,8.18,8.17,8.38,8.16,45253,38273070.0,2.73,1.24,0.1,1.55
2024-05-27,600371,8.09,8.07,8.17,7.96,32898,27058004.0,2.57,-1.22,-0.1,1.12
2024-05-28,600371,8.03,7.96,8.06,7.96,21215,17402059.0,1.24,-1.36,-0.11,0.73
2024-05-29,600371,7.97,8.01,8.04,7.91,20245,16597938.0,1.63,0.63,0.05,0.69
2024-05-30,600371,8.01,7.96,8.07,7.93,19429,15885277.0,1.75,-0.62,-0.05,0.66
2024-05-31,600371,7.93,7.95,8.01,7.91,16993,13843363.0,1.26,-0.13,-0.01,0.58
2024-06-03,600371,7.99,7.76,7.99,7.7,31986,25689673.0,3.65,-2.39,-0.19,1.09
2024-06-04,600371,7.76,7.6,7.76,7.48,36568,28469371.0,3.61,-2.06,-0.16,1.25
2024-06-05,600371,7.6,7.4,7.6,7.4,23937,18384128.0,2.63,-2.63,-0.2,0.82
2024-06-06,600371,7.37,7.06,7.47,7.0,44684,32870183.0,6.35,-4.59,-0.34,1.53
2024-06-07,600371,7.09,7.36,7.4,7.09,35948,26198860.0,4.39,4.25,0.3,1.23
2024-06-11,600371,7.36,7.3,7.36,7.2,24556,17861494.0,2.17,-0.82,-0.06,0.84
2024-06-12,600371,7.38,7.48,7.52,7.36,26343,19642957.0,2.19,2.47,0.18,0.9
2024-06-13,600371,7.47,7.32,7.48,7.29,23836,17499734.0,2.54,-2.14,-0.16,0.81
2024-06-14,600371,7.41,7.4,7.48,7.31,23673,17524459.0,2.32,1.09,0.08,0.81
2024-06-17,600371,7.34,7.25,7.38,7.22,23594,17172020.0,2.16,-2.03,-0.15,0.81
2024-06-18,600371,7.32,7.27,7.34,7.24,16735,12196502.0,1.38,0.28,0.02,0.57
2024-06-19,600371,7.32,7.26,7.34,7.23,16996,12377200.0,1.51,-0.14,-0.01,0.58
2024-06-20,600371,7.28,7.12,7.29,7.11,20702,14837447.0,2.48,-1.93,-0.14,0.71
2024-06-21,600371,7.06,7.11,7.17,6.95,20543,14531182.0,3.09,-0.14,-0.01,0.7
2024-06-24,600371,7.07,6.83,7.07,6.78,30792,21182847.0,4.08,-3.94,-0.28,1.05
2024-06-25,600371,6.84,6.87,6.95,6.82,18312,12615716.0,1.9,0.59,0.04,0.63
2024-06-26,600371,6.93,7.02,7.04,6.81,18442,12797821.0,3.35,2.18,0.15,0.63
2024-06-27,600371,7.02,6.91,7.06,6.91,14135,9849112.0,2.14,-1.57,-0.11,0.48
2024-06-28,600371,6.86,6.92,7.04,6.86,20034,13967304.0,2.6,0.14,0.01,0.68
2024-07-01,600371,6.9,7.15,7.16,6.9,29942,21115730.0,3.76,3.32,0.23,1.02
2024-07-02,600371,7.12,7.27,7.33,7.08,31088,22535379.0,3.5,1.68,0.12,1.06
2024-07-03,600371,7.27,7.24,7.43,7.21,30007,21942265.0,3.03,-0.41,-0.03,1.03
2024-07-04,600371,7.24,6.98,7.29,6.95,27089,19175098.0,4.7,-3.59,-0.26,0.93
2024-07-05,600371,7.0,7.03,7.04,6.9,15245,10647312.0,2.01,0.72,0.05,0.52
2024-07-08,600371,7.02,6.85,7.03,6.83,17667,12169520.0,2.84,-2.56,-0.18,0.6
2024-07-09,600371,6.85,6.79,6.88,6.59,30752,20731987.0,4.23,-0.88,-0.06,1.05
2024-07-10,600371,6.73,6.73,6.8,6.62,23004,15476891.0,2.65,-0.88,-0.06,0.79
2024-07-11,600371,6.83,6.97,6.98,6.8,28166,19445281.0,2.67,3.57,0.24,0.96
2024-07-12,600371,6.99,6.98,7.05,6.92,18145,12688948.0,1.87,0.14,0.01,0.62
2024-07-15,600371,6.98,6.87,7.07,6.84,16237,11181857.0,3.3,-1.58,-0.11,0.55
2024-07-16,600371,6.94,6.83,6.94,6.78,16563,11311747.0,2.33,-0.58,-0.04,0.57
2024-07-17,600371,6.81,6.91,6.96,6.78,20986,14438040.0,2.64,1.17,0.08,0.72
2024-07-18,600371,6.91,7.09,7.09,6.76,33785,23440205.0,4.78,2.6,0.18,1.15
2024-07-19,600371,7.02,6.95,7.02,6.83,44069,30441220.0,2.68,-1.97,-0.14,1.51
2024-07-22,600371,6.93,6.89,6.96,6.83,25636,17645273.0,1.87,-0.86,-0.06,0.88
2024-07-23,600371,6.92,6.81,6.98,6.8,22814,15753959.0,2.61,-1.16,-0.08,0.78
2024-07-24,600371,6.77,6.69,6.83,6.65,22979,15451295.0,2.64,-1.76,-0.12,0.79
2024-07-25,600371,6.62,6.74,6.81,6.6,19863,13354153.0,3.14,0.75,0.05,0.68
2024-07-26,600371,6.79,6.82,6.88,6.75,16176,11042540.0,1.93,1.19,0.08,0.55
2024-07-29,600371,6.82,6.76,6.85,6.75,13597,9236554.0,1.47,-0.88,-0.06,0.46
2024-07-30,600371,6.82,7.06,7.25,6.72,72870,51328165.0,7.84,4.44,0.3,2.49
2024-07-31,600371,7.0,7.13,7.15,6.94,56967,40330446.0,2.97,0.99,0.07,1.95
2024-08-01,600371,7.13,7.09,7.17,7.08,31223,22228195.0,1.26,-0.56,-0.04,1.07
2024-08-02,600371,7.03,7.1,7.17,7.03,29131,20726618.0,1.97,0.14,0.01,1.0
2024-08-05,600371,7.09,7.03,7.2,7.0,33064,23492131.0,2.82,-0.99,-0.07,1.13
2024-08-06,600371,7.21,7.19,7.3,7.1,48103,34653862.0,2.84,2.28,0.16,1.64
2024-08-07,600371,7.2,7.13,7.2,7.09,25686,18331974.0,1.53,-0.83,-0.06,0.88
2024-08-08,600371,7.19,7.42,7.48,7.11,72364,52913307.0,5.19,4.07,0.29,2.47
2024-08-09,600371,7.3,7.18,7.35,7.18,60257,43582739.0,2.29,-3.23,-0.24,2.06
2024-08-12,600371,7.12,7.15,7.2,7.09,27867,19924289.0,1.53,-0.42,-0.03,0.95
2024-08-13,600371,7.15,7.13,7.19,7.06,17477,12442003.0,1.82,-0.28,-0.02,0.6
2024-08-14,600371,7.13,7.08,7.14,7.06,20345,14431875.0,1.12,-0.7,-0.05,0.7
2024-08-15,600371,7.05,7.12,7.15,7.05,16414,11661214.0,1.41,0.56,0.04,0.56
2024-08-16,600371,7.09,7.03,7.14,7.01,21489,15169067.0,1.83,-1.26,-0.09,0.73
