Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002813,29.86,30.29,32.11,29.62,26598,81449993.44,8.28,0.66,0.2,2.25
2024-03-08,002813,30.0,29.95,30.28,29.29,18906,56172918.76,3.27,-1.12,-0.34,1.6
2024-03-11,002813,29.75,30.02,30.11,29.29,15824,46943166.4,2.74,0.23,0.07,1.34
2024-03-12,002813,30.2,30.52,30.77,29.72,16027,48820093.88,3.5,1.67,0.5,1.36
2024-03-13,002813,30.39,30.46,30.9,30.3,11458,35001159.0,1.97,-0.2,-0.06,0.97
2024-03-14,002813,30.34,29.88,30.7,29.4,14960,44905472.32,4.27,-1.9,-0.58,1.27
2024-03-15,002813,29.6,30.18,31.58,29.28,20556,61894017.2,7.7,1.0,0.3,1.74
2024-03-18,002813,30.01,30.5,31.2,30.01,15834,48151511.0,3.94,1.06,0.32,1.34
2024-03-19,002813,30.6,31.49,32.0,30.6,36109,113795274.0,4.59,3.25,0.99,3.06
2024-03-20,002813,31.0,31.33,31.56,30.86,21887,68131767.0,2.22,-0.51,-0.16,1.85
2024-03-21,002813,31.3,31.8,32.5,30.9,28244,89403248.2,5.11,1.5,0.47,2.39
2024-03-22,002813,31.68,31.98,32.44,30.69,28074,88023117.6,5.5,0.57,0.18,2.38
2024-03-25,002813,31.98,29.8,31.98,29.75,22467,69199340.14,6.97,-6.82,-2.18,1.9
2024-03-26,002813,29.36,29.92,30.38,29.0,16160,48292293.2,4.63,0.4,0.12,1.37
2024-03-27,002813,29.65,29.66,30.72,29.31,20518,61534344.76,4.71,-0.87,-0.26,1.74
2024-03-28,002813,29.16,30.01,30.36,29.16,16259,48655806.0,4.05,1.18,0.35,1.38
2024-03-29,002813,30.16,29.81,30.45,29.65,11708,35011502.0,2.67,-0.67,-0.2,0.99
2024-04-01,002813,29.5,31.07,31.96,29.39,27268,84494427.82,8.62,4.23,1.26,2.31
2024-04-02,002813,30.84,30.02,30.9,29.95,17274,52327122.49,3.06,-3.38,-1.05,1.46
2024-04-03,002813,29.87,28.65,29.87,28.43,15630,45116115.2,4.8,-4.56,-1.37,1.32
2024-04-08,002813,29.48,31.52,31.52,29.43,21129,66304309.04,7.29,10.02,2.87,1.79
2024-04-09,002813,32.98,31.2,33.89,31.07,66456,215774583.23,8.95,-1.02,-0.32,5.63
2024-04-10,002813,30.29,30.07,31.58,29.5,38392,116200069.72,6.67,-3.62,-1.13,3.25
