Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002791,36.8,35.9,37.27,35.9,23586,86261253.0,3.74,-2.13,-0.78,1.44
2024-03-08,002791,36.0,35.78,36.24,35.35,18470,66256901.66,2.48,-0.33,-0.12,1.12
2024-03-11,002791,35.89,37.4,37.4,35.78,33159,122071027.24,4.53,4.53,1.62,2.02
2024-03-12,002791,37.41,39.98,40.2,37.16,64553,252235631.81,8.13,6.9,2.58,3.93
2024-03-13,002791,39.9,39.14,40.31,38.8,45911,181213314.78,3.78,-2.1,-0.84,2.79
2024-03-14,002791,39.13,39.12,39.56,38.72,24050,94352926.53,2.15,-0.05,-0.02,1.46
2024-03-15,002791,38.9,38.66,39.04,37.85,31569,121560495.16,3.04,-1.18,-0.46,1.92
2024-03-18,002791,39.0,38.56,39.04,38.13,33137,127529919.55,2.35,-0.26,-0.1,2.02
2024-03-19,002791,38.43,38.33,38.76,38.25,22684,87464272.18,1.32,-0.6,-0.23,1.38
2024-03-20,002791,38.53,38.84,38.85,37.9,30619,118209263.78,2.48,1.33,0.51,1.86
2024-03-21,002791,38.85,38.31,38.95,38.07,20981,80860051.19,2.27,-1.36,-0.53,1.28
2024-03-22,002791,38.08,36.97,38.38,36.9,34037,127466664.96,3.86,-3.5,-1.34,2.07
2024-03-25,002791,36.77,37.85,39.29,36.46,50018,190570766.8,7.65,2.38,0.88,3.04
2024-03-26,002791,37.92,38.52,39.1,37.65,45415,174445962.11,3.83,1.77,0.67,2.76
2024-03-27,002791,37.4,35.91,37.9,35.9,52631,194413020.24,5.19,-6.78,-2.61,3.2
2024-03-28,002791,35.5,35.33,36.15,35.05,44944,159863944.65,3.06,-1.62,-0.58,2.74
2024-03-29,002791,35.33,34.53,35.39,34.25,33344,115858330.99,3.23,-2.26,-0.8,2.03
2024-04-01,002791,34.7,36.69,36.89,34.65,57382,209108591.55,6.49,6.26,2.16,3.49
2024-04-02,002791,36.9,36.37,37.1,35.52,41418,149705859.36,4.31,-0.87,-0.32,2.52
2024-04-03,002791,36.06,36.18,37.0,35.9,25277,91966884.0,3.02,-0.52,-0.19,1.54
2024-04-08,002791,36.16,34.34,36.17,33.9,59347,205652097.3,6.27,-5.09,-1.84,3.61
2024-04-09,002791,34.21,35.0,35.34,34.06,34598,120864679.62,3.73,1.92,0.66,2.11
2024-04-10,002791,34.9,34.01,35.1,33.71,23461,80434334.0,3.97,-2.83,-0.99,1.43
2024-04-11,002791,33.8,33.31,34.0,33.3,29204,98196018.58,2.06,-2.06,-0.7,1.78
2024-04-12,002791,33.2,32.57,33.67,32.57,24155,79796248.23,3.3,-2.22,-0.74,1.47
2024-04-15,002791,32.46,31.73,32.85,31.15,45068,144037142.9,5.22,-2.58,-0.84,2.74
2024-04-16,002791,31.46,30.55,31.91,30.48,38937,121207199.2,4.51,-3.72,-1.18,2.37
2024-04-17,002791,30.6,31.43,31.43,30.6,43586,136094690.62,2.72,2.88,0.88,2.65
2024-04-18,002791,31.1,31.16,31.64,30.75,40133,125838510.88,2.83,-0.86,-0.27,2.44
2024-04-19,002791,30.9,30.24,31.15,30.14,46322,141424741.63,3.24,-2.95,-0.92,2.82
2024-04-22,002791,30.0,30.98,31.12,29.73,44910,138438798.0,4.6,2.45,0.74,2.73
2024-04-23,002791,31.0,30.91,31.29,30.48,22942,70978291.4,2.61,-0.23,-0.07,1.4
2024-04-24,002791,30.9,31.06,31.09,30.28,29274,90120804.0,2.62,0.49,0.15,1.78
2024-04-25,002791,30.58,29.96,30.58,29.24,46384,139456208.5,4.31,-3.54,-1.1,2.82
2024-04-26,002791,29.9,31.04,31.32,29.22,64387,195449905.2,7.01,3.6,1.08,3.92
2024-04-29,002791,31.1,33.35,33.96,31.04,71421,233415596.75,9.41,7.44,2.31,4.35
2024-04-30,002791,33.28,33.18,33.3,32.65,34501,113764047.48,1.95,-0.51,-0.17,2.1
2024-05-06,002791,33.6,34.35,35.34,33.6,64507,223103622.4,5.24,3.53,1.17,3.93
2024-05-07,002791,34.06,34.8,35.03,34.0,33705,116575573.91,3.0,1.31,0.45,2.05
2024-05-08,002791,34.83,33.79,34.84,33.61,30872,105152071.27,3.53,-2.9,-1.01,1.88
2024-05-09,002791,33.9,33.93,34.59,33.89,26569,90699678.08,2.07,0.41,0.14,1.62
2024-05-10,002791,33.94,34.27,34.86,33.08,42080,142917949.63,5.25,1.0,0.34,2.56
2024-05-13,002791,34.0,33.63,34.0,33.2,33406,111959186.08,2.33,-1.87,-0.64,2.03
2024-05-14,002791,33.71,33.42,34.13,33.1,29591,99165341.0,3.06,-0.62,-0.21,1.8
2024-05-15,002791,33.42,34.97,35.3,33.2,58027,200148563.96,6.28,4.64,1.55,3.53
2024-05-16,002791,34.57,37.7,38.2,34.42,140703,518070726.3,10.81,7.81,2.73,8.56
2024-05-17,002791,38.39,41.47,41.47,37.8,200010,800255329.74,9.73,10.0,3.77,12.17
2024-05-20,002791,41.3,41.52,43.3,40.34,158859,660106601.96,7.14,0.12,0.05,9.67
2024-05-21,002791,40.95,42.08,42.8,40.68,93287,392106567.12,5.11,1.35,0.56,5.68
2024-05-22,002791,42.07,42.1,44.6,41.62,134708,577749361.03,7.08,0.05,0.02,8.2
2024-05-23,002791,41.0,40.99,41.94,40.75,95020,391738944.61,2.83,-2.64,-1.11,5.78
2024-05-24,002791,40.83,40.21,41.2,40.0,57770,233950290.88,2.93,-1.9,-0.78,3.52
2024-05-27,002791,39.9,40.21,40.5,38.64,71544,282795305.17,4.63,0.0,0.0,4.35
2024-05-28,002791,40.5,39.27,40.96,39.24,44327,176646469.43,4.28,-2.34,-0.94,2.7
2024-05-29,002791,39.18,39.11,40.2,38.97,38498,152247292.55,3.13,-0.41,-0.16,2.34
2024-05-30,002791,38.85,38.25,39.07,37.87,57135,218553085.41,3.07,-2.2,-0.86,3.48
2024-05-31,002791,38.3,38.02,39.07,37.9,41183,157692316.46,3.06,-0.6,-0.23,2.51
2024-06-03,002791,37.67,38.11,38.45,37.32,37884,143437223.95,2.97,0.24,0.09,2.31
2024-06-04,002791,37.94,38.76,39.7,37.59,61208,237318292.08,5.54,1.71,0.65,3.73
2024-06-05,002791,38.68,37.0,38.68,36.94,42008,158069169.61,4.49,-4.54,-1.76,2.56
2024-06-06,002791,36.99,35.57,37.19,35.44,47625,171774632.17,4.73,-3.86,-1.43,2.9
2024-06-07,002791,36.05,34.53,36.12,34.5,35391,124281993.48,4.55,-2.92,-1.04,2.15
2024-06-11,002791,34.57,34.55,35.04,33.73,26105,90076070.24,3.79,0.06,0.02,1.59
2024-06-12,002791,34.62,33.91,34.62,33.75,25848,87997328.0,2.52,-1.85,-0.64,1.57
2024-06-13,002791,34.06,33.0,34.15,32.93,35060,116754371.19,3.6,-2.68,-0.91,2.13
2024-06-14,002791,33.0,33.81,34.17,32.32,37846,126624057.98,5.61,2.45,0.81,2.3
2024-06-17,002791,33.48,32.94,33.77,32.75,29991,99369403.02,3.02,-2.57,-0.87,1.83
2024-06-18,002791,32.92,32.35,33.03,32.16,27509,89455072.0,2.64,-1.79,-0.59,1.67
2024-06-19,002791,32.24,31.16,32.5,31.04,47407,149162397.61,4.51,-3.68,-1.19,2.89
2024-06-20,002791,31.08,29.45,31.09,29.42,46860,140453598.2,5.36,-5.49,-1.71,2.85
2024-06-21,002791,29.45,28.6,29.75,28.6,50551,146445060.0,3.9,-2.89,-0.85,3.08
2024-06-24,002791,28.32,27.87,28.51,27.35,44480,123863985.02,4.06,-2.55,-0.73,2.71
2024-06-25,002791,27.87,27.89,28.58,27.28,54467,151707250.22,4.66,0.07,0.02,3.31
2024-06-26,002791,27.34,27.92,27.92,27.13,39334,108242865.98,2.83,0.11,0.03,2.39
2024-06-27,002791,28.03,26.55,28.03,26.49,53552,144879819.0,5.52,-4.91,-1.37,3.26
2024-06-28,002791,26.43,25.87,26.78,25.72,58754,154520916.26,3.99,-2.56,-0.68,3.58
2024-07-01,002791,25.76,27.31,27.55,25.68,56876,152293081.94,7.23,5.57,1.44,3.46
2024-07-02,002791,27.31,26.49,27.33,26.33,36783,98691020.26,3.66,-3.0,-0.82,2.24
2024-07-03,002791,26.39,26.0,26.49,25.98,30346,79384606.67,1.93,-1.85,-0.49,1.85
2024-07-04,002791,25.92,25.06,26.25,24.93,37706,95678713.04,5.08,-3.62,-0.94,2.29
2024-07-05,002791,25.0,24.13,25.1,24.1,67610,165591822.18,3.99,-3.71,-0.93,4.11
2024-07-08,002791,24.04,23.33,24.11,23.16,55118,129608788.9,3.94,-3.32,-0.8,3.35
2024-07-09,002791,23.35,22.71,23.41,22.45,64857,148169480.4,4.11,-2.66,-0.62,3.95
2024-07-10,002791,22.67,23.01,23.49,22.29,52979,122040362.4,5.28,1.32,0.3,3.22
2024-07-11,002791,23.39,23.7,23.88,23.09,40823,96243885.85,3.43,3.0,0.69,2.48
2024-07-12,002791,23.88,24.01,24.87,23.71,58986,143086518.38,4.89,1.31,0.31,3.59
2024-07-15,002791,23.91,23.17,23.91,23.11,44470,103789818.0,3.33,-3.5,-0.84,2.71
2024-07-16,002791,23.17,23.08,23.29,22.88,26202,60417526.08,1.77,-0.39,-0.09,1.59
2024-07-17,002791,23.0,23.49,24.08,23.0,46954,110702960.52,4.68,1.78,0.41,2.86
2024-07-18,002791,23.45,23.4,23.49,22.9,30166,69892020.11,2.51,-0.38,-0.09,1.84
2024-07-19,002791,23.27,23.4,23.46,22.87,31031,71952973.25,2.52,0.0,0.0,1.89
2024-07-22,002791,23.42,23.45,23.6,23.06,25584,59752209.35,2.31,0.21,0.05,1.56
2024-07-23,002791,23.4,22.64,23.6,22.6,26477,61102484.96,4.26,-3.45,-0.81,1.61
2024-07-24,002791,22.51,22.08,22.78,22.08,26588,59331326.91,3.09,-2.47,-0.56,1.62
2024-07-25,002791,22.02,22.35,22.78,21.85,26300,59020545.0,4.21,1.22,0.27,1.6
2024-07-26,002791,22.5,22.8,23.09,22.43,24518,55893029.02,2.95,2.01,0.45,1.49
2024-07-29,002791,22.85,22.17,22.89,22.14,22619,50441496.0,3.29,-2.76,-0.63,1.38
2024-07-30,002791,22.01,22.33,22.46,21.96,20142,44763868.0,2.26,0.72,0.16,1.23
2024-07-31,002791,22.4,23.71,23.77,22.17,42748,99220026.16,7.17,6.18,1.38,2.6
2024-08-01,002791,23.76,23.06,23.81,22.79,44675,103307013.12,4.3,-2.74,-0.65,2.72
2024-08-02,002791,22.89,22.78,23.41,22.75,30818,71056026.86,2.86,-1.21,-0.28,1.88
