Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002456,9.6,9.1,9.69,9.1,4011701,3755879572.51,6.08,-6.28,-0.61,12.39
2024-03-08,002456,9.09,9.3,9.44,8.96,2891210,2677895270.82,5.27,2.2,0.2,8.93
2024-03-11,002456,9.27,9.75,9.78,9.16,3302657,3150986800.82,6.67,4.84,0.45,10.2
2024-03-12,002456,9.75,9.63,9.87,9.48,3053959,2946179679.4,4.0,-1.23,-0.12,9.43
2024-03-13,002456,9.6,9.53,9.74,9.49,2234115,2145508861.56,2.6,-1.04,-0.1,6.9
2024-03-14,002456,9.45,9.64,9.82,9.38,2554627,2452897055.2,4.62,1.15,0.11,7.89
2024-03-15,002456,9.52,9.79,9.88,9.26,3439802,3310909787.47,6.43,1.56,0.15,10.62
2024-03-18,002456,9.86,10.5,10.71,9.81,4429705,4526368965.27,9.19,7.25,0.71,13.68
2024-03-19,002456,10.48,10.4,10.88,10.38,4008955,4248013916.77,4.76,-0.95,-0.1,12.38
2024-03-20,002456,10.33,10.51,10.64,10.3,2881897,3009177042.1,3.27,1.06,0.11,8.9
2024-03-21,002456,10.41,10.32,10.49,10.22,2293871,2377636382.15,2.57,-1.81,-0.19,7.08
2024-03-22,002456,10.36,10.44,10.56,10.22,2687834,2805730725.03,3.29,1.16,0.12,8.3
2024-03-25,002456,10.64,10.0,10.7,9.83,3232902,3339738500.55,8.33,-4.21,-0.44,9.98
2024-03-26,002456,9.91,10.06,10.15,9.75,2741549,2731175130.72,4.0,0.6,0.06,8.47
2024-03-27,002456,10.0,9.33,10.0,9.31,2746604,2632144681.57,6.86,-7.26,-0.73,8.48
2024-03-28,002456,9.3,10.06,10.26,9.28,3875405,3844408017.89,10.5,7.82,0.73,11.97
2024-03-29,002456,10.05,10.42,10.45,9.83,3592498,3642897679.82,6.16,3.58,0.36,11.09
2024-04-01,002456,10.42,10.51,10.6,10.31,2942432,3075853238.45,2.78,0.86,0.09,9.09
2024-04-02,002456,10.48,10.34,10.48,10.19,2330172,2404124116.98,2.76,-1.62,-0.17,7.2
2024-04-03,002456,10.34,10.17,10.43,9.95,2307388,2353857955.2,4.64,-1.64,-0.17,7.13
2024-04-08,002456,10.16,9.76,10.16,9.74,2139393,2112288193.05,4.13,-4.03,-0.41,6.61
2024-04-09,002456,9.65,9.92,9.99,9.41,2068425,2011227843.5,5.94,1.64,0.16,6.39
2024-04-10,002456,9.8,9.51,9.81,9.5,1449328,1393427552.75,3.13,-4.13,-0.41,4.48
2024-04-11,002456,9.4,9.31,9.69,9.2,1580481,1498082733.28,5.15,-2.1,-0.2,4.88
2024-04-12,002456,9.23,9.07,9.41,9.03,1857747,1706160608.3,4.08,-2.58,-0.24,5.74
2024-04-15,002456,9.14,9.18,9.4,9.02,1937958,1781715722.14,4.19,1.21,0.11,5.98
2024-04-16,002456,9.15,8.9,9.24,8.73,2062831,1850411770.79,5.56,-3.05,-0.28,6.37
2024-04-17,002456,9.05,9.46,9.47,8.98,2151009,2002558176.34,5.51,6.29,0.56,6.64
2024-04-18,002456,9.45,9.51,9.95,9.33,2959287,2852210590.5,6.55,0.53,0.05,9.14
2024-04-19,002456,9.37,9.1,9.48,9.03,2122839,1948102258.08,4.73,-4.31,-0.41,6.56
2024-04-22,002456,8.92,8.73,9.07,8.7,1543576,1367700230.89,4.07,-4.07,-0.37,4.77
2024-04-23,002456,8.87,8.51,8.94,8.45,1585344,1366901184.36,5.61,-2.52,-0.22,4.9
2024-04-24,002456,8.56,8.71,8.75,8.4,1438306,1240097743.4,4.11,2.35,0.2,4.44
2024-04-25,002456,8.63,8.88,9.03,8.59,1657964,1472633432.72,5.05,1.95,0.17,5.12
2024-04-26,002456,8.78,9.17,9.21,8.78,1773161,1614462459.78,4.84,3.27,0.29,5.48
2024-04-29,002456,9.16,9.36,9.44,9.1,1749650,1624665119.28,3.71,2.07,0.19,5.4
