Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002608,7.38,7.31,7.48,7.29,177734,132674966.04,2.57,-0.95,-0.07,0.47
2024-03-08,002608,7.3,7.5,7.5,7.28,156439,117586811.48,3.01,2.6,0.19,0.41
2024-03-11,002608,7.5,7.46,7.61,7.36,189876,143439604.0,3.33,-0.53,-0.04,0.5
2024-03-12,002608,7.58,7.22,7.6,7.17,240815,178717920.01,5.76,-3.22,-0.24,0.64
2024-03-13,002608,7.18,7.18,7.26,7.11,153192,111421240.76,2.08,-0.55,-0.04,0.41
2024-03-14,002608,7.13,7.22,7.27,7.13,114023,83528406.53,1.95,0.56,0.04,0.3
2024-03-15,002608,7.19,7.36,7.45,7.19,141044,104632654.93,3.6,1.94,0.14,0.37
2024-03-18,002608,7.36,7.44,7.51,7.29,154163,115746390.91,2.99,1.09,0.08,0.41
2024-03-19,002608,7.43,7.3,7.5,7.28,129326,96803539.12,2.96,-1.88,-0.14,0.34
2024-03-20,002608,7.3,7.3,7.38,7.19,103836,76754668.87,2.6,0.0,0.0,0.27
2024-03-21,002608,7.31,7.22,7.34,7.18,107900,79109027.3,2.19,-1.1,-0.08,0.29
2024-03-22,002608,7.19,7.16,7.23,7.12,79162,57484564.54,1.52,-0.83,-0.06,0.21
2024-03-25,002608,7.15,7.2,7.33,7.1,110120,80851124.27,3.21,0.56,0.04,0.29
2024-03-26,002608,7.23,7.38,7.41,7.2,139122,102975790.91,2.92,2.5,0.18,0.37
2024-03-27,002608,7.38,7.38,7.53,7.32,173618,130765453.0,2.85,0.0,0.0,0.46
2024-03-28,002608,7.35,7.65,7.72,7.32,238343,182838538.12,5.42,3.66,0.27,0.63
2024-03-29,002608,7.65,7.79,7.8,7.63,165130,129016465.92,2.22,1.83,0.14,0.44
2024-04-01,002608,7.8,7.86,7.88,7.68,159219,125852772.29,2.57,0.9,0.07,0.42
2024-04-02,002608,7.84,7.95,7.99,7.8,193299,154717990.76,2.42,1.15,0.09,0.51
2024-04-03,002608,7.93,7.87,7.98,7.77,195414,155650604.09,2.64,-1.01,-0.08,0.52
2024-04-08,002608,7.87,7.96,8.06,7.83,200566,161926029.38,2.92,1.14,0.09,0.53
2024-04-09,002608,8.46,8.22,8.68,8.06,537932,448390326.57,7.79,3.27,0.26,1.42
2024-04-10,002608,8.21,8.56,8.6,8.11,435642,370867572.09,5.96,4.14,0.34,1.15
2024-04-11,002608,8.41,8.52,8.64,8.32,318523,273898162.34,3.74,-0.47,-0.04,0.84
2024-04-12,002608,8.45,8.29,8.49,8.22,326901,275558863.38,3.17,-2.7,-0.23,0.87
2024-04-15,002608,8.28,8.37,8.46,8.1,259761,218916921.18,4.34,0.97,0.08,0.69
2024-04-16,002608,8.37,8.21,8.55,8.18,242934,205033944.74,4.42,-1.91,-0.16,0.64
2024-04-17,002608,8.23,8.36,8.38,8.17,245875,206482388.78,2.56,1.83,0.15,0.65
2024-04-18,002608,8.34,8.2,8.44,8.11,255765,213956242.0,3.95,-1.91,-0.16,0.68
2024-04-19,002608,8.18,8.26,8.34,8.12,180162,150794334.06,2.68,0.73,0.06,0.48
2024-04-22,002608,8.28,8.19,8.39,8.14,180507,150598817.0,3.03,-0.85,-0.07,0.48
2024-04-23,002608,8.22,8.02,8.25,7.99,190578,155720534.16,3.17,-2.08,-0.17,0.5
2024-04-24,002608,8.02,8.11,8.13,7.97,137738,112619984.23,2.0,1.12,0.09,0.36
2024-04-25,002608,8.07,8.12,8.14,8.03,106075,86908584.95,1.36,0.12,0.01,0.28
2024-04-26,002608,8.06,8.2,8.21,8.02,172625,142038106.12,2.34,0.99,0.08,0.46
2024-04-29,002608,8.24,8.05,8.25,7.94,232924,189416760.14,3.78,-1.83,-0.15,0.62
2024-04-30,002608,8.06,8.14,8.21,8.03,204913,169192438.1,2.24,1.12,0.09,0.54
2024-05-06,002608,8.15,8.4,8.43,8.09,266128,223498025.09,4.18,3.19,0.26,0.7
2024-05-07,002608,8.36,8.32,8.42,8.25,164741,138709241.39,2.02,-0.95,-0.08,0.44
2024-05-08,002608,8.31,8.15,8.36,8.13,142281,118436367.63,2.76,-2.04,-0.17,0.38
2024-05-09,002608,8.11,8.23,8.27,8.11,110023,91518863.37,1.96,0.98,0.08,0.29
2024-05-10,002608,8.23,8.43,8.47,8.16,206558,174604283.0,3.77,2.43,0.2,0.55
2024-05-13,002608,8.48,8.49,8.57,8.3,215866,184443759.94,3.2,0.71,0.06,0.57
2024-05-14,002608,8.46,8.48,8.55,8.37,155734,133436981.31,2.12,-0.12,-0.01,0.41
2024-05-15,002608,8.41,8.15,8.51,8.12,183088,153363001.0,4.6,-3.89,-0.33,0.48
2024-05-16,002608,8.14,8.03,8.21,8.0,154612,126376657.25,2.58,-1.47,-0.12,0.41
2024-05-17,002608,8.02,8.0,8.13,7.93,153348,124479936.18,2.49,-0.37,-0.03,0.41
2024-05-20,002608,8.01,8.16,8.2,8.0,147171,121124421.32,2.5,2.0,0.16,0.39
2024-05-21,002608,8.17,8.07,8.23,8.02,94352,77442049.0,2.57,-1.1,-0.09,0.25
2024-05-22,002608,8.07,8.12,8.19,8.04,100307,82548945.0,1.86,0.62,0.05,0.27
2024-05-23,002608,8.12,7.96,8.12,7.91,104752,84716132.1,2.59,-1.97,-0.16,0.28
2024-05-24,002608,7.95,8.15,8.28,7.95,177015,146493128.0,4.15,2.39,0.19,0.47
2024-05-27,002608,8.13,8.26,8.34,8.13,186492,155742282.0,2.58,1.35,0.11,0.49
2024-05-28,002608,8.25,8.28,8.42,8.22,172677,145303640.0,2.42,0.24,0.02,0.46
2024-05-29,002608,8.23,8.33,8.46,8.12,147144,123933885.0,4.11,0.6,0.05,0.39
2024-05-30,002608,8.23,8.08,8.31,8.02,153917,127030679.32,3.48,-3.0,-0.25,0.41
2024-05-31,002608,8.1,8.03,8.16,8.02,87586,71564765.0,1.73,-0.62,-0.05,0.23
2024-06-03,002608,8.05,7.92,8.11,7.85,117048,94351233.0,3.24,-1.37,-0.11,0.31
2024-06-04,002608,7.97,8.22,8.24,7.92,139450,114339051.0,4.04,3.79,0.3,0.37
2024-06-05,002608,8.21,8.03,8.27,8.01,141977,116724208.0,3.16,-2.31,-0.19,0.38
