Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,600057,6.39,6.36,6.44,6.36,87639,58628125.0,1.25,-0.31,-0.02,0.41
2024-03-08,600057,6.36,6.37,6.39,6.31,75609,50274552.0,1.26,0.16,0.01,0.35
2024-03-11,600057,6.38,6.43,6.44,6.35,110746,74037274.0,1.41,0.94,0.06,0.51
2024-03-12,600057,6.42,6.39,6.42,6.35,131111,87623062.0,1.09,-0.62,-0.04,0.61
2024-03-13,600057,6.39,6.3,6.4,6.25,136409,90201293.0,2.35,-1.41,-0.09,0.63
2024-03-14,600057,6.31,6.32,6.41,6.28,110643,73617494.0,2.06,0.32,0.02,0.51
2024-03-15,600057,6.31,6.33,6.35,6.27,85363,56317719.0,1.27,0.16,0.01,0.4
2024-03-18,600057,6.33,6.37,6.38,6.32,103314,68775299.0,0.95,0.63,0.04,0.48
2024-03-19,600057,6.36,6.32,6.38,6.31,80950,53739248.0,1.1,-0.78,-0.05,0.38
2024-03-20,600057,6.32,6.34,6.35,6.26,85276,56320716.0,1.42,0.32,0.02,0.4
2024-03-21,600057,6.35,6.33,6.36,6.3,64435,42708076.0,0.95,-0.16,-0.01,0.3
2024-03-22,600057,6.31,6.25,6.33,6.2,86752,56907050.0,2.05,-1.26,-0.08,0.4
2024-03-25,600057,6.22,6.15,6.28,6.15,108026,70489720.0,2.08,-1.6,-0.1,0.5
2024-03-26,600057,6.17,6.29,6.33,6.15,110251,71951580.0,2.93,2.28,0.14,0.51
2024-03-27,600057,6.28,6.19,6.34,6.18,100078,65548312.0,2.54,-1.59,-0.1,0.46
2024-03-28,600057,6.18,6.23,6.27,6.15,83763,54552273.0,1.94,0.65,0.04,0.39
2024-03-29,600057,6.24,6.32,6.32,6.21,85937,56540278.0,1.77,1.44,0.09,0.4
2024-04-01,600057,6.33,6.4,6.4,6.33,119680,79898799.0,1.11,1.27,0.08,0.55
2024-04-02,600057,6.4,6.51,6.51,6.36,144061,97486821.0,2.34,1.72,0.11,0.67
2024-04-03,600057,6.52,6.53,6.57,6.49,133535,91132604.0,1.23,0.31,0.02,0.62
2024-04-08,600057,6.53,6.51,6.6,6.44,172006,117735585.0,2.45,-0.31,-0.02,0.79
2024-04-09,600057,6.51,6.34,6.52,6.32,169913,113661375.0,3.07,-2.61,-0.17,0.78
