Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,601111,7.19,7.16,7.22,7.11,436321,312930537.0,1.53,-0.42,-0.03,0.4
2024-03-08,601111,7.14,7.14,7.18,7.07,373172,265576787.0,1.54,-0.28,-0.02,0.34
2024-03-11,601111,7.12,7.29,7.29,7.11,598018,432834927.0,2.52,2.1,0.15,0.54
2024-03-12,601111,7.31,7.51,7.54,7.27,852278,631719894.0,3.7,3.02,0.22,0.77
2024-03-13,601111,7.49,7.44,7.52,7.37,473006,351786167.0,2.0,-0.93,-0.07,0.43
2024-03-14,601111,7.42,7.47,7.64,7.4,812977,612330818.0,3.23,0.4,0.03,0.74
2024-03-15,601111,7.48,7.57,7.6,7.48,604240,456450868.0,1.61,1.34,0.1,0.55
2024-03-18,601111,7.6,7.58,7.7,7.47,635090,480648176.0,3.04,0.13,0.01,0.58
2024-03-19,601111,7.54,7.44,7.55,7.42,380222,284044312.0,1.72,-1.85,-0.14,0.34
2024-03-20,601111,7.44,7.55,7.55,7.42,418501,313495049.0,1.75,1.48,0.11,0.38
2024-03-21,601111,7.57,7.5,7.63,7.47,345745,259917651.0,2.12,-0.66,-0.05,0.31
2024-03-22,601111,7.47,7.36,7.52,7.33,439454,325423016.0,2.53,-1.87,-0.14,0.4
2024-03-25,601111,7.32,7.25,7.36,7.25,416560,303719873.0,1.49,-1.49,-0.11,0.38
2024-03-26,601111,7.25,7.21,7.29,7.13,523738,376723018.0,2.21,-0.55,-0.04,0.48
2024-03-27,601111,7.18,7.2,7.29,7.13,549341,395527136.0,2.22,-0.14,-0.01,0.5
2024-03-28,601111,7.19,7.3,7.3,7.18,508766,369048804.0,1.67,1.39,0.1,0.46
2024-03-29,601111,7.3,7.3,7.3,7.18,546366,395333941.0,1.64,0.0,0.0,0.5
2024-04-01,601111,7.32,7.51,7.52,7.3,684350,509534140.0,3.01,2.88,0.21,0.62
2024-04-02,601111,7.49,7.5,7.58,7.44,503253,376839410.0,1.86,-0.13,-0.01,0.46
2024-04-03,601111,7.49,7.38,7.5,7.32,716280,528929450.0,2.4,-1.6,-0.12,0.65
2024-04-08,601111,7.35,7.32,7.41,7.3,381890,280860850.0,1.49,-0.81,-0.06,0.35
2024-04-09,601111,7.31,7.39,7.41,7.3,384956,283116859.0,1.5,0.96,0.07,0.35
2024-04-10,601111,7.38,7.47,7.49,7.33,526075,391076260.0,2.17,1.08,0.08,0.48
2024-04-11,601111,7.41,7.3,7.42,7.24,602036,441222669.0,2.41,-2.28,-0.17,0.55
2024-04-12,601111,7.28,7.09,7.3,7.06,969133,693795758.0,3.29,-2.88,-0.21,0.88
2024-04-15,601111,7.11,7.2,7.27,7.03,657565,470883067.0,3.39,1.55,0.11,0.6
2024-04-16,601111,7.2,7.08,7.2,7.05,573224,407370066.0,2.08,-1.67,-0.12,0.52
2024-04-17,601111,7.08,7.18,7.19,7.06,510192,363905294.0,1.84,1.41,0.1,0.46
2024-04-18,601111,7.2,7.31,7.33,7.18,751325,546966102.0,2.09,1.81,0.13,0.68
2024-04-19,601111,7.26,7.09,7.27,7.02,1065541,758000688.0,3.42,-3.01,-0.22,0.97
2024-04-22,601111,7.09,7.22,7.24,7.08,684086,490448384.0,2.26,1.83,0.13,0.62
2024-04-23,601111,7.19,7.26,7.29,7.16,646960,467397024.0,1.8,0.55,0.04,0.59
