Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-03-07,002559,10.78,10.15,10.86,10.1,939144,987472932.42,7.22,-3.61,-0.38,18.76
2024-03-08,002559,10.08,10.69,11.1,9.87,1286183,1374280770.15,12.12,5.32,0.54,25.7
2024-03-11,002559,10.52,10.87,11.1,10.41,1054371,1147917228.88,6.45,1.68,0.18,21.07
2024-03-12,002559,10.88,11.31,11.34,10.72,1188431,1331527126.25,5.7,4.05,0.44,23.74
2024-03-13,002559,11.17,11.03,11.17,10.82,887806,985759614.37,3.09,-2.48,-0.28,17.74
2024-03-14,002559,10.81,10.5,11.01,10.35,766650,822929654.0,5.98,-4.81,-0.53,15.32
2024-03-15,002559,10.45,10.62,10.63,10.3,459291,486433099.1,3.14,1.14,0.12,9.18
2024-03-18,002559,10.62,11.69,11.69,10.51,922249,1055279161.85,11.11,10.08,1.07,18.43
2024-03-19,002559,11.89,11.38,11.89,11.33,1326602,1552775037.96,4.79,-2.65,-0.31,26.5
2024-03-20,002559,11.36,11.61,11.7,11.18,955507,1105220810.27,4.57,2.02,0.23,19.09
2024-03-21,002559,11.65,11.57,12.06,11.54,969760,1147477623.76,4.48,-0.34,-0.04,19.38
2024-03-22,002559,11.47,11.32,11.76,11.31,721250,836956354.03,3.89,-2.16,-0.25,14.41
2024-03-25,002559,11.11,10.58,11.18,10.54,713906,785674893.5,5.65,-6.54,-0.74,14.26
2024-03-26,002559,10.53,10.3,10.69,10.12,512879,536325972.32,5.39,-2.65,-0.28,10.25
2024-03-27,002559,10.32,9.68,10.39,9.67,450570,453852545.06,6.99,-6.02,-0.62,9.0
2024-03-28,002559,9.75,10.25,10.36,9.71,571922,585776841.39,6.71,5.89,0.57,11.43
2024-03-29,002559,10.21,10.29,10.31,10.03,366694,377912028.45,2.73,0.39,0.04,7.33
2024-04-01,002559,10.36,10.67,10.67,10.36,492474,526603938.2,3.01,3.69,0.38,9.84
2024-04-02,002559,10.68,10.28,10.71,10.17,424221,444557944.5,5.06,-3.66,-0.39,8.48
2024-04-03,002559,10.33,10.17,10.4,9.85,402301,412537710.68,5.35,-1.07,-0.11,8.04
2024-04-08,002559,10.02,9.87,10.17,9.87,253415,255492095.59,2.95,-2.95,-0.3,5.06
2024-04-09,002559,9.87,9.93,10.04,9.82,226257,226379287.88,2.23,0.61,0.06,4.52
2024-04-10,002559,10.15,9.98,10.28,9.73,421073,427048650.15,5.54,0.5,0.05,8.41
2024-04-11,002559,9.77,9.89,10.06,9.72,293681,294789733.0,3.41,-0.9,-0.09,5.87
2024-04-12,002559,9.88,9.78,9.98,9.7,263110,261391779.16,2.83,-1.11,-0.11,5.26
2024-04-15,002559,9.78,9.82,9.97,9.48,373864,370445822.86,5.01,0.41,0.04,7.47
2024-04-16,002559,9.75,8.83,9.78,8.83,424567,386204022.8,9.67,-10.08,-0.99,8.48
2024-04-17,002559,8.84,9.32,9.38,8.84,394707,368231879.46,6.12,5.55,0.49,7.89
2024-04-18,002559,9.29,9.11,9.35,9.1,354116,330040596.61,2.68,-2.25,-0.21,7.08
2024-04-19,002559,9.02,8.91,9.13,8.78,334384,301258930.74,3.84,-2.2,-0.2,6.68
2024-04-22,002559,8.75,8.7,8.88,8.55,218710,192840822.5,3.7,-2.36,-0.21,4.37
2024-04-23,002559,8.7,8.78,8.87,8.68,186845,165968156.68,2.18,0.92,0.08,3.73
2024-04-24,002559,8.89,9.17,9.19,8.77,285587,260587633.5,4.78,4.44,0.39,5.71
2024-04-25,002559,9.27,9.24,9.33,9.08,284514,264881168.0,2.73,0.76,0.07,5.68
2024-04-26,002559,9.06,9.44,9.51,9.03,393830,371639801.88,5.19,2.16,0.2,7.87
2024-04-29,002559,9.42,9.65,9.67,9.41,309193,298924319.5,2.75,2.22,0.21,6.18
2024-04-30,002559,9.65,9.42,9.66,9.33,261924,250775670.0,3.42,-2.38,-0.23,5.23
2024-05-06,002559,9.58,9.62,9.71,9.53,218927,212952972.5,1.91,2.12,0.2,4.37
2024-05-07,002559,9.61,9.67,9.73,9.54,191527,186834796.0,1.98,0.52,0.05,3.83
2024-05-08,002559,9.6,9.36,9.62,9.33,178350,170256975.0,3.0,-3.21,-0.31,3.56
2024-05-09,002559,9.36,9.44,9.51,9.36,141712,135505558.0,1.6,0.85,0.08,2.83
2024-05-10,002559,9.44,9.09,9.47,9.07,213921,198317623.6,4.24,-3.71,-0.35,4.27
2024-05-13,002559,9.01,8.77,9.01,8.75,184107,164626288.0,2.86,-3.52,-0.32,3.68
2024-05-14,002559,8.9,8.86,9.02,8.82,136826,123168696.0,2.28,1.03,0.09,2.73
2024-05-15,002559,8.9,8.95,9.22,8.79,240531,220011238.5,4.85,1.02,0.09,4.81
2024-05-16,002559,9.0,8.92,9.09,8.9,174953,158891016.5,2.12,-0.34,-0.03,3.5
2024-05-17,002559,8.92,9.06,9.06,8.82,177278,160755078.0,2.69,1.57,0.14,3.54
2024-05-20,002559,9.09,9.0,9.11,8.92,158894,144916651.0,2.1,-0.66,-0.06,3.17
2024-05-21,002559,9.03,8.92,9.03,8.85,129794,115820284.0,2.0,-0.89,-0.08,2.59
2024-05-22,002559,8.9,9.02,9.06,8.88,145173,130268040.0,2.02,1.12,0.1,2.9
2024-05-23,002559,8.99,8.77,8.99,8.76,171812,151881620.0,2.55,-2.77,-0.25,3.43
2024-05-24,002559,8.85,8.62,8.89,8.61,133686,116602921.0,3.19,-1.71,-0.15,2.67
2024-05-27,002559,7.98,8.25,8.29,7.83,472204,380131933.23,5.34,-4.29,-0.37,9.43
2024-05-28,002559,8.25,8.13,8.35,8.08,252745,207627652.54,3.27,-1.45,-0.12,5.05
2024-05-29,002559,8.2,8.21,8.29,8.15,174745,143372578.5,1.72,0.98,0.08,3.49
2024-05-30,002559,8.22,8.25,8.33,8.07,150092,123618984.0,3.17,0.49,0.04,3.0
2024-05-31,002559,8.2,8.34,8.37,8.2,155382,129399910.0,2.06,1.09,0.09,3.1
2024-06-03,002559,8.35,8.18,8.45,8.12,168012,138988310.0,3.96,-1.92,-0.16,3.36
2024-06-04,002559,8.11,7.91,8.16,7.81,230075,181914469.5,4.28,-3.3,-0.27,4.6
2024-06-05,002559,7.9,7.78,7.98,7.78,147203,115958322.0,2.53,-1.64,-0.13,2.94
2024-06-06,002559,7.78,7.49,7.91,7.41,219667,166445558.47,6.43,-3.73,-0.29,4.39
2024-06-07,002559,7.6,7.64,7.71,7.53,152105,115959964.5,2.4,2.0,0.15,3.04
2024-06-11,002559,7.63,7.9,7.92,7.44,222223,172562612.0,6.28,3.4,0.26,4.44
2024-06-12,002559,7.88,8.16,8.33,7.82,371975,302229005.0,6.46,3.29,0.26,7.43
2024-06-13,002559,8.24,8.28,8.35,8.15,364460,301073270.94,2.45,1.47,0.12,7.28
2024-06-14,002559,8.27,8.12,8.27,8.04,227765,184533741.0,2.78,-1.93,-0.16,4.55
2024-06-17,002559,8.04,8.1,8.17,8.01,159918,129889137.0,1.97,-0.25,-0.02,3.2
2024-06-18,002559,8.11,8.23,8.23,8.11,182073,149124119.5,1.48,1.6,0.13,3.64
2024-06-19,002559,8.25,8.16,8.3,8.12,143798,118019020.52,2.19,-0.85,-0.07,2.87
2024-06-20,002559,8.17,7.88,8.17,7.87,156631,125447626.0,3.68,-3.43,-0.28,3.13
2024-06-21,002559,7.87,7.8,7.87,7.71,126537,98540247.0,2.03,-1.02,-0.08,2.53
2024-06-24,002559,7.71,7.42,7.79,7.41,157516,119221992.0,4.87,-4.87,-0.38,3.15
2024-06-25,002559,7.46,7.55,7.76,7.46,172395,131054172.0,4.04,1.75,0.13,3.44
2024-06-26,002559,7.59,7.76,7.77,7.39,142122,108040138.5,5.03,2.78,0.21,2.84
2024-06-27,002559,7.68,7.53,7.82,7.53,132016,101519766.5,3.74,-2.96,-0.23,2.64
2024-06-28,002559,7.54,7.66,7.78,7.49,137871,106006994.5,3.85,1.73,0.13,2.75
2024-07-01,002559,7.65,7.61,7.69,7.41,138399,104199455.0,3.66,-0.65,-0.05,2.77
2024-07-02,002559,7.58,7.5,7.64,7.46,131116,98773952.0,2.37,-1.45,-0.11,2.62
2024-07-03,002559,7.48,7.36,7.48,7.28,124567,91783336.5,2.67,-1.87,-0.14,2.49
2024-07-04,002559,7.37,7.18,7.47,7.15,121592,88478288.0,4.35,-2.45,-0.18,2.43
2024-07-05,002559,7.2,7.3,7.34,7.08,110527,79770550.0,3.62,1.67,0.12,2.21
2024-07-08,002559,7.25,7.06,7.28,7.05,95391,67935052.0,3.15,-3.29,-0.24,1.91
2024-07-09,002559,7.05,7.33,7.33,6.99,155779,111904911.0,4.82,3.82,0.27,3.11
2024-07-10,002559,7.3,7.21,7.37,7.19,108222,78701986.0,2.46,-1.64,-0.12,2.16
2024-07-11,002559,7.33,7.55,7.77,7.28,321973,242615612.0,6.8,4.72,0.34,6.43
2024-07-12,002559,7.47,7.42,7.66,7.37,182715,136001035.0,3.84,-1.72,-0.13,3.65
2024-07-15,002559,7.39,7.25,7.45,7.24,105474,77131078.5,2.83,-2.29,-0.17,2.11
2024-07-16,002559,7.21,7.28,7.3,7.13,92400,66725423.0,2.34,0.41,0.03,1.85
2024-07-17,002559,7.25,7.13,7.29,7.1,87643,62817653.0,2.61,-2.06,-0.15,1.75
2024-07-18,002559,7.08,7.31,7.32,6.97,191103,136963126.0,4.91,2.52,0.18,3.82
2024-07-19,002559,7.26,7.4,7.53,7.24,182978,135581660.5,3.97,1.23,0.09,3.66
2024-07-22,002559,7.37,7.49,7.52,7.35,145029,108103703.5,2.3,1.22,0.09,2.9
2024-07-23,002559,7.47,7.2,7.48,7.19,128921,94455076.0,3.87,-3.87,-0.29,2.58
2024-07-24,002559,7.16,7.2,7.45,7.14,180780,131187744.0,4.31,0.0,0.0,3.61
2024-07-25,002559,7.15,7.16,7.31,7.03,131554,94260882.0,3.89,-0.56,-0.04,2.63
2024-07-26,002559,7.26,7.42,7.45,7.22,211142,155231356.0,3.21,3.63,0.26,4.22
2024-07-29,002559,7.42,7.49,7.52,7.38,162019,120969243.0,1.89,0.94,0.07,3.24
2024-07-30,002559,7.47,7.48,7.53,7.32,147365,109499319.0,2.8,-0.13,-0.01,2.94
2024-07-31,002559,7.46,7.74,7.75,7.4,217456,166489494.6,4.68,3.48,0.26,4.34
2024-08-01,002559,7.8,7.89,8.1,7.8,402410,320351847.0,3.88,1.94,0.15,8.04
2024-08-02,002559,7.84,7.67,7.91,7.65,247707,192868966.0,3.3,-2.79,-0.22,4.95
2024-08-05,002559,7.56,7.3,7.69,7.29,213930,160024519.5,5.22,-4.82,-0.37,4.27
2024-08-06,002559,7.4,7.46,7.49,7.33,131008,96952006.0,2.19,2.19,0.16,2.62
